,,,,,,1/30/15
Population and Capacity Briefing for Friday 30/01/2015,,,,,,
,Total ,,Prisons,NOMS Operated IRCs,,
Population,"85,083",,"83,680","1,403",,
Male population,"81,271",,"79,868","1,403",,
Female population,"3,812",,"3,812",0,,
Useable Operational Capacity,"88,286",,"86,716","1,570",,
Home Detention Curfew caseload,"2,088",,,,,
Definitions:,,,,,,
"1 - The Operational Capacity of a Prison / Immigration Removal Centre (IRC) is the total number of prisoners that an establishment can hold taking into account control, security and the proper operation of the planned regime. It is determined by Deputy Directors of Custody on the basis of operational judgement and experience.",,,,,,
"2 - Useable Operational Capacity of the estate is the sum of all establishments’ operational capacity less 2,000 places. This is known as the operating margin and reflects the constraints imposed by the need to provide separate accommodation for different classes of prisoner i.e. by sex, age, security category, conviction status, single cell risk assessment and also due to geographical distribution.",,,,,,
Population and Capacity on previous Fridays,,,,,,
,Last week,,12 months ago,,,
Population,"84,865",,"84,977",,,
Male population,"81,054",,"81,045",,,
Female population,"3,811",,"3,932",,,
Useable Operational Capacity,"88,218",,"85,657",,,
Home Detention Curfew caseload,"2,087",,"2,384",,,
