Table L3,,,,,,,,,,,Index
"Total number and rate of completed 'off contract' service requests1 in the United Kingdom2, split by requester type and service type, annually 2013 - 2016, quarterly Q1 2014 - Q2 2017  ",,,,,,,,,,,
Service type,Year,Quarter,Total 'off contract' completed requests,Requester type4,,,,,,,
,,,,Criminal5,,Tribunal6,,Civil & family7,,Others8,
,,,,Number,Percentage3,Number,Percentage3,Number,Percentage3,Number,Percentage3
All service types,2013 9,,"5,149","2,653",52%,"2,415",47%,66,1%,15,0.3%
,2014,,"2,391","1,394",58%,879,37%,118,5%,-,-
,2015,,"1,494",807,54%,604,40%,83,6%,-,-
,2016,,"1,607",686,43%,836,52%,85,5%,-,-
,2014,Q1,714,416,58%,278,39%,20,3%,-,-
,,Q2,600,337,56%,238,40%,25,4%,-,-
,,Q3,580,328,57%,195,34%,57,10%,-,-
,,Q4,497,313,63%,168,34%,16,3%,-,-
,2015,Q1,570,288,51%,247,43%,35,6%,-,-
,,Q2,417,248,59%,148,35%,21,5%,-,-
,,Q3,266,143,54%,112,42%,11,4%,-,-
,,Q4,241,128,53%,97,40%,16,7%,-,-
,2016,Q1,218,114,52%,90,41%,14,6%,-,-
,,Q2,301,118,39%,177,59%,6,2%,-,-
,,Q3,437,152,35%,257,59%,28,6%,-,-
,,Q4,651,302,46%,312,48%,37,6%,-,-
,2017,Q1,372,155,42%,195,52%,22,6%,-,-
,,Q2,302,107,35%,174,58%,21,7%,-,-
Standard language10,2014,,"1,814","1,287",71%,440,24%,87,5%,-,-
,2015,,"1,010",697,69%,264,26%,49,5%,-,-
,2016,,"1,062",589,55%,433,41%,40,4%,-,-
,2014,Q1,541,376,70%,149,28%,16,3%,-,-
,,Q2,443,307,69%,114,26%,22,5%,-,-
,,Q3,441,311,71%,93,21%,37,8%,-,-
,,Q4,389,293,75%,84,22%,12,3%,-,-
,2015,Q1,376,251,67%,108,29%,17,5%,-,-
,,Q2,303,231,76%,59,19%,13,4%,-,-
,,Q3,172,126,73%,40,23%,6,3%,-,-
,,Q4,159,89,56%,57,36%,13,8%,-,-
,2016,Q1,111,85,77%,25,23%,1,1%,-,-
,,Q2,175,103,59%,72,41%,-,0%,-,-
,,Q3,263,127,48%,127,48%,9,3%,-,-
,,Q4,513,274,53%,209,41%,30,6%,-,-
,2017,Q1,213,125,59%,71,33%,17,8%,-,-
,,Q2,150,80,53%,57,38%,13,9%,-,-
Rare language11,2014,,564,99,18%,437,77%,28,5%,-,-
,2015,,478,109,23%,336,70%,33,7%,-,-
,2016,,488,96,20%,353,72%,39,8%,-,-
,2014,Q1,169,37,22%,129,76%,3,2%,-,-
,,Q2,153,27,18%,124,81%,2,1%,-,-
,,Q3,138,16,12%,102,74%,20,14%,-,-
,,Q4,104,19,18%,82,79%,3,3%,-,-
,2015,Q1,192,37,19%,137,71%,18,9%,-,-
,,Q2,113,17,15%,89,79%,7,6.2%,-,-
,,Q3,93,16,(17%),72,(77%),5,(5%),-,-
