Table 2.9  Reported Child (0-15) Road Casualties by District and Severity 1994-2014,,,,,,,,,,,,,,,,,,,,,,,
District,Severity,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Bolton,Fatal,2.0,1.0,1.0,4.0,1.0,,,1.0,1.0,2.0,2.0,1.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
,Serious,40.0,41.0,31.0,30.0,27.0,30.0,26.0,23.0,13.0,24.0,22.0,24.0,19.0,13.0,17.0,11.0,11.0,20.0,13.0,8.0,15.0,11.0
,Slight,334.0,274.0,284.0,302.0,258.0,287.0,289.0,293.0,235.0,239.0,215.0,215.0,173.0,148.0,124.0,122.0,122.0,113.0,104.0,78.0,69.0,81.0
,Total,376.0,316.0,316.0,336.0,286.0,317.0,315.0,317.0,249.0,265.0,239.0,240.0,192.0,161.0,141.0,133.0,133.0,135.0,117.0,86.0,84.0,92.0
Bury,Fatal,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Serious,20.0,17.0,14.0,14.0,7.0,9.0,8.0,14.0,13.0,7.0,8.0,16.0,11.0,8.0,6.0,11.0,11.0,11.0,9.0,4.0,4.0,4.0
,Slight,169.0,138.0,157.0,174.0,143.0,173.0,164.0,152.0,146.0,124.0,118.0,114.0,100.0,98.0,76.0,95.0,95.0,67.0,62.0,54.0,36.0,20.0
,Total,190.0,155.0,172.0,189.0,151.0,183.0,173.0,167.0,160.0,131.0,127.0,130.0,111.0,106.0,82.0,106.0,106.0,78.0,71.0,58.0,40.0,24.0
Manchester,Fatal,4.0,4.0,5.0,2.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
,Serious,80.0,57.0,76.0,61.0,62.0,59.0,57.0,54.0,49.0,52.0,39.0,42.0,34.0,32.0,27.0,30.0,30.0,27.0,24.0,25.0,17.0,16.0
,Slight,412.0,441.0,492.0,507.0,503.0,476.0,445.0,455.0,396.0,418.0,363.0,324.0,305.0,252.0,229.0,255.0,255.0,209.0,232.0,163.0,138.0,167.0
,Total,496.0,502.0,573.0,570.0,570.0,535.0,505.0,514.0,446.0,475.0,405.0,366.0,341.0,285.0,257.0,287.0,287.0,236.0,256.0,189.0,155.0,183.0
Oldham,Fatal,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
,Serious,36.0,25.0,27.0,28.0,19.0,24.0,26.0,24.0,18.0,23.0,28.0,21.0,19.0,22.0,13.0,14.0,14.0,21.0,15.0,3.0,10.0,15.0
,Slight,266.0,257.0,226.0,249.0,237.0,212.0,205.0,201.0,182.0,189.0,187.0,146.0,176.0,127.0,105.0,90.0,90.0,98.0,94.0,74.0,114.0,86.0
,Total,303.0,284.0,254.0,281.0,256.0,236.0,231.0,225.0,200.0,213.0,215.0,167.0,195.0,149.0,118.0,105.0,105.0,119.0,110.0,77.0,125.0,101.0
Rochdale,Fatal,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,Serious,33.0,29.0,22.0,26.0,23.0,26.0,18.0,16.0,24.0,17.0,17.0,19.0,12.0,7.0,12.0,7.0,7.0,9.0,3.0,8.0,7.0,8.0
