"Table 6.06a: Total number of students in the matched cohort compared to the student population, by youth disposal outcome and ethnicity, 2014.",,,,,,,,
back to contents,,,,,,,,
,Less than 12 months in custody,Custody of 12 months or more,Youth Rehabilitation Orders,Referral Order,Caution,Total in Cohort,,"Student Population 2011/12, 2012/13 and 2013/14"
White,380,140,"1,770","2,820","6,810","11,920",,"1,362,150"
Black,60,50,250,330,390,"1,070",,"80,630"
Mixed,40,30,190,250,420,920,,"63,710"
Asian and Other,30,30,160,230,390,830,,"168,170"
Total,510,240,"2,360","3,620","8,010","14,740",,"1,674,650"
"Table 6.06b: Total number in the matched cohort that had Special Educational Needs without a statement compared to the student population, by youth disposal outcome and ethnicity, 2014.",,,,,,,,
,Outcome,,,,,,,
,Less than 12 months in custody,Custody of 12 months or more,Youth Rehabilitation Orders,Referral Order,Caution,,,"SEN without a statement 2011/12, 2012/13 and 2013/14"
Total in matched cohort,,,,,,,,
White,170,70,880,1270,2720,,,"230,760"
Black,30,20,130,140,160,,,"17,210"
Mixed,20,10,90,130,190,,,"11,680"
Asian and Other,10,10,70,80,140,,,"22,520"
,Percentages,,,,,,,
,Less than 12 months in custody,Custody of 12 months or more,Youth Rehabilitation Orders,Referral Order,Caution,,,"SEN without a statement 2011/12, 2012/13 and 2013/14"
White,45%,50%,49%,45%,40%,,,17%
Black,47%,53%,53%,42%,42%,,,21%
Mixed,44%,33%,49%,51%,46%,,,18%
Asian and Other,33%,33%,47%,35%,37%,,,13%
"Statistically significant difference, White compared with:",,,,,,,,
Black,,,,,,,,*
Mixed,,,,,*,,,*
Asian and Other,,,*,*,,,,*
Notes:,,,,,,,,
"Student population figures are all pupils at the end of KS4 for 2011/12, 2012/13 and 2013/14 more information can be found in the technical guide.",,,,,,,,
All numbers are rounded to the nearest 10.,,,,,,,,
"""-"" indicates that data are not reported because data is supressed when lower than 5.",,,,,,,,
