"Table 7.02 Number of offenders sentenced for shoplifting in 2013, by sex, and their previous criminal history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of offenders sentenced for shoplifting in 2013, by sex, and their previous cautions or convictions in selected  offences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Offence Description,Number of offenders,Number of offenders with no previous Cautions or Convictions,Number of offenders with previous Cautions or Convictions(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shoplifting,Assault ABH,Assault GBH,Cruelty / Neglect of children,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,Shoplifting,"18,705",769,"16,669","3,091",226,454,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,Shoplifting,"55,625","1,123","48,787","14,769","2,118",233,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknowns,Shoplifting,65,8,44,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) An offender may be counted more than once if he or she has been convicted different offences previously so that the sum of offenders with the previous convictions or cautions may be greater than the number of index offenders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of offenders sentenced for shoplifting in 2013, by sex, and their previous cautions or convictions by offence type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Number of offenders in 2013,Number of offenders with no previous Cautions or Convictions,Number of sentencing occasions (1)(2) by offence type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,Total less Offences Outside England and Breach Offences
,,,Violence,,Sexual offence,,Robbery,,Theft,,Criminal damage and arson,,Drug offences,,Possession of weapons,,Public disorder,,Miscellaneous crimes against society,,Fraud offences,,Summary (non motoring),,Summary (motoring),,Unknown offence,,Offences outside England and Wales,,Breach Offences,,,
,,,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,,
Females,"18,705",769,"6,621","1,285",42,6,"2,218",44,"299,352","18,143","3,756",530,"17,076","3,833","2,505",211,"5,718",195,"84,322",773,"23,577",889,"68,528","7,157","19,060",51,735,0,"2,019",3,"82,838",0,"651,487","566,627"
Males,"55,625","1,123","43,294","2,635","3,623",398,"17,822",176,"1,235,487","39,316","47,498","3,793","107,470","18,787","30,718","1,858","40,889",842,"324,286","2,565","49,014","1,204","391,988","25,306","237,763",467,"14,194",14,"22,299",25,"319,438",3,"2,983,172","2,641,407"
Unkowns,65,8,3,4,4,0,2,0,219,44,5,0,1,1,4,0,2,1,73,1,2,1,67,35,22,0,0,0,0,0,51,0,542,491
"Percentage of offenders sentenced for shoplifting in 2013, by sex, and their previous cautions or convictions by offence type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Number of offenders in 2013,Percentage of offenders with no previous Cautions or Convictions(1),Percentage of sentencing occasions(1)(2) by offence type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Violence,,Sexual offence,,Robbery,,Theft,,Criminal damage and arson,,Drug offences,,Possession of weapons,,Public disorder,,Miscellaneous crimes against society,,Fraud offences,,Summary (non motoring),,Summary (motoring),,Unknown offence,,,,,,,
,,,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,Conviction,Caution,,,,,,
Females,"18,705",4%,1.2,0.2,0.0,0.0,0.4,0.0,52.8,3.2,0.7,0.1,3.0,0.7,0.4,0.0,1.0,0.0,14.9,0.1,4.2,0.2,12.1,1.3,3.4,0.0,0.1,0.0,,,,,,
Males,"55,625",2%,1.6,0.1,0.1,0.0,0.7,0.0,46.8,1.5,1.8,0.1,4.1,0.7,1.2,0.1,1.5,0.0,12.3,0.1,1.9,0.0,14.8,1.0,9.0,0.0,0.5,0.0,,,,,,
Unkowns,65,12%,0.6,0.8,0.8,0.0,0.4,0.0,44.6,9.0,1.0,0.0,0.2,0.2,0.8,0.0,0.4,0.2,14.9,0.2,0.4,0.2,13.6,7.1,4.5,0.0,0.0,0.0,,,,,,
(1) An offender may be counted more than once if he or she has been convicted for different offences previously so that the sum of offenders with the previous convictions or cautions may be greater than the number of index offenders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
