Sex and age,"Number of persons (1,000) Total",Never married,Married,Married spouse present,Married spouse absent,Separated,Widowed,Divorced,Percent distribution Total,Never married,Married,Married spouse present,Married spouse absent,Separated,Widowed,Divorced
18 to 19 years old,3998.0,3907.0,90.0,42.0,14.0,34.0,0.0,1.0,100.0,97.7,2.2511255627813904,1.0,0.4,0.9,0.0,0.0
20 to 24 years old,10380.0,9064.0,1229.0,1027.0,103.0,99.0,9.0,78.0,100.0,87.3,11.840077071290944,9.9,1.0,0.9,0.1,0.8
25 to 29 years old,10711.0,6299.0,4078.0,3661.0,222.0,195.0,15.0,318.0,100.0,58.8,38.07300905611054,34.2,2.1,1.8,0.1,3.0
30 to 34 years old,9471.0,3270.0,5581.0,5108.0,243.0,230.0,17.0,603.0,100.0,34.5,58.927251610178445,53.9,2.6,2.4,0.2,6.4
35 to 39 years old,10283.0,2387.0,6938.0,6474.0,242.0,222.0,24.0,935.0,100.0,23.2,67.4705825148303,63.0,2.4,2.2,0.2,9.1
40 to 44 years old,10585.0,2088.0,7180.0,6595.0,308.0,277.0,54.0,1264.0,100.0,19.7,67.83183750590457,62.3,2.9,2.6,0.5,11.9
45 to 54 years old,21530.0,3087.0,15079.0,14217.0,353.0,509.0,228.0,3136.0,100.0,14.3,70.03715745471435,66.0,1.6,2.4,1.1,14.6
55 to 64 years old,16072.0,1213.0,12211.0,11663.0,215.0,333.0,398.0,2250.0,100.0,7.5,75.97685415629667,72.6,1.3,2.1,2.5,14.0
65 to 74 years old,8973.0,399.0,7104.0,6853.0,104.0,147.0,619.0,851.0,100.0,4.4,79.17084587094617,76.4,1.2,1.6,6.9,9.5
75 years old and over,6781.0,255.0,4640.0,4481.0,108.0,51.0,1549.0,338.0,100.0,3.8,68.4264857690606,66.1,1.6,0.7,22.8,5.0
18 to 19 years old,3856.0,3658.0,181.0,124.0,29.0,28.0,3.0,14.0,100.0,94.9,4.693983402489627,3.2,0.8,0.7,0.1,0.4
20 to 24 years old,10127.0,7990.0,1978.0,1721.0,87.0,170.0,20.0,139.0,100.0,78.9,19.531944307297326,17.0,0.9,1.7,0.2,1.4
25 to 29 years old,10326.0,4695.0,5106.0,4653.0,135.0,318.0,47.0,479.0,100.0,45.5,49.4479953515398,45.1,1.3,3.1,0.5,4.6
30 to 34 years old,9596.0,2504.0,6255.0,5776.0,143.0,336.0,57.0,780.0,100.0,26.1,65.18340975406419,60.2,1.5,3.5,0.6,8.1
35 to 39 years old,10438.0,1675.0,7476.0,6910.0,166.0,400.0,94.0,1193.0,100.0,16.0,71.6229162674842,66.2,1.6,3.8,0.9,11.4
40 to 44 years old,10806.0,1462.0,7538.0,7001.0,135.0,402.0,165.0,1640.0,100.0,13.5,69.75754210623728,64.8,1.3,3.7,1.5,15.2
45 to 54 years old,22389.0,2298.0,15415.0,14356.0,300.0,759.0,745.0,3930.0,100.0,10.3,68.85077493411943,64.1,1.3,3.4,3.3,17.5
55 to 64 years old,17215.0,1181.0,11346.0,10812.0,179.0,355.0,1464.0,3225.0,100.0,6.9,65.90763868719141,62.8,1.0,2.1,8.5,18.7
65 to 74 years old,10602.0,444.0,6023.0,5739.0,127.0,157.0,2662.0,1472.0,100.0,4.2,56.81003584229391,54.1,1.2,1.5,25.1,13.9
75 years old and over,10411.0,392.0,3205.0,3016.0,122.0,67.0,6137.0,678.0,100.0,3.8,30.784746902314858,29.0,1.2,0.6,58.9,6.5
