Occupation,SOC        code        \1,"Total employment,  all workers",Wage and salary workers Total       wage and salary workers,Mining (NAICS 21)  \2,Construction  (NAICS 23),Manufacturing  (NAICS 31 - 33),Information   (NAICS) 51),"Professional, scientific and technical services      (NAICS 54)",Government (NAICS 99),All other industries,Self employed \3
Computer and information systems managers,113021.0,263695.0,260046.0,473.0,708.0,24655.0,31048.0,65294.0,18093.0,119775.0,3649.0
Engineering managers,119041.0,187089.0,187006.0,2116.0,5374.0,80903.0,5195.0,55871.0,16486.0,21061.0,83.0
Natural science managers,119121.0,40743.0,40514.0,331.0,(NA),5542.0,158.0,14635.0,14315.0,5533.0,229.0
Computer and mathematical scientists,150000.0,3313213.0,3182302.0,8421.0,7695.0,268274.0,413225.0,1004555.0,240515.0,1239617.0,130911.0
Computer specialists,151000.0,3199583.0,3070132.0,382.0,7522.0,262406.0,406150.0,978828.0,221497.0,1193729.0,129451.0
Mathematical science occupations,152000.0,113630.0,112170.0,(NA),173.0,5868.0,7075.0,25726.0,19019.0,54309.0,1460.0
"Surveyors, cartographers, and photogrammetrists",171020.0,72216.0,69610.0,783.0,4129.0,(NA),(NA),52167.0,9495.0,3036.0,2606.0
Engineers \4,172000.0,1511531.0,1465869.0,21028.0,40286.0,563746.0,41286.0,430605.0,180034.0,188884.0,45662.0
Aerospace engineers,172011.0,89831.0,88571.0,(NA),(NA),58383.0,(NA),15940.0,9083.0,5165.0,1260.0
Civil engineers,172051.0,256330.0,243827.0,512.0,24313.0,2737.0,1075.0,130916.0,69100.0,15174.0,12503.0
Computer and hardware engineers,172061.0,78525.0,75698.0,(NA),(NA),33762.0,(NA),23321.0,4492.0,14123.0,2827.0
Electrical and electronics engineers,172070.0,291243.0,284992.0,181.0,4933.0,103248.0,30600.0,70751.0,26056.0,49223.0,6251.0
Industrial engineers \5,172110.0,226691.0,224596.0,2326.0,5862.0,149540.0,3013.0,29241.0,5199.0,29415.0,2095.0
Mechanical engineers,172141.0,225797.0,220737.0,781.0,2853.0,120567.0,299.0,63193.0,11888.0,21156.0,5060.0
"Drafters, engineering, and mapping  technicians /6",173000.0,839776.0,818858.0,4857.0,25234.0,240439.0,24242.0,309325.0,107602.0,107159.0,20918.0
Engineering technicians,173020.0,510990.0,506576.19,3617.19,4790.9,177999.08,21806.17,126509.8,90673.75,81179.30000000005,4413.94
Surveying and mapping technicians,173031.0,75555.0,72403.21,553.82,870.32,159.78,429.92,54236.76,11642.85,4509.759999999993,3151.76
"Life, physical, and social science occupations",190000.0,1406910.0,1309467.0,18339.0,3617.0,151081.0,30032.0,346067.0,302386.0,457945.0,97444.0
Life scientists,191000.0,258491.0,246959.0,(NA),(NA),31089.0,(NA),60838.0,66850.0,88182.0,11532.0
Physical scientists,192000.0,266845.0,262130.0,8743.0,359.0,42358.0,1852.0,98356.0,73920.0,36542.0,4715.0
Social scientists and related occupations,193000.0,530200.0,452468.0,(NA),2874.0,24168.0,27369.0,99971.0,75440.0,222646.0,77732.0
"Life, physical, and social science technicians",194000.0,351375.0,347910.13,9168.42,371.52,53466.92,(NA),86903.06,86175.64,111824.57000000002,3464.76
