"Race, Hispanic origin, and sex",Unit,Grandparents living with own grandchildren under 18 years old,Grandparents responsible for grandchildren Total,30 to 59 years old,60 years old and over
Grandparents living with own grandchildren under 18 years old,1000.0,6432.366,2617.58,1753.629,863.951
White alone,Percent,62.1,63.6,63.4,64.2
Black or African American alone,Percent,19.1,23.7,23.9,23.3
American Indian and Alaska Native alone,Percent,1.4,1.9,1.9,1.8
Asian alone,Percent,7.5,3.1,2.1,5.1
Native Hawaiian and Other Pacific Islander alone,Percent,0.3,0.2,0.2,0.3
Some other race alone,Percent,7.9,5.6,6.5,3.8
Two or more races,Percent,1.7,1.8,2.0,1.5
Hispanic origin \1,Percent,23.5,18.6,20.4,14.8
"White alone, not Hispanic",Percent,47.5,51.6,50.5,54.0
Male,Percent,35.6,37.5,35.4,41.9
Female,Percent,64.4,62.5,64.6,58.1
