Kind of Business,2002  NAICS  code \1,"Establishments 2002 (1,000)","2003 (1,000)","2004 (1,000)","2005 (1,000)","2006 (1,000)","2007 (1,000)",Receipts 2002 (million dollars),2003 (million dollars),2004 (million dollars),2005 (million dollars),2006 (million dollars),2007 (million dollars)
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4231.0,14451.0,15077.0,16130.0,16470.0,16826.0,16944.0,2007.127,2121.093,2268.036,2300.302,2374.036,2444.368
Furniture and home furnishing merchant wholesalers,4232.0,15366.0,16204.0,16667.0,16286.0,16049.0,15317.0,1152.839,1208.019,1292.931,1316.91,1296.437,1258.682
Lumber and other construction materials merchant wholesalers,4233.0,7443.0,7611.0,7658.0,7859.0,8704.0,8817.0,844.086,915.312,937.513,1031.684,1036.585,1016.707
Professional and commercial equipment and supplies merchant wholesalers,4234.0,10783.0,10746.0,10546.0,10386.0,10419.0,10755.0,962.756,1015.697,1007.247,1034.164,1078.934,1121.155
Metal and mineral (except petroleum) merchant wholesalers,4235.0,3237.0,3301.0,3341.0,3175.0,3184.0,3241.0,383.09,389.823,465.776,460.721,493.532,503.901
Electrical and electronic goods merchant wholesalers,4236.0,9372.0,10197.0,10664.0,10885.0,11057.0,10948.0,923.217,1005.31,1121.774,1180.175,1199.566,1281.971
Hardware and plumbing and heating equipment and supplies merchant wholesalers,4237.0,5676.0,5680.0,5600.0,5514.0,5429.0,5157.0,521.241,526.617,551.724,557.058,563.704,541.168
"Machinery, equipment, and supplies merchant wholesalers",4238.0,21480.0,21214.0,20899.0,20318.0,19649.0,19750.0,2367.537,2417.218,2575.731,2627.355,2650.967,2703.03
Miscellaneous durable goods merchant wholesalers,4239.0,106109.0,111226.0,113391.0,112434.0,112184.0,110784.0,7794.385,8077.098,8639.095,8732.006,8955.54,8932.673
Sporting and recreational goods and supplies merchant wholesalers,42391.0,10879.0,11358.0,11678.0,11631.0,11837.0,11568.0,713.595,751.853,797.589,801.426,828.415,814.644
Toy and hobby goods and supplies merchant wholesalers,42392.0,9263.0,9853.0,9930.0,9348.0,8910.0,8183.0,435.913,445.049,449.265,428.909,430.065,414.966
Recyclable material merchant wholesalers,42393.0,4633.0,4756.0,5028.0,5204.0,5789.0,8450.0,339.51,393.66,476.227,509.205,604.484,739.299
"Jewelry, watch, precious stone, and precious metal merchant wholesalers",42394.0,18767.0,20332.0,21177.0,22250.0,23185.0,22990.0,1492.479,1522.772,1613.131,1645.375,1719.81,1668.053
Other miscellaneous durable goods merchant wholesalers,42399.0,62567.0,64927.0,65578.0,64001.0,62463.0,59593.0,4812.888,4963.764,5302.883,5347.091,5372.766,5295.711
Paper and paper product merchant wholesalers,4241.0,6721.0,7012.0,7041.0,6831.0,7069.0,7173.0,534.382,554.93,567.759,550.604,544.054,565.079
Drugs and druggists' sundries merchant wholesalers,4242.0,3413.0,3592.0,3519.0,3180.0,3091.0,2942.0,243.005,254.757,266.246,249.549,239.426,234.006
"Apparel, piece goods, and notions merchant wholesalers",4243.0,20683.0,22242.0,22956.0,23201.0,23859.0,23504.0,1552.917,1621.078,1703.069,1732.613,1736.298,1744.28
Grocery and related products merchant wholesalers,4244.0,26679.0,27288.0,27706.0,27529.0,28085.0,28353.0,3271.098,3397.626,3428.478,3508.242,3558.848,3684.027
Farm product raw material merchant wholesalers,4245.0,4222.0,4146.0,4122.0,3936.0,4331.0,4578.0,490.256,510.821,496.12,494.618,484.683,507.62
Chemical and allied products merchant wholesalers,4246.0,4437.0,4468.0,4281.0,4086.0,3940.0,3871.0,419.822,432.849,435.242,441.086,436.739,426.698
Petroleum and petroleum products merchant wholesalers,4247.0,2331.0,2358.0,2382.0,2354.0,2348.0,2327.0,261.331,267.66,277.145,283.075,286.332,300.925
"Beer, wine, and distilled alcoholic beverage merchant wholesalers",4248.0,2786.0,2859.0,3277.0,3456.0,3778.0,3968.0,235.106,251.91,280.698,319.859,335.323,358.071
Miscellaneous nondurable goods merchant wholesalers,4249.0,74574.0,77250.0,78544.0,76275.0,77794.0,75219.0,5009.094,5068.907,5185.2,5285.182,5313.916,5277.231
Farm supplies merchant wholesalers,42491.0,2665.0,2582.0,2510.0,2506.0,2537.0,2645.0,222.367,214.785,226.526,228.957,233.896,253.595
"Book, periodical, and newspaper merchant wholesalers",42492.0,14121.0,14891.0,15144.0,14688.0,16003.0,15418.0,393.76,409.216,411.98,412.732,422.831,454.307
"Flower, nursery stock, and florists' supplies merchant wholesalers",42493.0,7943.0,8240.0,8389.0,8078.0,8231.0,8255.0,407.448,419.022,440.113,428.44,456.298,463.624
Tobacco and tobacco product merchant wholesalers,42494.0,1379.0,1412.0,1428.0,1353.0,1310.0,1271.0,205.582,198.987,190.976,184.197,194.014,200.99
"Paint, varnish, and supplies merchant wholesalers",42495.0,1104.0,1123.0,1156.0,1166.0,1651.0,1734.0,69.051,70.626,80.691,88.008,89.181,94.262
Other miscellaneous nondurable goods merchant wholesalers,42499.0,47362.0,49002.0,49917.0,48484.0,48062.0,45896.0,3710.886,3756.271,3834.914,3942.848,3917.696,3810.453
Business to business electronics markets,42511.0,1701.0,2948.0,3903.0,4738.0,6304.0,6753.0,78.776,140.149,214093.0,259288.0,327931.0,396.231
Wholesale trade agents and brokers,42512.0,22317.0,21018.0,21705.0,22221.0,22922.0,41462.0,969.886,1222.908,1511028.0,1721991.0,1890841.0,2524.717
