TYPE OF INSTRUMENT,1952.0,1953.0,1954.0,TOTAL (billion dollars) 1955.0,1956.0,1957.0,1958.0,1959.0,TOTAL (billion dollars) 1960.0,1961.0,1962.0,1963.0,1964.0,TOTAL (billion dollars) 1965.0,1966.0,1967.0,1968.0,1969.0,TOTAL (billion dollars) 1970.0,1971.0,1972.0,1973.0,1974.0,TOTAL (billion dollars) 1975.0,1976.0,1977.0,1978.0,1979.0,TOTAL (billion dollars) 1980.0,1981.0,1982.0,1983.0,1984.0,TOTAL (billion dollars) 1985.0,1986.0,1987.0,1988.0,1989.0,TOTAL (billion dollars) 1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,PERCENT DISTRIBUTION 1990.0,2000.0,2005.0,2008.0
Deposits,142.709,152.045,162.933,172.39,183.445,194.305,210.412,223.862,237.568,254.49,279.932,310.625,339.173,373.282,394.4,439.723,479.444,487.123,535.803,614.057,697.188,766.396,828.522,908.272,1019.635,1136.659,1256.016,1375.186,1534.193,1736.905,1894.987,2087.324,2372.283,2525.601,2771.304,2918.374,3114.807,3275.365,3326.418,3318.399,3280.891,3214.605,3170.659,3357.405,3499.893,3666.104,3882.253,4050.664,4377.253,4876.963,5154.503,5350.65,5742.557,6153.776,6779.026,7330.028,7685.399,22.789173063869352,13.191811291031485,14.346104465402703,18.830200760681016
Foreign deposits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427,6.937,6.902,7.791,8.753,9.759,10.708,11.874,13.427,14.565,15.6,15.757,18.847,23.356,35.469,37.179,37.725,40.659,48.271,48.676,49.937,52.095,57.487,59.936,65.218,78.22,59.947,0.09198790612862659,0.145475238198336,0.1397269119380322,0.146877741155735
Checkable deposits and currency,63.397,64.569,66.317,67.303,69.077,68.137,70.481,72.785,74.549,73.399,73.023,77.735,80.368,87.02,89.418,99.852,109.244,107.69,114.933,128.299,139.941,147.676,152.484,153.269,163.76,178.271,192.901,211.66,227.203,270.997,286.706,294.081,308.624,323.71,439.581,443.169,441.35,443.516,432.824,484.75,596.054,644.496,614.476,561.925,494.673,448.131,463.775,417.728,335.119,407.225,414.546,399.019,370.314,256.775,236.386,101.251,156.164,2.965262045298032,1.0099545555258471,0.5986114824627641,0.382621575222183
Time and savings deposits,79.312,87.476,96.616,105.087,114.368,126.168,139.931,151.077,163.019,181.091,206.909,232.89,258.805,286.262,304.982,339.871,370.2,379.433,420.87,485.758,557.247,618.72,673.659,751.307,852.494,955.191,1054.187,1124.067,1242.624,1311.263,1417.715,1631.561,1857.519,1989.517,2079.53,2200.868,2380.019,2459.123,2489.601,2411.372,2303.697,2190.874,2164.219,2299.689,2441.836,2578.462,2674.144,2776.18,3034.066,3307.836,3618.315,3939.366,4410.695,4887.819,5362.971,5803.841,5891.363,17.056169143199142,9.14382287625018,11.394818723005224,14.434585379893484
Money market fund shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.379,3.696,3.381,3.197,8.928,39.459,64.366,154.645,188.139,154.745,199.238,204.583,243.44,264.578,282.73,360.852,390.566,407.712,365.54,363.478,373.117,472.435,527.915,602.332,706.609,816.097,959.797,1113.226,1071.705,960.17,904.061,949.246,1114.451,1346.716,1577.925,2.675753969243552,2.892558621057121,2.212947347996686,3.8661160644096153
Credit market instruments,104.619,109.581,109.49,117.619,124.884,131.939,132.663,142.784,150.918,154.854,158.2,159.802,166.179,170.03,190.039,195.166,203.481,241.379,242.426,233.202,229.977,254.696,299.524,320.691,331.258,358.421,406.651,486.129,521.019,546.606,612.819,705.866,811.392,970.996,1005.281,1180.727,1387.511,1484.632,1747.77,1830.726,1893.57,1895.7,2212.613,2241.714,2424.236,2402.496,2455.586,2590.846,2481.246,2392.854,2552.049,2783.908,3102.364,3452.11,3625.56,3942.494,3876.395,11.973910977465533,7.477778643050039,8.047795481353454,9.497658622239404
Open-market paper,1.04,1.296,1.072,1.354,1.42,1.715,1.817,1.607,2.55,2.188,2.993,4.196,5.173,6.044,8.294,10.135,12.168,18.534,16.569,13.768,9.333,14.111,22.495,19.746,16.851,31.539,46.23,56.004,52.267,42.0,48.718,43.78,65.64,56.471,56.132,55.346,93.557,87.881,93.658,58.5,52.676,65.04,69.716,71.731,75.821,77.115,80.163,84.859,97.305,97.273,110.35,105.86,136.1,164.24,187.655,149.695,10.449,0.6416476735082229,0.2932499441256466,0.3828875469951685,0.0256013731685701
Treasury securities,67.389,68.038,66.087,68.843,70.225,71.507,68.638,71.584,72.194,71.944,73.718,72.892,73.571,74.762,79.08,78.992,81.735,93.166,83.041,74.2,77.357,88.48,96.253,111.787,102.738,104.545,110.312,155.885,173.872,168.771,185.736,232.735,280.419,285.779,274.476,311.884,397.687,399.073,508.632,539.516,632.232,677.987,875.387,833.643,894.19,803.133,739.464,814.399,584.811,444.963,288.295,441.541,535.366,511.266,440.454,191.207,273.197,3.4846199947877863,1.762456123262561,1.1918983475525562,0.6693672452420195
Savings bonds,49.173,49.371,49.966,50.229,50.135,48.226,47.703,45.907,45.642,46.445,46.968,48.149,49.06,49.695,50.249,51.219,51.866,51.77,52.089,54.416,57.667,60.354,63.338,67.363,72.018,76.762,80.691,79.876,72.528,68.19,68.346,71.485,74.515,79.777,93.332,101.103,109.556,117.725,126.213,138.122,157.267,171.925,179.923,184.994,187.007,186.496,186.627,186.449,184.753,190.329,194.872,203.801,204.395,205.103,202.376,196.395,193.975,0.864680836837145,0.556793658363348,0.478150173839199,0.4752633132714515
