State     Unit indicator,FIPS Code,Total housing units    (number),Percent of units by units in structures--    1-unit detached (percent,1-unit attached (percent,2 units (percent,3 or 4 units (percent,5 or 9 units (percent,10 or 19 units (percent,20 or more units (percent,Mobile homes (percent,"Boat, RV, van, and such (percent"
Alabama,01000,2137.012,68.12175130509327,1.7529616118206164,2.139061455901979,3.042098032205715,4.431140302440978,2.8194039153734276,2.9483690311519073,14.68096575966817,0.06424858634392319
Alaska,02000,282.271,60.47238292279404,7.968583382635836,4.998388073872271,7.284843288896131,5.843675049863429,2.5110620644699595,5.748022290635595,5.060385232631053,0.11265769420167145
Arizona,04000,2667.55,62.76602125545912,5.013026934827837,1.5365785083691024,3.363085977769863,4.514479578639576,5.3335457629660175,5.859983880339638,11.09527469025885,0.5180034113699836
Arkansas,05000,1287.472,70.51718406303206,1.8944878024531795,3.192302434538383,2.9529185877440445,3.4195695129680495,2.877188785464849,2.271738725191694,12.749248138988653,0.12536194961909852
California,06000,13308.705,58.27201820162067,6.97176772646174,2.5660498147640958,5.636341026418423,6.3221177417337,5.391320943698128,10.75539656187435,3.9655173061541302,0.11947067727476114
Colorado,08000,2127.358,63.18419372761894,6.9850020541911615,1.7076110367883541,3.5788992731829805,4.531865346594226,5.987990737807176,9.311032745781386,4.686799306933764,(Z)
Connecticut,09000,1438.548,59.24126271768478,5.114254095101449,7.914994842021262,9.15728915545397,5.430406215155838,3.6424227762994352,8.59095421216393,0.8925666713936553,(Z)
Delaware,10000,388.619,57.12716053512567,15.236774321379038,1.79147185289448,2.5070827725870326,3.7808238917808956,5.010563045038971,4.503897133181856,9.98690233879455,0.055324109217511235
District of Columbia,11000,284.235,12.135380934789875,27.19334353615846,3.2378137808503524,7.543757806040776,6.353897303287772,11.00392281035059,32.402413495874896,(Z),0.08514081657783172
Florida,12000,8716.601,54.09672875929504,6.138149491986613,2.3187708144493477,3.8491379839458064,5.1083214661311205,6.109101472007264,12.188156828561958,10.071804365027146,0.11982881859568884
Georgia,13000,3961.643,66.38321524680542,3.5012998394857893,2.461756397535063,2.999639291071911,5.258222409237784,4.980711285696364,4.269339766354515,10.108407042229702,(Z)
Hawaii,15000,506.751,54.00857620409235,6.693820041795676,2.4232808618039234,4.301323529701964,7.109211427308482,5.417650877847306,19.802032951094326,0.20996505186965594,(Z)
Idaho,16000,631.022,73.24736696977284,2.9238283292817044,2.776923783956819,4.08194959922158,2.749032521845514,1.7422530434755046,2.624631153905886,9.741181765453502,0.11283283308664356
Illinois,17000,5246.116,58.550687785020386,5.801854171733908,6.435732644874799,6.736564727123838,6.030518577934609,4.021298804677594,9.563684828928677,2.8418166887655554,0.017841770940634938
Indiana,18000,2777.953,72.4685766821829,3.376766993538048,2.85318002140425,3.620183638816063,4.735393291391179,3.6787879420566147,3.7076581209257315,5.541922415534028,(Z)
Iowa,19000,1329.388,73.97516752069374,3.124144343111266,2.579231947332156,3.720584208673465,3.9659602764580395,3.9314331105741895,4.72773938082787,3.967239060379664,(Z)
Kansas,20000,1219.1,73.28849151013044,4.158313509966369,2.3742925108686737,3.870724304815028,3.8606348945943734,3.2313181855467152,3.9880239520958085,5.18628496431794,(Z)
Kentucky,21000,1906.198,68.37810133050186,2.2209655030589683,2.9809075447566307,3.6792085607056553,4.411766248836689,3.2989227771721508,2.8239983464466967,12.194850692320525,(Z)
Louisiana,22000,1858.586,66.01405584675662,2.3396818871981173,3.5050301680955314,4.0940801232765125,3.4097964796893985,2.800193265202686,3.74639645407853,13.962119589838725,0.12864618586387716
Maine,23000,696.681,69.54775571603072,2.0502927451731856,4.948462782823128,5.712083435603956,4.068863654958295,1.5522168682653896,2.905777536634414,9.181102972522574,(Z)
Maryland,24000,2318.43,51.80277170326472,21.42117726219899,1.820542349779808,2.3835095301561835,5.258817389354003,8.224444990791183,7.245075331150823,1.83417226312634,(Z)
Massachusetts,25000,2722.323,52.518014945324275,4.5058944144394335,11.184124734647579,10.99483786457375,6.195223711514028,4.165082541638153,9.573625172325254,0.840936215136852,(Z)
Michigan,26000,4526.914,71.60224382438014,4.537439854169971,2.8859836966198165,2.7219425860531037,4.210859760092638,3.7578580021621795,4.540731279631113,5.7231703540204215,(Z)
Minnesota,27000,2304.473,68.22605428659828,7.044777699717028,2.3937794020585184,2.0720138617375863,2.287551210189922,3.6187015426086573,10.597911105923133,3.732176510638224,(Z)
Mississippi,28000,1254.936,69.75511101761364,1.2207793863591452,2.293104987027227,3.282398464941639,4.451063639898767,1.6781732295511484,1.5799212071372568,15.424850350934232,0.31459771653693896
Missouri,29000,2647.379,70.20453059422168,3.3158078235114803,3.8269926595323147,4.7578000732044785,3.962069654552673,3.319925103281397,3.8587599282157945,6.705311177583565,0.048802985896616996
Montana,30000,435.586,70.33582346540062,2.420647128236445,3.296249190745341,4.8043325543061535,3.36420362454257,1.931650695844219,2.7009591676500166,11.086214892122335,0.0599192811522868
Nebraska,31000,780.592,72.97832926804271,3.9163865373972575,2.2708405927808637,2.5392266382437945,3.738060343944084,4.889878451226762,5.342355545534671,4.248826531658024,0.07609609117182856
Nevada,32000,1102.409,58.86581114631684,4.591217959940457,1.3287264527049398,5.936000159650365,9.961547846579625,6.256842968444561,5.98933789546348,6.844918718914668,0.2255968519850618
New Hampshire,33000,594.126,64.3962728444808,5.18711519105375,5.28759892682697,5.410973429878512,4.636558575117062,3.046155192669568,5.972302171593231,6.0424893036157314,(Z)
New Jersey,34000,3498.786,53.797974497439974,9.227743565911146,9.552513357490284,6.485649593887708,4.999391217410839,5.107543016349099,9.762014595919842,1.0354162843912145,(Z)
New Mexico,35000,862.095,63.270057244271214,4.038302043278293,1.848056188703101,3.7333472529129623,3.129469490021401,2.9608105835203773,4.054541552845104,16.829235757080134,0.1361798873674015
New York,36000,7940.072,41.67909308630954,4.830837806004782,11.250149872696367,7.22488410684437,5.337949076532303,4.1675314783039745,22.960711187505602,2.518087997186927,(Z)
North Carolina,37000,4124.066,65.26054626671834,3.47559908110103,2.4178808001617824,2.7229438132173445,4.440981303403,3.857891702024167,3.255476512742522,14.523094441262579,(Z)
North Dakota,38000,310.438,61.24121402663334,4.339030659906326,2.3718101521076673,4.15445274096599,4.738466296007577,6.09203770157004,9.638317474020578,7.422093944684607,(Z)
Ohio,39000,5065.254,68.19213804480486,4.611970100610947,4.695756619510098,4.498372638371146,4.832511854292005,3.923376794135102,5.109615430933967,4.1232877956367044,(Z)
Oklahoma,40000,1623.1,73.46596019961802,1.9719672232148358,2.0330232271579076,2.709568110406013,4.112254328137515,3.553015833898096,2.9310578522580246,9.149282237693305,0.07387098761628982
Oregon,41000,1609.764,64.18518490909227,3.9649290206514745,3.125986169401229,4.248324599133787,4.658384707323559,3.9030565971160986,7.0005913910362025,8.647851486304827,0.26569111994056277
Pennsylvania,42000,5478.158,56.83202273464912,18.38581508601979,4.8843060021269915,4.284688393434435,3.369362475489024,2.554380505272027,5.236869765348133,4.433826114544341,(Z)
Rhode Island,44000,450.877,54.974860105971246,3.475892538319764,12.388966392164603,13.359519336759249,4.737212144332046,3.128347642483427,6.8981119019156,0.9412766674725036,0.0958132705815555
South Carolina,45000,2022.033,62.526477065408926,2.215987572903113,2.522807491272398,2.991692024808695,4.8781102979031505,3.2807575346198603,3.341735767912789,18.20741797982526,(Z)
South Dakota,46000,356.264,69.0196034401455,2.760873958637415,2.3898008218624387,3.2223295084544046,3.4002874273011026,3.5585969954864933,5.898434868524465,9.742494330047382,(Z)
Tennessee,47000,2724.929,68.4892340314188,3.158614407935032,2.953508146450788,3.352454320828176,4.396041144558262,4.0772438474543735,3.333921727868873,10.186650734753089,0.052331638732605504
Texas,48000,9433.119,65.66761216518098,2.5701573360836427,2.139048600998249,3.260925681102931,4.98337824424774,6.629154153573171,6.954444229951938,7.650057208013596,0.14522238084773445
Utah,49000,925.295,69.69485407356574,5.382823856175598,2.9320378906186675,4.881254086534565,3.8612550591973376,4.016881102783437,5.234871041127425,3.8808163882869793,0.11520650171026538
Vermont,50000,311.42,67.67388093250273,3.300044955365743,6.217969301907392,6.32521996018239,4.697835720249182,1.9867060561299852,2.6302100057799755,7.154325348404085,(Z)
Virginia,51000,3273.206,63.20256042546665,10.148673807881325,1.733285347759964,2.7473675656222065,4.410935333737014,5.929477093711792,6.076702780087779,5.728878659027266,(Z)
Washington,53000,2744.324,63.45464311065312,3.4359281192745463,2.810673958322705,3.7686512233978204,4.4949867435477735,5.563082201664235,8.888381984051446,7.406414111453312,0.17723854763504598
West Virginia,54000,882.631,71.02617061943212,1.9345570232634022,2.2542829336381796,2.8749273478951,2.9268176621940536,1.571324823170725,2.259721219852917,15.125800022886121,(Z)
Wisconsin,55000,2558.278,66.50774466262071,4.266932678934815,7.146955882042532,3.80939835311096,4.562443956442576,3.46213351324602,6.367720787185756,3.8636926870340127,(Z)
Wyoming,56000,242.344,65.89930016835572,3.8073977486548047,2.7167992605552436,5.318472914534711,3.1471792163206023,2.1597398738982605,2.1745947908757794,14.703479351665402,0.07303667513947117
