Occupation,"Employment (1,000)  2006.0",2016.0,"Change 2006 -2016  Number (1,000)",Percent,Quartile rank by 2006 median annual earnings \1,Most significant source of postsecondary education or training \2
Network systems and data communications analysts,262.0,402.0,140.0,53.4,VH,Bachelor's degree
Personal and home care aides,767.0,1156.0,389.0,50.6,VL,Short-term on-the-job training
Home health aides,787.0,1171.0,384.0,48.7,VL,Short-term on-the-job training
"Computer software engineers, applications",507.0,733.0,226.0,44.6,VH,Bachelor's degree
Veterinary technologists and technicians,71.0,100.0,29.0,41.0,L,Associate's degree
Personal financial advisors,176.0,248.0,72.0,41.0,VH,Bachelor's degree
"Makeup artists, theatrical and performance",2.0,3.0,1.0,39.8,H,Postsecondary
Medical assistants,417.0,565.0,148.0,35.4,L,Moderate-term on-the-job training
Veterinarians,62.0,84.0,22.0,35.0,VH,First professional degree
Substance abuse and behavioral disorder counselors,83.0,112.0,29.0,34.3,H,Bachelor's degree
Skin care specialists,38.0,51.0,13.0,34.3,L,Postsecondary vocational award
Financial analysts,221.0,295.0,75.0,33.8,VH,Bachelor's degree
Social and human service assistants,339.0,453.0,114.0,33.6,L,Moderate-term on-the-job training
Gaming surveillance officers and gaming investigators,9.0,12.0,3.0,33.6,L,Moderate-term on-the-job training
Physical therapist assistants,60.0,80.0,20.0,32.4,H,Associate degree
Pharmacy technicians,285.0,376.0,91.0,32.0,L,Moderate-term on-the-job training
Forensic science technicians,13.0,17.0,4.0,30.7,H,Bachelor's degree
Dental hygienists,167.0,217.0,50.0,30.1,VH,Associate's degree
Mental health counselors,100.0,130.0,30.0,30.0,H,Master's degree
Mental health and substance abuse social workers,122.0,159.0,37.0,29.9,H,Master's degree
Marriage and family therapists,25.0,32.0,7.0,29.8,H,Master's degree
Dental assistants,280.0,362.0,82.0,29.2,L,Moderate-term on-the-job training
Computer systems analysts,504.0,650.0,146.0,29.0,VH,Bachelor's degree
Database administrators,119.0,154.0,34.0,28.6,VH,Bachelor's degree
"Computer software engineers, systems software",350.0,449.0,99.0,28.2,VH,Bachelor's degree
Gaming and sports book writers and runners,18.0,24.0,5.0,28.0,VL,Short-term on-the-job training
"Environmental science and protection technicians, including health",36.0,47.0,10.0,28.0,H,Associate's degree
Manicurists and pedicurists,78.0,100.0,22.0,27.6,VL,Postsecondary vocational award
Physical therapists,173.0,220.0,47.0,27.1,VH,Master's degree
Physician assistants,66.0,83.0,18.0,27.0,VH,Master's degree
Registered nurses,2505.0,3092.0,587.0,23.5,VH,Associate's degree
Retail salespersons,4477.0,5034.0,557.0,12.4,VL,Short-term on-the-job training
Customer service representatives,2202.0,2747.0,545.0,24.8,L,Moderate-term on-the-job training
"Combined food preparation and serving workers, including fast food",2503.0,2955.0,452.0,18.1,VL,Short-term on-the-job training
"Office clerks, general",3200.0,3604.0,404.0,12.6,L,Short-term on-the-job training
Personal and home care aides,767.0,1156.0,389.0,50.6,VL,Short-term on-the-job training
Home health aides,787.0,1171.0,384.0,48.7,VL,Short-term on-the-job training
Postsecondary teachers,1672.0,2054.0,382.0,22.9,VH,Doctoral degree
"Janitors and cleaners, except maids and housekeeping cleaners",2387.0,2732.0,345.0,14.5,VL,Short-term on-the-job training
"Nursing aides, orderlies, and attendants",1447.0,1711.0,264.0,18.2,L,Postsecondary vocational award
"Bookkeeping, accounting, and auditing clerks",2114.0,2377.0,264.0,12.5,L,Moderate-term on-the-job training
Waiters and waitresses,2361.0,2615.0,255.0,10.8,VL,Short-term on-the-job training
Child care workers,1388.0,1636.0,248.0,17.8,VL,Short-term on-the-job training
Executive secretaries and administrative assistants,1618.0,1857.0,239.0,14.8,H,Work experience in a related occupation
"Computer software engineers, applications",507.0,733.0,226.0,44.6,VH,Bachelor's degree
Accountants and auditors,1274.0,1500.0,226.0,17.7,VH,Bachelor's degree
Landscaping and groundskeeping workers,1220.0,1441.0,221.0,18.1,L,Short-term on-the-job training
Elementary school teachers except special education,1540.0,1749.0,209.0,13.6,H,Bachelor's degree
Receptionsts and information clerks,1173.0,1375.0,202.0,17.2,L,Short-term on-the-job training
"Truck drivers, heavy and tractor-trailer",1860.0,2053.0,193.0,10.4,H,Moderate-term on-the-job training
Maids and housekeeping cleaners,1470.0,1656.0,186.0,12.7,VL,Short-term on-the-job training
Security guards,1040.0,1216.0,175.0,16.9,L,Short-term on-the-job training
Carpenters,1462.0,1612.0,150.0,10.3,H,Long-term on-the-job training
Management analysts,678.0,827.0,149.0,21.9,VH,"Bachelor's or higher degree, plus work experience"
Medical assistants,417.0,565.0,148.0,35.4,L,Moderate-term on-the-job training
Computer systems analysts,504.0,650.0,146.0,29.0,VH,Bachelor's degree
"Maintenance and repair workers, general",1391.0,1531.0,140.0,10.1,H,Moderate-term on-the-job training
Network systems and data communications analysts,262.0,402.0,140.0,53.4,VH,Bachelor's degree
Food preparation worker,902.0,1040.0,138.0,15.3,VL,Short-term on-the-job training
Teacher assistants,1312.0,1449.0,137.0,10.4,VL,Short-term on-the-job training
