"Marital status, race and Hispanic origin",Unit,Total 1990.0,2000.0,2005.0,2008.0,Male 1990.0,2000.0,2005.0,2008.0,Female 1990.0,2000.0,2005.0,2008.0
Never married,Million,40.4,48.2,53.9,58.3,22.4,26.1,29.6,32.0,17.9,22.1,24.3,26.3
Married \2,Million,112.6,120.1,127.4,128.7,55.8,59.6,63.3,64.1,56.7,60.4,64.0,64.5
Widowed,Million,13.8,13.7,13.8,14.3,2.3,2.6,2.7,2.9,11.5,11.1,11.1,11.4
Divorced,Million,15.1,19.8,22.1,23.3,6.3,8.5,9.2,9.8,8.8,11.3,12.9,13.6
Never married,Percent,22.2,23.9,24.8,25.9,25.8,27.0,28.2,29.4,18.9,21.1,21.6,22.7
Married \2,Percent,61.9,59.5,58.6,57.3,64.3,61.5,60.4,58.9,59.7,57.6,56.9,55.7
Widowed,Percent,7.6,6.8,6.4,6.4,2.7,2.7,2.6,2.7,12.1,10.5,9.9,9.8
Divorced,Percent,8.3,9.8,10.2,10.4,7.2,8.8,8.8,9.0,9.3,10.8,11.5,11.7
Never married,Million,31.6,36.0,39.7,42.8,18.0,20.3,22.6,24.4,13.6,15.7,17.0,18.5
Married \2,Million,99.5,104.1,108.3,108.8,49.5,51.8,54.0,54.5,49.9,52.2,54.2,54.3
Widowed,Million,11.7,11.5,11.5,11.9,1.9,2.2,2.3,2.4,9.8,9.3,9.2,9.4
Divorced,Million,12.6,16.5,18.1,19.1,5.4,7.2,7.6,8.2,7.3,9.3,10.4,10.9
Never married,Percent,20.3,21.4,22.3,23.5,24.1,24.9,26.1,27.2,16.9,18.1,18.7,19.8
Married \2,Percent,64.0,62.0,61.0,59.6,66.2,63.5,62.4,60.9,61.9,60.3,59.7,58.3
Widowed,Percent,7.5,6.8,6.5,6.5,2.6,2.7,2.6,2.7,12.2,10.8,10.2,10.1
Divorced,Percent,8.1,9.8,10.2,10.5,7.2,8.8,8.8,9.1,9.0,10.7,11.5,11.7
Never married,Million,7.1,9.5,10.2,10.9,3.5,4.3,4.7,5.1,3.6,5.1,5.5,5.8
Married \2,Million,9.3,10.1,10.3,10.6,4.5,5.0,5.0,5.2,4.8,5.1,5.2,5.4
Widowed,Million,1.7,1.7,1.7,1.7,0.3,0.3,0.3,0.3,1.4,1.4,1.4,1.4
Divorced,Million,2.1,2.8,2.9,3.2,0.8,1.1,1.1,1.2,1.3,1.7,1.8,2.0
Never married,Percent,35.1,39.4,40.6,41.3,38.4,40.2,42.0,42.9,32.5,38.3,39.5,39.7
Married \2,Percent,45.8,42.1,41.0,40.1,49.2,46.7,45.5,44.2,43.0,38.3,37.4,37.0
Widowed,Percent,8.5,7.0,6.6,6.5,3.7,2.8,2.7,2.8,12.4,10.5,10.0,9.6
Divorced,Percent,10.6,11.5,11.7,12.1,8.8,10.3,9.8,10.1,12.0,12.8,13.3,13.7
Never married,Million,(NA),(NA),2.3,2.6,(NA),(NA),1.3,1.5,(NA),(NA),1.0,1.2
Married \2,Million,(NA),(NA),6.2,6.7,(NA),(NA),2.9,3.1,(NA),(NA),3.3,3.5
Widowed,Million,(NA),(NA),0.4,0.5,(NA),(NA),0.1,0.1,(NA),(NA),0.3,0.4
Divorced,Million,(NA),(NA),0.5,0.4,(NA),(NA),0.2,0.1,(NA),(NA),0.3,0.3
Never married,Percent,(NA),(NA),24.8,25.8,(NA),(NA),29.7,30.9,(NA),(NA),20.3,21.2
Married \2,Percent,(NA),(NA),65.6,65.1,(NA),(NA),64.7,64.7,(NA),(NA),66.5,65.4
Widowed,Percent,(NA),(NA),4.3,4.9,(NA),(NA),1.3,1.6,(NA),(NA),6.7,7.7
Divorced,Percent,(NA),(NA),5.3,4.3,(NA),(NA),4.1,2.8,(NA),(NA),6.4,5.6
Never married,Million,3.7,5.9,8.6,9.7,2.2,3.4,5.2,5.8,1.5,2.5,3.4,3.9
Married \2,Million,8.4,12.7,15.6,17.2,4.1,6.237,7.8,8.7,4.3,6.5,7.8,8.5
Widowed,Million,0.5,0.9,1.0,1.1,0.1,0.2,0.2,0.2,0.4,0.7,0.8,0.8
Divorced,Million,1.0,1.6,2.2,2.3,0.4,0.7,0.9,0.9,0.6,1.0,1.3,1.4
Never married,Percent,27.2,28.0,31.3,32.0,32.1,32.3,36.7,37.2,22.5,23.4,25.6,26.7
Married \2,Percent,61.7,60.2,57.0,56.8,60.9,59.724217178971564,55.6,55.8,62.4,60.7,58.7,58.2
Widowed,Percent,4.0,4.2,3.7,3.6,1.5,1.6,1.5,1.3,6.5,6.5,6.1,5.5
Divorced,Percent,7.0,7.6,7.9,7.6,5.5,6.4,6.3,5.8,8.5,9.3,9.7,9.6
Never married,Million,(NA),(NA),31.8,34.0,(NA),(NA),17.8,19.1,(NA),(NA),13.9,14.9
Married \2,Million,(NA),(NA),93.5,92.7,(NA),(NA),46.6,46.3,(NA),(NA),47.0,46.3
Widowed,Million,(NA),(NA),10.6,10.9,(NA),(NA),2.1,2.2,(NA),(NA),8.5,8.6
Divorced,Million,(NA),(NA),16.0,16.9,(NA),(NA),6.8,7.3,(NA),(NA),9.2,9.6
Never married,Percent,(NA),(NA),20.9,22.0,(NA),(NA),24.3,25.5,(NA),(NA),17.7,18.8
Married \2,Percent,(NA),(NA),61.5,60.0,(NA),(NA),63.5,61.8,(NA),(NA),59.7,58.2
Widowed,Percent,(NA),(NA),6.9,7.1,(NA),(NA),2.8,3.0,(NA),(NA),10.8,10.8
Divorced,Percent,(NA),(NA),10.6,10.9,(NA),(NA),9.3,9.7,(NA),(NA),11.7,12.1
