Item,1990.0,1995.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Number of institutions,15369.0,12002.0,9920.0,9630.0,9369.0,9194.0,8988.0,8845.0,8691.0,8544.0,8314.0
"Assets, total",4735.385892,5350.101864,7471.626862,7878.812197,8447.180646,9085.782353,10117.461821,10893.967275,11881.366135,13050.67475,13900.010756
"Domestic deposits, total \1",3415.364332,3318.595319,4211.894798,4564.063624,4916.077844,5223.921861,5724.620759,6229.764345,6640.104753,6921.686465,7505.359858
Estimated insured deposits \2,2697.353989,2663.87304,3055.107586,3215.580673,3383.597999,3452.497405,3622.058556,3890.941354,4153.785609,4292.162725,4756.809121
DIF balance (BIF/SAIF prior to 2006),4.0627,28.812,41.7,41.4,43.797,46.022,47.507,48.596,50.165,52.4,18.889
Reserve ratio \3,0.14721847777246305,1.081710192374116,1.364975450081833,1.2893179694799128,1.2942375886524822,1.333381621167455,1.3117273511181036,1.2490480365327787,1.21,1.22,0.4
Number of problem institutions,1496.0,193.0,94.0,114.0,136.0,116.0,80.0,52.0,50.0,76.0,252.0
Assets of problem institutions,646.8,31.012313,23.839954,39.804547,38.92699799999999,29.916556,28.249927000000003,6.607126,8.264509,22.188815,159.40493700000002
Number of assisted institutions,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Assets of assisted institutions,0.014206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.041994
,(Z),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.041994
Number of failed institutions,381.0,8.0,7.0,4.0,11.0,3.0,4.0,0.0,0.0,3.0,25.0
Assets of failed institutions,146.585794,1.226,0.414,1.821,3.383,0.947,0.17,0.0,0.0,2.615,371.94548
