SOURCE AND ALLOCATIONS Unit indicator,1990.0 (billion dollars),1995.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Individuals,81.04,95.36,138.35,154.63,174.51,172.38,172.83,180.19,202.23,221.38,222.95,229.03
Foundations \1,7.23,10.56,17.01,20.51,24.58,27.22,26.98,26.84,28.41,32.41,34.91,38.52
Corporations,5.46,7.35,8.46,10.23,10.74,11.6,10.79,11.06,11.36,16.59,15.4,15.69
Charitable bequests,7.64,10.41,12.98,17.37,19.88,19.8,20.9,18.19,18.46,23.45,21.65,23.15
Religion,49.79,58.07,68.25,71.25,76.95,79.87,82.91,84.57,87.95,93.0,97.7,102.32
Health,9.9,13.93,13.24,15.22,16.43,18.25,17.76,17.76,20.15,22.5,22.0,23.15
Education,12.41,15.63,23.84,27.22,29.65,32.73,29.96,29.96,33.75,37.31,40.73,43.32
Human service,11.82,9.74,15.55,17.86,20.02,21.76,24.4,24.4,24.42,26.1,27.35,29.64
"Arts, culture, and humanities",7.89,5.67,9.87,9.24,10.48,11.41,10.83,10.83,11.78,11.76,12.68,13.67
Public/societal benefit,4.92,11.25,13.95,13.02,15.36,16.52,17.97,16.42,18.82,21.29,21.41,22.65
Environment,2.5,2.29,3.51,4.24,4.75,5.29,5.29,5.44,5.5,5.99,6.28,6.96
International,1.31,3.01,5.08,6.58,7.2,8.31,8.7,9.84,11.55,15.18,11.39,13.22
Gifts to foundations \1,3.83,8.46,19.92,28.76,24.71,25.67,19.16,21.62,20.32,27.46,30.6,27.73
Unallocated \2,-3.0,-4.37,3.59,9.35,24.16,11.27,14.56,13.78,26.22,33.22,24.77,23.73
