State,Post Office Abbreviation,2-DIGIT ANSI code,"Farms 2000 (1,000)","2008 (1,000)",Acreage 2000 (millions),2008 (millions),"Acreage 2000 (1,000)","2008 (1,000)",Acreage per farm 2000 (acres),2008 (acres)
Alabama,AL,01,47.0,48.5,9.0,8.95,9000.0,8950.0,191.48936170212767,185.0
Alaska,AK,02,0.58,0.68,0.91,0.89,910.0,890.0,1568.9655172413795,1309.0
Arizona,AZ,04,10.7,15.6,26.9,26.1,26900.0,26100.0,2514.0186915887853,1673.0
Arkansas,AR,05,48.0,49.3,14.6,13.7,14600.0,13700.0,304.1666666666667,278.0
California,CA,06,83.1,81.5,28.0,25.4,28000.0,25400.0,336.94344163658246,312.0
Colorado,CO,08,30.0,36.5,31.6,31.3,31600.0,31300.0,1053.3333333333333,858.0
Connecticut,CT,09,4.2,4.9,(Z),(Z),360.0,400.0,85.71428571428571,82.0
Delaware,DE,10,2.6,2.5,0.56,0.5,560.0,500.0,215.3846153846154,200.0
Florida,FL,12,44.0,47.5,10.4,9.25,10400.0,9250.0,236.36363636363637,195.0
Georgia,GA,13,49.1,47.8,10.9,0.0,10900.0,10400.0,221.9959266802444,218.0
Hawaii,HI,15,5.5,7.5,1.38,1.11,1380.0,1110.0,250.9090909090909,148.0
Idaho,ID,16,24.5,25.2,11.9,11.4,11900.0,11400.0,485.7142857142857,452.0
Illinois,IL,17,77.0,75.9,27.5,26.7,27500.0,26700.0,357.14285714285717,352.0
Indiana,IN,18,63.4,61.0,15.2,14.8,15200.0,14800.0,239.74763406940065,243.0
Iowa,IA,19,94.0,92.6,32.5,30.8,32500.0,30800.0,345.74468085106383,333.0
Kansas,KS,20,64.5,65.5,47.5,46.2,47500.0,46200.0,736.4341085271318,705.0
Kentucky,KY,21,90.0,85.3,13.7,14.0,13700.0,14000.0,152.22222222222223,164.0
Louisiana,LA,22,29.0,30.0,8.03,8.05,8030.0,8050.0,276.8965517241379,268.0
Maine,ME,23,7.1,8.0,1.35,1.35,1350.0,1350.0,190.14084507042256,169.0
Maryland,MD,24,12.4,12.85,2.13,2.05,2130.0,2050.0,171.7741935483871,160.0
Massachusetts,MA,25,6.1,7.7,0.54,0.51,540.0,510.0,88.52459016393443,66.0
Michigan,MI,26,53.0,55.0,10.15,10.0,10150.0,10000.0,191.50943396226415,182.0
Minnesota,MN,27,81.0,81.0,27.9,26.9,27900.0,26900.0,344.44444444444446,332.0
Mississippi,MS,28,42.0,42.0,11.16,11.0,11160.0,11000.0,265.7142857142857,262.0
Missouri,MO,29,109.0,108.0,30.2,29.1,30200.0,29100.0,277.0642201834862,269.0
Montana,MT,30,27.8,29.5,59.3,60.8,59300.0,60800.0,2133.093525179856,2061.0
Nebraska,NE,31,52.0,47.4,46.1,45.6,46100.0,45600.0,886.5384615384615,962.0
Nevada,NV,32,3.1,3.1,6.4,5.9,6400.0,5900.0,2064.516129032258,1903.0
New Hampshire,NH,33,3.3,4.15,(Z),(Z),440.0,470.0,133.33333333333334,113.0
New Jersey,NJ,34,9.7,10.3,0.83,0.73,830.0,730.0,85.56701030927836,71.0
New Mexico,NM,35,18.0,20.6,44.9,43.0,44900.0,43000.0,2494.4444444444443,2087.0
New York,NY,36,37.5,36.6,7.67,7.1,7670.0,7100.0,204.53333333333333,194.0
North Carolina,NC,37,55.5,52.5,9.21,8.6,9210.0,8600.0,165.94594594594594,164.0
North Dakota,ND,38,30.8,32.0,39.4,39.6,39400.0,39600.0,1279.2207792207791,1238.0
Ohio,OH,39,79.0,75.0,14.77,13.9,14770.0,13900.0,186.9620253164557,185.0
Oklahoma,OK,40,84.5,86.6,33.8,35.1,33800.0,35100.0,400.0,405.0
Oregon,OR,41,40.0,38.6,17.3,16.4,17300.0,16400.0,432.5,425.0
Pennsylvania,PA,42,59.0,63.2,7.69,7.75,7690.0,7750.0,130.33898305084745,123.0
Rhode Island,RI,44,0.8,1.22,(Z),(Z),60.0,70.0,75.0,57.0
South Carolina,SC,45,24.2,26.9,4.91,4.9,4910.0,4900.0,202.89256198347107,182.0
South Dakota,SD,46,32.4,31.3,44.0,43.7,44000.0,43700.0,1358.0246913580247,1396.0
Tennessee,TN,47,88.0,79.0,11.8,10.9,11800.0,10900.0,134.0909090909091,138.0
Texas,TX,48,228.3,247.5,130.9,130.4,130900.0,130400.0,573.3683749452474,527.0
Utah,UT,49,15.5,16.5,11.6,11.1,11600.0,11100.0,748.3870967741935,673.0
Vermont,VT,50,6.6,7.0,1.27,1.22,1270.0,1220.0,192.42424242424244,174.0
Virginia,VA,51,48.5,47.0,8.71,8.0,8710.0,8000.0,179.58762886597938,170.0
Washington,WA,53,37.0,39.5,15.55,14.8,15550.0,14800.0,420.27027027027026,375.0
West Virginia,WV,54,20.8,23.2,3.6,3.7,3600.0,3700.0,173.07692307692307,159.0
Wisconsin,WI,55,77.5,78.0,16.0,15.2,16000.0,15200.0,206.4516129032258,195.0
Wyoming,WY,56,9.2,11.0,34.5,30.1,34500.0,30100.0,3750.0,2736.0
