State,Post office abbreviation,2-digit ANSI code,2007 Number of families,"Number of families by income level-- Less than $25,000 Under $25,000","Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $49,000 $25,000 to $49,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $74,999, total $50,000 to $74,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999 $100,000 to $149,999, total","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 and over",Median family income (dollars),
Alabama,AL,01,1245126,280585,80420,60672,68251,71242,332282,70805,69608,66634,68625,56610,247801,110373,137428,170993,140550,93553,46997,39173,33742,50770,
Alaska,AK,02,162345,18012,4619,4461,4180,4752,30201,5415,6683,5273,6090,6740,34878,15942,18936,26413,33813,21781,12032,11605,7423,72865,
Arizona,AZ,04,1491772,245371,70855,44937,57637,71942,379963,79811,78163,74221,74573,73195,312710,137736,174974,217132,206208,132495,73713,64433,65955,58627,
Arkansas,AR,05,756113,179406,46323,39566,46047,47470,222301,46371,45396,44981,45281,40272,154773,67618,87155,89124,73869,50206,23663,18236,18404,47021,
California,CA,06,8330684,1267613,313676,253418,341353,359166,1779568,352788,379169,351533,358227,337851,1532752,634249,898503,1141470,1387294,845607,541687,594450,627537,67484,
Colorado,CO,08,1202485,166959,46930,32839,41136,46054,254584,45181,48839,52042,57014,51508,249276,99769,149507,191040,202399,126867,75532,72017,66210,67491,
Connecticut,CT,09,885471,90321,25211,17871,22125,25114,154315,25752,30748,29371,31686,36758,158758,66449,92309,139730,179931,112601,67330,68324,94092,81421,
Delaware,DE,10,224451,29943,8923,5730,7746,7544,50594,9305,11615,9338,9690,10646,44855,19778,25077,35912,39143,24347,14796,14176,9828,66198,
District of Columbia,DC,11,108181,22137,7827,4608,4156,5546,21993,4294,5152,4325,4817,3405,13733,5980,7753,11511,14477,7679,6798,9819,14511,66672,
Florida,FL,12,4626215,772947,179855,152418,200126,240548,1218577,246100,253117,246852,246078,226430,993241,442785,550456,633754,600151,391561,208590,197057,210488,56966,
Georgia,GA,13,2328569,417892,120830,83094,105787,108181,571122,107970,125109,116588,116564,104891,477258,204540,272718,328717,319737,204386,115351,109905,103938,58403,
Hawaii,HI,15,306623,30490,8374,6136,6990,8990,58815,10128,11506,12443,12751,11987,66363,25360,41003,52760,60257,37814,22443,21173,16765,73879,
Idaho,ID,16,397576,65508,14853,12796,15380,22479,113490,25600,20322,23738,22028,21802,92199,43230,48969,58099,43277,29672,13605,12765,12238,54342,
Illinois,IL,17,3180087,465097,128894,94393,108229,133581,692813,127010,149808,136087,143557,136351,658361,278443,379918,492906,510386,326112,184274,178778,181746,65761,
Indiana,IN,18,1662403,259453,72621,49792,63682,73358,435516,83137,87815,89372,90409,84783,390692,168587,222105,265679,209136,140805,68331,54351,47576,57734,
Iowa,IA,19,794320,112359,26994,23262,26982,35121,202704,38885,40954,38941,43593,40331,200098,85221,114877,131049,99418,69618,29800,25426,23266,59587,
Kansas,KS,20,728136,105693,26428,17816,27026,34423,185880,35404,36516,40878,37718,35364,164018,68653,95365,113596,99090,66933,32157,31400,28459,60510,
Kentucky,KY,21,1114146,256201,73869,54606,64814,62912,297545,61080,61575,63272,57359,54259,225821,99662,126159,153714,121111,83655,37456,31813,27941,50291,
Louisiana,LA,22,1080025,256167,76603,57279,58923,63362,275822,56625,63968,51736,54027,49466,206092,90603,115489,140477,131316,85716,45600,38511,31640,50727,
Maine,ME,23,355547,58106,12727,11953,14638,18788,95364,17233,20321,19408,19189,19213,85674,35572,50102,52753,42646,29670,12976,10444,10560,56266,
Maryland,MD,24,1392247,135453,37007,25733,33044,39669,238829,44657,50352,44721,53211,45888,252986,105264,147722,218590,288672,175659,113013,130599,127118,82404,
Massachusetts,MA,25,1561198,194156,59108,41012,43163,50873,272193,52744,53539,56212,58924,50774,273318,111294,162024,250572,312745,191658,121087,126470,131744,78497,
Michigan,MI,26,2560681,432638,127297,88059,101125,116157,617212,113968,130625,126793,127955,117871,547100,238194,308906,383730,375632,243984,131648,113102,91267,59618,
Minnesota,MN,27,1353390,152881,42031,30756,35636,44458,287276,48812,58019,57628,63199,59618,301235,127251,173984,236623,230026,149028,80998,74609,70740,69172,
Mississippi,MS,28,753797,208470,60931,44931,53211,49397,206376,45703,42947,40905,40690,36131,145707,63716,81991,85689,68285,45336,22949,20600,18670,44769,
Missouri,MO,29,1534274,267770,72666,53154,65491,76459,406036,76485,87393,81555,87156,73447,349753,152038,197715,222250,184954,120892,64062,55701,47810,55947,
Montana,MT,30,240727,43317,11060,8443,11939,11875,67840,12563,12918,13794,14097,14468,57345,25349,31996,34069,25174,17218,7956,6881,6101,53497,
Nebraska,NE,31,459503,71146,18475,14707,17231,20733,118366,22197,23154,24744,23576,24695,108534,46838,61696,74074,58284,40303,17981,15396,13703,58587,
Nevada,NV,32,631720,85159,21567,14100,22809,26683,147262,27306,28296,28199,32267,31194,142730,63507,79223,101711,95697,62365,33332,30429,28732,62842,
New Hampshire,NH,33,341922,31926,7662,5808,8130,10326,65068,9305,13575,11788,14158,16242,74907,31040,43867,61735,65601,42593,23008,24499,18186,74625,
New Jersey,NJ,34,2185324,236865,68664,47534,56468,64199,377595,70906,72637,75556,80250,78246,377824,157231,220593,339007,443905,270152,173753,201548,208580,81823,
New Mexico,NM,35,482543,113483,33068,24305,27120,28990,129408,27545,27954,25699,23316,24894,95595,42286,53309,60988,53177,35682,17495,17247,12645,49658,
New York,NY,36,4594823,772578,228201,169127,178177,197073,990384,189516,207716,195416,209994,187742,863311,366217,497094,635804,727625,452478,275147,288648,316473,64602,
North Carolina,NC,37,2366894,449786,118049,95015,113806,122916,613468,126000,127150,119326,125828,115164,506902,226315,280587,324279,289834,186328,103506,92035,90590,55028,
North Dakota,ND,38,168128,25401,6646,4709,5858,8188,42810,7431,8432,8770,9484,8693,42703,17653,25050,26673,20852,15087,5765,5072,4617,58827,
Ohio,OH,39,2962303,497195,148495,101518,114223,132959,741016,138120,154913,147000,154899,146084,666311,285357,380954,445602,394959,258826,136133,121496,95724,58374,
Oklahoma,OK,40,936378,192800,52190,40793,49225,50592,256096,50232,52220,53763,53505,46376,201030,89632,111398,125976,106680,67770,38910,27381,26415,51787,
Oregon,OR,41,940771,148650,39104,27664,39404,42478,237740,46796,48345,45638,52679,44282,208960,90761,118199,144107,129404,86110,43294,38034,33876,59152,
Pennsylvania,PA,42,3198199,484379,131385,93946,117671,141377,786372,149495,162075,158316,162648,153838,708746,300885,407861,479245,461603,298865,162738,137357,140497,60825,
Rhode Island,RI,44,253941,37610,10156,8002,8989,10463,51104,8943,10367,11101,11061,9632,45762,19904,25858,44456,44220,29463,14757,17993,12796,70187,
South Carolina,SC,45,1152062,233570,65437,42866,62128,63139,304306,62529,63540,63392,57866,56979,243236,108483,134753,164248,129112,86606,42506,41116,36474,52913,
South Dakota,SD,46,205206,34108,8724,6901,7801,10682,59327,11118,11855,10948,12369,13037,49550,20806,28744,30405,21596,15117,6479,5006,5214,53910,
Tennessee,TN,47,1606220,332269,95693,67951,81246,87379,437892,87032,97266,85078,84126,84390,349070,159939,189131,202620,175350,117791,57559,54188,54831,51945,
Texas,TX,48,5790823,1160226,308481,248061,288280,315404,1447043,306636,309201,286915,282872,261419,1104954,473516,631438,760830,776432,497838,278594,265733,275605,55742,
Utah,UT,49,629901,74914,15077,16101,18142,25594,155563,26997,31819,30109,35848,30790,152997,67123,85874,103710,95759,62074,33685,25200,21758,62432,
Vermont,VT,50,163979,23100,4727,4839,5955,7579,41464,6564,7974,8632,8655,9639,36171,14834,21337,26632,23597,16273,7324,6476,6539,61561,
Virginia,VA,51,1964204,248543,66144,53117,58920,70362,404292,80828,81121,79343,85387,77613,387634,165349,222285,294005,336841,202524,134317,147223,145666,70894,
Washington,WA,53,1619537,219727,60726,46111,50483,62407,346532,62463,72398,69584,70839,71248,347242,146616,200626,255593,274330,177702,96628,91986,84127,66642,
West Virginia,WV,54,491383,118300,33256,24841,27508,32695,145138,29823,31110,28613,31298,24294,104516,46702,57814,62028,41984,29242,12742,10492,8925,46338,
Wisconsin,WI,55,1461841,196701,48066,40690,49181,58764,341199,60775,70262,67645,73518,68999,354735,147829,206906,252240,211617,143953,67664,55074,50275,62804,
Wyoming,WY,56,135066,15820,3189,2785,3421,6425,33202,5815,7025,6775,6309,7278,30855,13274,17581,23378,21332,13853,7479,6239,4240,63947,
