Age group,Unit,Total,2004.0  Males,Females
Under 5 years,1000.0,20058.731,10258.033,9800.698
5 to 9 years,1000.0,19579.623,10015.761,9563.862
10 to 14 years,1000.0,21098.577,10806.773,10291.804
15 to 19 years,1000.0,20677.486,10606.24,10071.246
20 to 24 years,1000.0,20814.308,10699.574,10114.734
25 to 29 years,1000.0,19391.195,9885.184,9506.011
30 to 34 years,1000.0,20356.136,10269.691,10086.445
35 to 39 years,1000.0,20974.431,10520.37,10454.061
40 to 44 years,1000.0,23003.803,11428.927,11574.876
45 to 49 years,1000.0,22093.428,10899.287,11194.141
50 to 54 years,1000.0,19481.439,9526.157,9955.282
55 to 59 years,1000.0,16478.842,7995.055,8483.787
60 to 64 years,1000.0,12582.659,5994.904,6587.755
65 to 74 years,1000.0,18471.966,8433.252,10038.714
75 to 84 years,1000.0,12980.836,5221.886,7758.95
85 years and over,1000.0,4848.667,1499.578,3349.089
5 to 13 years,1000.0,36310.558,18583.376,17727.182
14 to 17 years,1000.0,16796.802,8606.515,8190.287
18 to 24 years,1000.0,29062.634,14938.457,14124.177
18 years and over,1000.0,219726.036,106612.748,113113.288
55 years and over,1000.0,65362.97,29144.675,36218.295
65 years and over,1000.0,36301.469,15154.716,21146.753
75 years and over,1000.0,17829.503,6721.464,11108.039
Median age (years),Years,36.1,34.8,37.4
