Item Unit indicator,"1990.0 (1,000)","1995.0 (1,000)","2000.0 (1,000)","2002 \1 (1,000)","2003.0 (1,000)","2004.0 (1,000)","2005.0 (1,000)","2006.0 (1,000)","2007.0 (1,000)","2008.0 (1,000)"
Vacant,12059.0,12669.0,13908.0,14332.0,15274.0,15599.0,15694.0,16437.0,17652.0,18704.0
Year-round vacant,9128.0,9570.0,10439.0,10771.0,11631.0,11884.0,11916.0,12459.0,13276.0,13936.0
For rent,2662.0,2946.0,3024.0,3347.0,3676.0,3802.0,3721.0,3737.0,3848.0,4056.0
For sale only,1064.0,1022.0,1148.0,1220.0,1308.0,1307.0,1451.0,1836.0,2117.0,2226.0
Rented or sold,660.0,810.0,856.0,842.0,976.0,991.0,1060.0,1108.0,1130.0,1075.0
Held off market,4742.0,4793.0,5411.0,5362.0,5671.0,5784.0,5684.0,5778.0,6181.0,6579.0
Occasional use,1485.0,1667.0,1892.0,1819.0,1989.0,1967.0,1884.0,1858.0,1993.0,2071.0
Usual residence elsewhere,1068.0,801.0,1037.0,995.0,994.0,1068.0,1128.0,1198.0,1139.0,1170.0
Other,2189.0,2325.0,2482.0,2548.0,2688.0,2749.0,2672.0,2722.0,3049.0,3338.0
Seasonal \2,2931.0,3099.0,3469.0,3561.0,3643.0,3715.0,3778.0,3978.0,4376.0,4768.0
Owner,60248.0,64739.0,71250.0,71278.0,72054.0,73575.0,74553.0,75380.0,75159.0,75566.0
Renter,33976.0,35246.0,34470.0,33687.0,33506.0,33013.0,33678.0,34195.0,35147.0,35843.0
Vacant,11.346123086476672,11.245839066175492,11.6,12.01371367259864,12.640481983547676,12.8,12.7,13.0,13.8,14.4
Owner,56.6863938729618,57.46660157116861,59.6,59.74835913727923,59.63056755548934,60.2,60.2,60.3,58.7,58.1
Renter,31.96748304056152,31.286671696773332,28.8,28.237927190122132,27.728950460962977,27.0,27.2,27.5,27.5,27.5
