STATE Unit indicator,FIPS Code,"Total \1   (1,000)",Percent of units with gross rent of--   $299 or less (percent),$300 to $499 (percent),$500 to $749 (percent),$750 to $999 (percent),"$1,000 or more (percent)",Median gross rent    (dollars),Gross rent as a percent of household income in the past 12 months   Less than 15.0 percent (percent),15.0 to 24.9 percent (percent),25.0 to 29.0 percent (percent),30.0 percent or more (percent)
Alabama,01000,528.488,9.46662932743979,19.738953391562344,32.44141778053617,16.91069617474758,8.041999061473486,601.0,12.373980109292926,21.874858085708663,9.514123310273838,40.60432781822861
Alaska,02000,87.403,3.019347161996728,7.026074619864307,19.16753429516149,22.779538459778266,36.5044678100294,918.0,15.272931135086894,26.01855771541023,9.493953296797592,37.233275745683784
Arizona,04000,718.401,3.342979756431297,7.992193774785948,27.637071774677374,26.167975824087105,30.002742201082683,819.0,11.274622390559033,24.486881282180846,10.90936677426674,46.80756290706722
Arkansas,05000,355.895,9.15073265991374,23.342558900799393,35.24410289551694,15.285688194551764,5.675550373003273,573.0,13.178606049537084,22.45606147880695,10.38087076244398,41.57209289256662
California,06000,5123.7,2.9927786560493392,4.431816851103695,13.01405234498507,22.177059546811876,53.96602064914027,1078.0,9.887229931494817,22.723227355231572,11.434588285809083,51.17586900091731
Colorado,08000,579.758,4.673501702434464,8.157886566463938,30.412516946726047,25.296071809272146,27.3241593906423,788.0,11.775947895501226,24.841744314006878,11.067376388079165,46.1647790974855
Connecticut,09000,395.875,6.3441742974423745,6.87666561414588,15.427849700031576,26.43940637827597,40.446605620461,931.0,11.905778339122197,23.678939059046417,11.18257025576255,47.50792548152826
Delaware,10000,90.336,5.19394261424017,5.047821466524974,17.6253099539497,27.491808359900816,36.87455720864329,910.0,8.730738575982997,23.642844491675522,11.948724760892668,46.493092454835285
District of Columbia,11000,139.226,8.002815566058064,5.751080976254435,19.17098817749558,20.254837458520676,43.585968138135115,934.0,12.66286469481275,24.59813540574318,11.47343168661026,45.778087426199136
Florida,12000,2083.252,3.8067886170276086,5.2087793507458535,18.47284918003199,28.00947749000121,39.51840679860142,925.0,7.886419885832343,21.602331355016098,11.197109135140636,52.73250667706068
Georgia,13000,1075.15,5.648235129981863,11.065804771427242,27.835092777751942,28.083988280705018,20.804445891270987,768.0,11.8691345393666,24.230572478258846,10.489792122029485,44.84890480398084
Hawaii,15000,177.767,4.279759460417288,4.477208930791429,8.32269206320633,16.94746494006199,58.07208312003915,1194.0,9.209245810527262,21.659250592067146,11.317061096828995,47.86996461660488
Idaho,16000,156.663,6.93782194902434,16.945290208919783,36.261912512846045,18.71277838417495,13.169669928445135,654.0,14.266929651545034,27.56617708074019,10.498969124809305,38.7749500520225
Illinois,17000,1425.04,5.997305338797507,10.201397855498794,27.348004266546905,27.152922023241455,24.923019704710043,783.0,12.2769185426374,24.07539437489474,10.453039914669061,46.61609498680739
Indiana,18000,698.544,7.392089832566024,17.2631931560503,39.05623697290364,20.601136077326554,9.418447513685608,638.0,14.198676103438007,26.2461634485444,10.133506264458646,41.815977232643895
Iowa,19000,319.512,8.344913493076943,26.420603920979495,36.25873206640126,13.308420341020055,7.2178822704624555,567.0,16.522071158516738,25.3821452715391,10.366120834272264,38.40356543729187
Kansas,20000,324.948,7.7504708445659,20.999359897583613,34.21316641431859,18.45926117409555,11.099006610288416,623.0,14.897460516759606,27.696123687482306,10.402587490921626,37.83436119009811
Kentucky,21000,484.82,10.800503279567675,23.739325935398707,34.854585206880905,14.962047770306505,5.678189843653315,563.0,15.693453240377872,22.492265170578772,10.916216327709254,39.50723980033827
Louisiana,22000,512.057,7.5542371259449625,15.961113704138407,31.106302618653782,19.353314181819602,12.053345623631744,651.0,13.129983576047197,19.316794809952796,8.508818354206662,42.354855025905316
Maine,23000,141.695,13.16842513850171,13.900984508980557,31.597445216838988,20.212428102614773,13.186068668619216,650.0,11.654610254419705,24.08412435160027,13.669501393838878,42.134161403013515
