Year and characteristic,Entertainment and reading Total,Average annual expenditure,Percent of total expenditure,add check,add check,Entertainment    Total,Fees and admissions,Audio and visual equipment and services,"Pets, toys hobbies, playground equipment","Other entertain- ment, supplies equip. and serv.","Other entertain- ment, supplies equipment and services \1",Reading
1985,1311.0,23490.0,5.6,,,1170.0,320.0,371.0,1593.0,,479.0,141.0
1990,1575.0,28381.0,5.55183474919807,,,1422.0,371.0,454.0,,,597.0,153.0
1992,1662.0,29846.0,5.56858540507941,,,1500.0,379.0,492.0,,,629.0,162.0
1993,1792.0,30692.0,5.83865502411052,,,1626.0,414.0,590.0,,,621.0,166.0
1994,1732.0,31731.0,5.45494630090391,,,1567.0,439.0,533.0,,,595.0,165.0
1995,1775.0,32264.0,5.499271927378628,,,1612.0,433.0,542.0,,,637.0,163.0
1996,1993.0,33797.0,5.896973104121668,,,1834.0,459.0,561.0,,,814.0,159.0
1997,1977.0,34819.0,5.677934461070105,,,1813.0,471.0,577.0,,,766.0,164.0
1998,1907.0,35535.0,5.366540030955396,,,1746.0,449.0,535.0,,,762.0,161.0
1999,2050.0,36995.0,5.536500391606126,,,1891.0,459.0,608.0,,,824.0,159.0
2000,2009.0,38045.0,5.280588776448942,,,1863.0,515.0,622.0,,,727.0,146.0
2001.0,2094.0,39518.0,5.298851156435043,,,1953.0,526.0,660.0,,,767.0,141.0
2002.0,2218.0,40677.0,5.452712835263171,,,2079.0,542.0,692.0,,,845.0,139.0
2003.0,2187.0,40817.0,5.358061591983732,,,2060.0,494.0,730.0,378.0,,835.0,127.0
2004.0,2348.0,43395.0,5.4107616084802395,0.0,-1.0,2218.0,528.0,788.0,378.0,,903.0,130.0
2005.0,2514.0,46409.0,5.417052726841776,0.0,0.0,2388.0,588.0,888.0,420.0,,912.0,126.0
2006.0,2493.0,48398.0,5.169635108888797,23,23,2376.0,606.0,906.0,412.0,451.0,863.0,117.0
"2007, Total",2816.0,49638.0,5.673073048873847,0.0,0.0,2698.0,658.0,987.0,,,1053.0,118.0
Under 25 years old,1499.0,29457.0,5.0887734664086635,,,1448.0,290.0,726.0,243.0,189.0,432.0,51.0
25 to 34 years old,2534.0,47510.0,5.333613976005052,,,2462.0,500.0,1034.0,480.0,448.0,928.0,72.0
