Industry,2002 NAICS code \1,Total Assets 2006.0,Sales \2 2006.0,Employment \3 2006.0,Employee Compensation 2006.0,Gross book value \4 2006.0,Merchandise Exports 2006.0,Merchandise Imports 2006.0
Manufacturing \6,31-33,1224595.0,1100669.0,2057.8,155422.0,502473.0,108554.0,173867.0
Petroleum and coal products,324,(D),136657.0,33.2,4510.0,(D),(D),(D)
Chemicals,325,266995.0,212418.0,287.8,32178.0,93322.0,19481.0,33617.0
Computers and electronic products,334,(D),63940.0,168.7,14467.0,20804.0,(D),(D)
Transportation equipment,336,274463.0,246663.0,420.3,25551.0,133835.0,36033.0,59277.0
Wholesale trade \6,42,562140.0,863364.0,618.7,50126.0,233382.0,78029.0,295190.0
Motor vehicles and motor vehicle parts and supplies,,141373.0,170523.0,77.7,6933.0,78988.0,8668.0,85679.0
Petroleum and petroleum products,,152823.0,262477.0,44.7,5341.0,(D),15915.0,53942.0
Retail trade,44-45,69449.0,146128.0,564.0,18280.0,38789.0,578.0,5711.0
Information,51,207114.0,81894.0,223.5,20998.0,44546.0,972.0,235.0
,"52, exc.",,,,,,,
Finance (except depository institutions) and insurance,"521, 522",3957790.0,257764.0,215.1,38922.0,34818.0,(D),(D)
Real estate and rental and leasing,53,115945.0,34883.0,46.0,3254.0,79449.0,(D),541.0
"Professional, scientific, and technical services",54,101387.0,61360.0,202.4,18159.0,11207.0,(D),(D)
Other industries,(X),569234.0,249082.0,1402.9,59001.0,195588.0,6382.0,6547.0
