State,FIPS CODE,Total,addsum functional  system,addsum Urban and rural,Interstate,Other freeways and expressways,Functional systems     Arterial,Collector,Local,Urban,Rural,,,,,,,,,,,,,,,
Alabama,,97323.0,,,905.0,41.0,9220.0,20473.0,66684.0,22024.0,75299.0,,,,,,,,,,,,,,,
Alaska,,14438.0,,,1081.0,0.0,1518.0,2829.0,9010.0,2357.0,12081.0,,,,,,,,,,,,,,,
Arizona,,60593.0,,,1168.0,171.0,5716.0,8117.0,45421.0,22918.0,37675.0,,,,,,,,,,,,,,,
Arkansas,,99558.0,,,656.0,100.0,6901.0,20369.0,71532.0,11966.0,87592.0,,,,,,,,,,,,,,,
California,,171154.0,,,2461.0,1550.0,27167.0,32060.0,107916.0,87709.0,83445.0,,,,,,,,,,,,,,,
Colorado,,88163.0,,,954.0,315.0,8924.0,16241.0,61729.0,19229.0,68934.0,,,,,,,,,,,,,,,
Connecticut,,21295.0,,,346.0,237.0,2758.0,3201.0,14753.0,15108.0,6187.0,,,,,,,,,,,,,,,
Delaware,,6242.0,,,41.0,30.0,638.0,1052.0,4481.0,2963.0,3279.0,,,,,,,,,,,,,,,
District of Columbia,,1505.0,,,13.0,20.0,266.0,156.0,1050.0,1505.0,0.0,,,,,,,,,,,,,,,
Florida,,121526.0,,,1471.0,576.0,12871.0,14304.0,92304.0,81270.0,40256.0,,,,,,,,,,,,,,,
Georgia,,118779.0,,,1243.0,114.0,14022.0,22766.0,80634.0,37683.0,81096.0,,,,,,,,,,,,,,,
Hawaii,,4341.0,,,55.0,34.0,752.0,826.0,2674.0,2300.0,2041.0,,,,,,,,,,,,,,,
Idaho,,48416.0,,,613.0,0.0,4114.0,10362.0,33327.0,5606.0,42810.0,,,,,,,,,,,,,,,
Illinois,,139157.0,,,2170.0,116.0,14513.0,21741.0,100617.0,40952.0,98205.0,,,,,,,,,,,,,,,
Indiana \1,,95469.0,,,1172.0,136.0,7960.0,22683.0,63518.0,22149.0,73320.0,,,,,,,,,,,,,,,
Iowa,,114193.0,,,781.0,0.0,9730.0,31557.0,72125.0,11288.0,102905.0,,,,,,,,,,,,,,,
Kansas,,140271.0,,,874.0,187.0,9534.0,33525.0,96151.0,12659.0,127612.0,,,,,,,,,,,,,,,
Kentucky,,78587.0,,,762.0,66.0,5867.0,16084.0,55808.0,12479.0,66108.0,,,,,,,,,,,,,,,
Louisiana,,61008.0,,,905.0,50.0,5527.0,10046.0,44480.0,16277.0,44731.0,,,,,,,,,,,,,,,
Maine,,22792.0,,,367.0,20.0,2174.0,5951.0,14280.0,2987.0,19805.0,,,,,,,,,,,,,,,
Maryland,,31300.0,,,481.0,294.0,3787.0,5050.0,21688.0,17276.0,14024.0,,,,,,,,,,,,,,,
Massachusetts,,36008.0,,,573.0,313.0,6177.0,4825.0,24120.0,28041.0,7967.0,,,,,,,,,,,,,,,
Michigan,,121593.0,,,1242.0,328.0,14618.0,24503.0,80902.0,35756.0,85837.0,,,,,,,,,,,,,,,
Minnesota  \2,,137693.0,,,914.0,161.0,13489.0,30409.0,92720.0,18383.0,119310.0,,,,,,,,,,,,,,,
Mississippi,,74622.0,,,698.0,70.0,7443.0,15449.0,50962.0,10779.0,63843.0,,,,,,,,,,,,,,,
