Industry and country Unit indicator,2000 (million dollars),2001 (million dollars),2002 (million dollars),2003 (million dollars),2004 (million dollars),2005 (million dollars),2006 (million dollars),2007 (million dollars),"2008, prel (million dollars)"
U.S. businesses acquired,322703,138091,43442,50212,72738,73997,148604,223616,242799
U.S. businesses established,12926,9017,11077,13379,13481,17393,16999,28301,17564
Foreign direct investors,105151,23134,13650,27866,34184,40304,44129,88337,47078
U.S. affiliates,230478,123975,40869,35725,52035,51086,121474,163580,213284
Manufacturing,143285,37592,16446,10750,18251,34036,56330,118370,141079
Wholesale trade,8561,3982,871,1086,(D),3489,8273,5631,3977
Retail trade,1672,1913,551,941,3073,1262,1295,6867,2775
Information,67932,27599,14181,9236,4315,8487,10341,8585,22214
Depository institutions,2636,5709,613,4864,(D),7973,7547,12307,15996
Finance (except depository,,,,,,,,,
institutions) and insurance,44420,40780,4344,23511,26234,5529,33776,27497,29584
Real estate and rental and leasing,4526,3572,5266,2817,6335,8756,12441,17852,3796
"Professional, scientific, and",,,,,,,,,
technical services,32332,7044,4012,1955,(D),6407,8923,9018,15167
Other industries,30264,18917,8234,8429,10121,15453,26677,45790,25775
Canada,28346,16646,4333,9157,31502,13640,12121,38502,25181
Europe \1,249167,78328,39644,39024,43815,56416,106732,132454,157853
France,26149,5772,15196,2955,6415,5608,18140,14307,16565
Germany,18452,12733,3067,8830,4788,7239,20514,15831,12823
Netherlands,47686,14879,3476,1077,461,2609,4769,8357,12545
Switzerland,22789,16468,2656,649,6505,2332,12401,6501,9041
United Kingdom,110208,17095,12188,20373,23288,30420,26261,56051,19657
Latin America and other Western Hemisphere,15400,15274,3487,1607,2629,5042,(D),(D),18259
South and Central America,5334,431,373,182,1382,980,2273,(D),3551
Other Western Hemisphere,10066,14843,3144,1425,1247,4062,(D),1933,14708
Africa,(D),(D),(D),(D),(D),(D),(D),(D),129
Middle East,947,(D),(D),1738,1318,5068,11755,21882,12263
Asia and Pacific \1,40282,11383,5131,11469,6015,10924,15759,34408,44863
Australia,(D),4869,1565,9032,3850,4713,5650,12983,10522
Japan,26044,5345,3275,1544,1027,4245,8350,7928,28041
