ITEM,"Total Total \1     (1,000)","With flexible schedules \2 Number (1,000)",Percent,"Male Total \1     (1,000)","With flexible schedules \2 Number (1,000)",Percent,"Female Total \1     (1,000)","With flexible schedules \2 Number (1,000)",Percent,
16 to 19 years old,1427.0,336.0,23.6,903.0,185.0,20.5,524.0,151.0,28.9,
20 years and over,98351.0,27075.0,27.5,55509.0,15668.0,28.2,42842.0,11406.0,26.6,
20 to 24 years old,9004.0,2058.0,22.9,5147.0,1065.0,20.7,3856.0,993.0,25.8,
25 to 34 years old,24640.0,6902.0,28.0,14358.0,4051.0,28.2,10283.0,2851.0,27.7,
35 to 44 years old,26766.0,7807.0,29.2,15424.0,4605.0,29.9,11342.0,3202.0,28.2,
45 to 54 years old,24855.0,6651.0,26.8,13440.0,3769.0,28.0,11415.0,2882.0,25.2,
55 to 64 years old,11745.0,3181.0,27.1,6383.0,1865.0,29.2,5361.0,1316.0,24.5,
65 years old and over,1341.0,475.0,35.4,757.0,314.0,41.4,585.0,161.0,27.6,
White \3,80498.0,23121.0,28.7,46222.0,13582.0,29.4,34276.0,9539.0,27.8,
Black \3,12578.0,2476.0,19.7,6447.0,1193.0,18.5,6131.0,1283.0,20.9,
Asian \3,4136.0,1132.0,27.4,2300.0,720.0,31.3,1836.0,412.0,22.4,
Hispanic origin \4,14110.0,2596.0,18.4,8621.0,1430.0,16.6,5489.0,1166.0,21.2,
"Married, spouse present",57630.0,16270.0,28.2,34926.0,10382.0,29.7,22704.0,5888.0,25.9,
Not married,42148.0,11141.0,26.4,21486.0,5471.0,25.5,20662.0,5670.0,27.4,
Never married,25144.0,6693.0,26.6,14469.0,3605.0,24.9,10676.0,3088.0,28.9,
Other marital status,17004.0,4448.0,26.2,7018.0,1866.0,26.6,9986.0,2582.0,25.9,
Without own children under 18,61761.0,16759.0,27.1,34680.0,9410.0,27.1,27081.0,7349.0,27.1,
With own children under 18,38018.0,10652.0,28.0,21733.0,6443.0,29.6,16285.0,4209.0,25.8,
With youngest child 6 to 17,21739.0,5960.0,27.4,11477.0,3341.0,29.1,10262.0,2619.0,25.5,
With youngest child under 6,16279.0,4692.0,28.8,10256.0,3102.0,30.2,6023.0,1590.0,26.4,
