Age,Total,Sex  Male,Female,Unknown,Race  White,Black,Other,Unknown
Percent of total,100.0,78.3,21.4,0.2,46.8,49.3,2.3,1.5
Under 18 years old \1,1554.0,1070.0,482.0,2.0,752.0,740.0,40.0,22.0
18 years old and over \1,13013.0,10367.0,2641.0,5.0,6089.0,6482.0,301.0,141.0
Infant (under 1 year old),210.0,116.0,93.0,1.0,139.0,57.0,9.0,5.0
1 to 4 years old,322.0,162.0,159.0,1.0,169.0,142.0,6.0,5.0
5 to 8 years old,88.0,47.0,41.0,0.0,55.0,28.0,4.0,1.0
9 to 12 years old,75.0,39.0,36.0,0.0,39.0,30.0,4.0,2.0
13 to 16 years old,487.0,380.0,107.0,0.0,206.0,265.0,9.0,7.0
17 to 19 years old,1443.0,1272.0,171.0,0.0,538.0,867.0,23.0,15.0
20 to 24 years old,2733.0,2355.0,374.0,4.0,1091.0,1555.0,58.0,29.0
25 to 29 years old,2215.0,1871.0,344.0,0.0,871.0,1284.0,36.0,24.0
30 to 34 years old,1651.0,1366.0,285.0,0.0,735.0,860.0,40.0,16.0
35 to 39 years old,1243.0,949.0,293.0,1.0,575.0,622.0,32.0,14.0
40 to 44 years old,1127.0,787.0,340.0,0.0,596.0,476.0,36.0,19.0
45 to 49 years old,960.0,689.0,271.0,0.0,544.0,381.0,25.0,10.0
50 to 54 years old,698.0,522.0,176.0,0.0,422.0,261.0,11.0,4.0
55 to 59 years old,451.0,338.0,113.0,0.0,268.0,164.0,16.0,3.0
60 to 64 years old,292.0,202.0,90.0,0.0,196.0,80.0,13.0,3.0
65 to 69 years old,181.0,123.0,58.0,0.0,111.0,57.0,11.0,2.0
70 to 74 years old,130.0,84.0,46.0,0.0,96.0,30.0,3.0,1.0
75 years old and over,261.0,135.0,126.0,0.0,190.0,63.0,5.0,3.0
Age unknown,264.0,181.0,54.0,29.0,107.0,94.0,4.0,59.0
