Year and type of meat,Production (million pounds),Imports  (million pounds),Supply \1  (million pounds),Exports  (million pounds),Consumption \2  (million pounds),Ending stocks  (million pounds)
1990,62254.62604,3294.924295,66673.06704,2472.1859999999997,62936.63204,1263.249
2000,82372.0,4136.0,88480.0,9344.0,77068.0,2069.0
2004,85140.0,4993.0,92157.0,8089.0,81877.0,2192.0
2005,86783.0,4845.0,93819.0,9274.0,82333.0,2212.0
2006,88907.0,4326.0,95445.0,10070.0,83240.0,2135.0
2007,90934.0,4297.0,97365.0,11069.0,84102.0,2194.0
2008,93681.0,4130.0,100004.0,12014.0,85816.0,2174.0
1990,38787.0,3294.924295,42742.0,1250.0,40784.0,707.0
2000,46299.0,4127.0,51340.0,3760.0,46559.0,1021.0
2004,45557.0,4960.0,51574.0,2649.0,47738.0,1187.0
2005,45848.0,4803.0,51838.0,3373.0,47385.0,1080.0
2006,47675.0,4265.0,53020.0,4158.0,47696.0,1166.0
2007,48817.0,4223.0,54206.0,4579.0,48435.0,1192.0
2008,50567.0,4055.0,55814.0,5259.0,49333.0,1222.0
1990,22743.0,2355.924295,25434.0,1006.0,24031.0,397.0
2000,26888.0,3032.0,30332.0,2468.0,27338.0,525.0
2004,24650.0,3679.0,28847.0,460.0,27750.0,637.0
2005,24787.0,3599.0,29023.0,697.0,27754.0,571.0
2006,26256.0,3085.0,29912.0,1145.0,28137.0,630.0
2007,26523.0,3052.0,30205.0,1431.0,28144.0,630.0
2008,26682.0,2930.0,30242.0,1515.0,28127.0,600.0
1990,15354.0,898.0,16565.0,238.0,16031.0,296.0
2000,18952.0,965.0,20406.0,1287.0,18642.0,478.0
2004,20531.0,1099.0,22161.0,2181.0,19438.0,543.0
2005,20705.0,1024.0,22272.0,2666.0,19112.0,494.0
2006,21074.0,990.0,22558.0,2995.0,19048.0,514.0
2007,21962.0,968.0,23444.0,3138.0,19763.0,542.0
2008,23554.0,925.0,25021.0,3735.0,20686.0,600.0
1990,327.0,(NA),331.0,(NA),325.0,6.0
2000,225.0,(NA),230.0,(NA),225.0,5.0
2004,176.0,(NA),181.0,(NA),177.0,4.0
2005,165.0,(NA),169.0,(NA),164.0,5.0
2006,156.0,(NA),161.0,(NA),155.0,6.0
2007,145.0,(NA),151.0,(NA),144.0,7.0
2008,150.0,(NA),157.0,(NA),153.0,4.0
1990,363.0,41.0,412.0,6.0,397.0,8.0
2000,234.0,130.0,372.0,5.0,354.0,13.0
2004,200.0,181.0,385.0,8.0,373.0,3.0
2005,191.0,180.0,375.0,9.0,355.0,10.0
2006,190.0,190.0,390.0,18.0,356.0,16.0
2007,188.0,202.0,406.0,10.0,384.0,13.0
2008,181.0,200.0,394.0,9.0,367.0,18.0
1990,23467.62604,0.0,23931.06704,1222.186,22152.63204,556.249
2000,36073.0,9.0,37140.0,5584.0,30508.0,1048.0
2004,39585.0,33.0,40584.0,5439.0,34140.0,1005.0
2005,40935.0,42.0,41981.0,5902.0,34949.0,1132.0
2006,41231.0,61.0,42425.0,5911.0,35544.0,969.0
2007,42117.0,74.0,43159.0,6490.0,35667.0,1002.0
2008,43114.0,75.0,44190.0,6755.0,36483.0,952.0
1990,18429.89704,0.0,18650.94604,1143.388,17265.98604,241.572
2000,30209.0,6.0,31011.0,4918.0,25295.0,798.0
2004,33699.0,27.0,34334.0,4783.0,28837.0,713.0
2005,34986.0,34.0,35733.0,5203.0,29609.0,924.0
2006,35120.0,47.0,36090.0,5205.0,30139.0,745.0
2007,35739.0,61.0,36545.0,5772.0,30034.0,739.0
2008,36505.0,60.0,37304.0,6000.0,30629.0,674.0
1990,523.456,0.0,529.909,24.859,496.373,8.677
2000,531.0,2.0,540.0,220.0,311.0,9.0
2004,504.0,2.0,509.0,213.0,293.0,3.0
2005,516.0,1.0,520.0,130.0,388.0,2.0
2006,504.0,3.0,509.0,159.0,345.0,5.0
2007,498.0,4.0,507.0,165.0,341.0,2.0
2008,525.0,3.0,529.0,150.0,377.0,2.0
1990,4514.273,0.0,4750.212,53.939,4390.273,306.0
2000,5333.0,1.0,5589.0,445.0,4902.0,241.0
2004,5383.0,5.0,5741.0,442.0,5010.0,288.0
2005,5432.0,8.0,5728.0,570.0,4952.0,206.0
2006,5607.0,12.0,5825.0,547.0,5060.0,218.0
2007,5880.0,9.0,6107.0,554.0,5292.0,261.0
2008,6084.0,12.0,6357.0,605.0,5477.0,275.0
