Type of Product,Unit,1990.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
,,15577.0,15011.0,15306.0,15537.0,15413.0,15703.0,15620.0,15632.0,15436.0,14634.0,14902.0,14571.0,15139.0,15465.0,14836.0,13932.0,12493.0
,,10968.0,10090.0,10268.0,10191.0,10153.0,10180.0,10097.0,10381.0,10201.0,9859.0,10124.0,10290.0,10710.0,11002.0,10413.0,9566.0,8389.0
Hardwoods,Millions of cubic feet,4609.0,4921.0,5038.0,5347.0,5260.0,5523.0,5523.0,5251.0,5235.0,4775.0,4778.0,4282.0,4428.0,4463.0,4423.0,4366.0,4104.0
Imports,Millions of cubic feet,3091.0,3465.0,3632.0,3907.0,3885.0,4008.0,4157.0,4370.0,4529.0,4605.0,4505.0,5096.0,5805.0,5802.0,5292.0,4147.0,3065.0
Exports,Millions of cubic feet,2307.0,2143.0,2139.0,2282.0,2264.0,2290.0,1951.0,1964.0,1996.0,1759.0,1769.0,1535.0,1604.0,1646.0,1596.0,1481.0,1517.0
Consumption,Millions of cubic feet,16361.0,16334.0,16800.0,17161.0,17034.0,17421.0,17827.0,18038.0,17969.0,17481.0,17637.0,18132.0,19339.0,19622.0,18841.0,16598.0,14041.0
Softwoods,Millions of cubic feet,11779.0,11539.0,11906.0,11961.0,11996.0,12072.0,12339.0,12754.0,12659.0,12552.0,12790.0,13398.0,14357.0,14652.0,13732.0,12009.0,9845.0
Hardwoods,Millions of cubic feet,4582.0,4795.0,4894.0,5200.0,5038.0,5349.0,5488.0,5284.0,5310.0,4929.0,4847.0,4734.0,4983.0,4970.0,4799.0,4589.0,4197.0
Domestic production,Millions of cubic feet,7317.0,6887.0,7052.0,6815.0,6886.0,7103.0,7093.0,7379.0,7199.0,6820.0,7060.0,7131.0,7510.0,7889.0,7552.0,6964.0,5928.0
Imports,Millions of cubic feet,1909.0,2240.0,2395.0,2522.0,2616.0,2619.0,2721.0,2807.0,2845.0,2903.0,3036.0,3193.0,3704.0,3737.0,3415.0,2743.0,1922.0
Exports,Millions of cubic feet,589.0,532.0,512.0,460.0,449.0,452.0,350.0,404.0,428.0,354.0,353.0,347.0,348.0,389.0,390.0,359.0,345.0
Consumption,Millions of cubic feet,8637.0,8595.0,8935.0,8877.0,9053.0,9270.0,9463.0,9782.0,9616.0,9369.0,9744.0,9977.0,10866.0,11237.0,10577.0,9347.0,7506.0
Domestic production,Millions of cubic feet,1423.0,1293.0,1320.0,1303.0,1281.0,1213.0,1201.0,1208.0,1187.0,1067.0,1074.0,1054.0,1086.0,1068.0,1003.0,912.0,743.0
Imports,Millions of cubic feet,97.0,100.0,94.0,107.0,97.0,114.0,131.0,160.0,155.0,173.0,205.0,240.0,354.0,373.0,339.0,265.0,185.0
Exports,Millions of cubic feet,109.0,100.0,86.0,89.0,87.0,103.0,55.0,45.0,42.0,32.0,31.0,35.0,43.0,37.0,35.0,40.0,45.0
Consumption,Millions of cubic feet,1410.0,1293.0,1328.0,1321.0,1291.0,1224.0,1277.0,1323.0,1300.0,1208.0,1249.0,1259.0,1397.0,1403.0,1308.0,1136.0,882.0
Domestic production,Millions of cubic feet,5313.0,5423.0,5576.0,6079.0,5908.0,6097.0,6114.0,5813.0,5881.0,5691.0,5708.0,5557.0,5692.0,5679.0,5470.0,5176.0,4926.0
Imports,Millions of cubic feet,1038.0,1065.0,1102.0,1248.0,1144.0,1249.0,1269.0,1355.0,1459.0,1458.0,1180.0,1579.0,1669.0,1570.0,1440.0,1071.0,918.0
Exports,Millions of cubic feet,646.0,724.0,758.0,905.0,891.0,929.0,818.0,768.0,842.0,801.0,810.0,643.0,680.0,708.0,681.0,526.0,556.0
Consumption,Millions of cubic feet,5704.0,5764.0,5920.0,6422.0,6161.0,6417.0,6565.0,6400.0,6498.0,6348.0,6078.0,6493.0,6680.0,6541.0,6229.0,5721.0,5288.0
Imports,Millions of cubic feet,4.0,15.0,18.0,13.0,18.0,20.0,30.0,47.0,68.0,70.0,81.0,80.0,73.0,114.0,94.0,67.0,35.0
Exports,Millions of cubic feet,674.0,460.0,429.0,451.0,422.0,384.0,316.0,326.0,331.0,307.0,309.0,356.0,366.0,345.0,339.0,350.0,313.0
"Pulpwood chips, exports",Millions of cubic feet,288.0,326.0,354.0,377.0,416.0,422.0,412.0,422.0,353.0,265.0,265.0,155.0,168.0,166.0,151.0,205.0,257.0
Other \1,Millions of cubic feet,562.0,621.0,576.0,513.0,500.0,485.0,485.0,485.0,485.0,485.0,485.0,318.0,318.0,318.0,320.0,325.0,325.0
Fuelwood consumption,Millions of cubic feet,3019.0,3084.0,3134.0,2937.0,2739.0,2542.0,2523.0,2542.0,2561.0,2571.0,2581.0,1515.0,1540.0,1550.0,1555.0,1605.0,1605.0
Industrial roundwood,Cubic feet,65.0,63.0,64.0,65.0,64.0,64.0,65.0,65.0,63.0,61.0,61.0,50.1,51.5,52.1,50.0,46.0,41.0
Lumber,Cubic feet,35.0,33.0,34.0,34.0,34.0,34.0,34.0,35.0,34.0,33.0,34.0,24.5,25.5,26.6,25.0,23.05,19.0
Plywood and veneer,Cubic feet,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.6,3.7,3.6,3.0,3.02,2.0
Pulp products,Cubic feet,23.0,22.0,23.0,24.0,23.0,24.0,24.0,23.0,23.0,22.0,21.0,19.1,19.4,19.1,19.0,17.0,16.0
Other products,Cubic feet,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.1,1.1,1.1,1.0,1.0,1.0
Resident population (millions),1000.0,250.0,258.0,261.0,263.0,266.0,273.0,276.0,279.0,282.0,285.0,288.0,291.0,294.0,297.0,299.0,302.1,305.6
