Type of construction Unit indicator,2000 (million dollars),2001 (million dollars),2002.0 (million dollars),2003.0 (million dollars),2004.0 (million dollars),2005.0 (million dollars),2006.0 (million dollars),2007.0 (million dollars),2008.0 (million dollars)
Residential,374457.0,388324.0,396696.0,446035.0,532900.0,611899.0,613731.0,492499.0,355883.0
New single family,236788.0,249086.0,265889.0,310575.0,377557.0,433510.0,415997.0,305184.0,186111.0
New multifamily,28259.0,30305.0,32952.0,35116.0,39944.0,47297.0,52803.0,48209.0,44105.0
Improvements,109410.0,108933.0,97855.0,100344.0,115399.0,131092.0,144931.0,139106.0,125668.0
Nonresidential,275293.0,273922.0,237739.0,229335.0,238478.0,256644.0,298438.0,357510.0,410720.0
Lodging,16304.0,14519.0,10467.0,9930.0,11982.0,12666.0,17624.0,27503.0,36237.0
Office \1,52407.0,49745.0,35296.0,30579.0,32879.0,37276.0,45680.0,53377.0,57455.0
General,49637.0,47136.0,32356.0,27380.0,28679.0,32962.0,41085.0,48397.0,52036.0
Financial,2689.0,2586.0,2857.0,3174.0,4186.0,4285.0,4542.0,4887.0,5062.0
Commercial \1,64055.0,63606.0,59008.0,57505.0,63195.0,66584.0,73368.0,84999.0,81891.0
Automotive \1,5967.0,5650.0,5807.0,5039.0,5235.0,5614.0,5528.0,6373.0,5502.0
Sales,1629.0,2014.0,2235.0,2099.0,2443.0,2834.0,2285.0,2587.0,2397.0
Service/parts,3009.0,2394.0,2308.0,1866.0,1978.0,1805.0,2184.0,2407.0,1754.0
Parking,1330.0,1242.0,1265.0,1074.0,814.0,975.0,1059.0,1379.0,1351.0
Food/beverage \1,8786.0,8765.0,7914.0,8369.0,8232.0,7795.0,7442.0,7929.0,8318.0
Food,4792.0,4300.0,4207.0,4234.0,3590.0,3128.0,2752.0,2771.0,3363.0
Dining/drinking,2935.0,3441.0,2916.0,3321.0,3937.0,4078.0,3780.0,3816.0,4038.0
Fast food,1058.0,1024.0,792.0,813.0,705.0,590.0,910.0,1342.0,918.0
Multiretail \1,14911.0,16373.0,15581.0,15400.0,18828.0,22750.0,29218.0,34249.0,32293.0
General merchandise,5100.0,5066.0,6009.0,5341.0,6416.0,6740.0,5699.0,6827.0,4792.0
Shopping center,6803.0,7769.0,6605.0,6867.0,9256.0,12462.0,18417.0,22213.0,22531.0
Shopping mall,2523.0,2701.0,2108.0,2231.0,2138.0,2631.0,3616.0,4253.0,4163.0
Other commercial \1,13537.0,11945.0,12083.0,11249.0,13341.0,11744.0,10874.0,12799.0,12054.0
Drug store,1682.0,1185.0,1644.0,1790.0,1427.0,1315.0,1238.0,1516.0,1864.0
Building supply store,2592.0,3016.0,2471.0,2268.0,2521.0,2416.0,2594.0,3567.0,2789.0
Other stores,8136.0,6995.0,7145.0,6214.0,8229.0,7075.0,6135.0,6938.0,6294.0
Warehouse \1,14822.0,15691.0,11908.0,12345.0,12074.0,12827.0,14491.0,16368.0,16395.0
General commercial,13511.0,14440.0,10934.0,11004.0,10830.0,11468.0,13493.0,15098.0,15154.0
Farm,5988.0,5135.0,5611.0,5103.0,5485.0,5854.0,5817.0,7281.0,7330.0
Health care,19455.0,19506.0,22438.0,24217.0,26272.0,28495.0,32016.0,34776.0,37883.0
Hospital,10183.0,11313.0,13925.0,15234.0,16147.0,18250.0,21914.0,24285.0,26078.0
Medical building,5066.0,4638.0,4924.0,6068.0,7615.0,8031.0,7165.0,7582.0,8203.0
Special care,4206.0,3555.0,3538.0,2915.0,2510.0,2213.0,2937.0,2909.0,3603.0
Educational \1,11683.0,12846.0,13109.0,13424.0,12701.0,12788.0,13839.0,17071.0,18806.0
Preschool,770.0,874.0,593.0,711.0,674.0,516.0,487.0,726.0,729.0
Primary/secondary,2948.0,3536.0,3605.0,3204.0,3202.0,2718.0,3240.0,4036.0,3832.0
Higher education \1,6333.0,6597.0,6875.0,7259.0,6496.0,6946.0,7611.0,9668.0,11757.0
Instructional,3058.0,3210.0,3619.0,3701.0,3200.0,3556.0,3501.0,4307.0,5598.0
Dormitory,1356.0,1555.0,1528.0,1761.0,1669.0,1537.0,2065.0,2954.0,3797.0
Sports/recreation,645.0,755.0,772.0,677.0,739.0,821.0,858.0,848.0,844.0
Other educational,1318.0,1421.0,1651.0,1785.0,1998.0,2294.0,2090.0,2212.0,2075.0
Gallery/museum,920.0,990.0,1312.0,1371.0,1335.0,1745.0,1697.0,1975.0,1793.0
Religious,8030.0,8393.0,8335.0,8559.0,8153.0,7715.0,7740.0,7429.0,7074.0
