- AGE OF HOUSEHOLDER AND SIZE OF HOUSEHOLD  -,-  -------- Total \1 -,- 2000.0 - White -,-  - Black -,-  - Hispanic \2 -
15-24 years old \3,5.9,4.5,1.0,0.9
25-29 years old,8.5,6.7,1.3,1.1
30-34 years old,10.1,8.1,1.4,1.3
35-44 years old,24.0,19.8,3.1,2.5
45-54 years old,20.9,17.5,2.6,1.5
55-64 years old,13.6,11.6,1.5,0.9
65-74 years old,11.3,9.9,1.1,0.6
75 years old and over,10.4,9.5,0.8,0.4
One person,26.7,22.3,3.6,1.3
Male,11.2,9.2,1.6,0.7
Female,15.5,13.1,2.0,0.6
Two persons,34.7,30.1,3.4,1.9
Three persons,17.2,13.8,2.5,1.8
Four persons,15.3,12.8,1.7,1.9
Five persons,7.0,5.7,0.9,1.3
Six persons,2.4,1.8,0.4,0.6
Seven persons or more,1.4,1.1,0.2,0.5
15-24 years old \3,6.0,5.0,8.0,10.0
25-29 years old,8.0,8.0,10.0,12.0
30-34 years old,10.0,9.0,11.0,14.0
35-44 years old,23.0,23.0,24.0,27.0
45-54 years old,20.0,20.0,20.0,16.0
55-64 years old,13.0,13.0,12.0,10.0
65-74 years old,11.0,11.0,9.0,6.0
75 years old and over,10.0,11.0,6.0,4.0
One person,26.0,25.0,28.0,14.0
Male,11.0,10.0,13.0,8.0
Female,15.0,15.0,16.0,6.0
Two persons,33.0,34.0,27.0,20.0
Three persons,16.0,16.0,20.0,19.0
Four persons,15.0,15.0,13.0,20.0
Five persons,7.0,6.0,7.0,14.0
Six persons,2.0,2.0,3.0,6.0
Seven persons or more,1.0,1.0,2.0,5.0
