Market value of agricultural products sold,"Farms (1,000)",Acreage Total (millions),Average per farm,Value of sales Total (million dollars),Average per farm (dollars),Percent distribution Farms,Acreage,Value of sales
"Less than $2,500",827.0,107.047,129.44014510278114,485.0,586.4570737605804,38.8,11.4,0.2417192468327303
"$2,500 to $4,999",213.0,23.112,108.0,763.0,3582.1596244131456,10.0,2.5,0.38027172233685197
"$5,000 to $9,999",223.0,34.762,156.0,1577.0,7071.748878923767,10.5,3.7,0.7859613448561148
"$10,000 to $24,999",256.0,69.453,271.0,4068.0,15890.625,12.0,7.4,2.027451332197004
"$25,000 to $49,999",158.0,77.934,494.0,5594.0,35405.063291139246,7.4,8.3,2.7879947768707076
"$50,000 to $99,999",140.0,110.078,784.0,10024.0,71600.0,6.6,11.7,4.995863361342862
"$100,000 to $249,999",159.0,189.355,1191.0,25401.0,159754.71698113208,7.5,20.2,12.65960946143955
"$250,000 to $499,999",82.0,140.799,1723.0,28530.0,347926.8292682927,3.9,15.0,14.219072396160401
"$500,000 to $999,999",42.0,94.04,2241.0,28944.0,689142.8571428572,2.0,10.0,14.42540593881762
"$1,000,000 or more",29.0,91.7,3198.0,95259.0,3284793.103448276,1.4,9.8,47.47615202894651
"Less than $2,500",900.327,121.51425800000001,134.96680428333264,434.945,483.09669708894666,40.83500847245455,13.178050776153597,0.14633748788201822
"$2,500 to $4,999",200.302,17.486373,87.0,718.027,3584.7220696747913,9.084847913091123,1.8963726156708396,0.24158058469797766
"$5,000 to $9,999",218.531,27.622945,126.0,1552.543,7104.451999945088,9.911637923214526,2.9956696258384596,0.5223539584287948
"$10,000 to $24,999",248.285,65.839387,265.0,3959.823,15948.700082566405,11.261152979510086,7.140189136955656,1.3322846573185965
"$25,000 to $49,999",154.732,59.786339,386.0,5480.497,35419.2862497738,7.01798627716356,6.483744574750494,1.84391627291942
"$50,000 to $99,999",125.456,78.154582,623.0,8961.255,71429.46531054712,5.690151270505336,8.475754754516625,3.015019243743864
"$100,000 to $249,999",147.5,147.572303,1000.0,24212.94,164155.5254237288,6.689973475956008,16.00400919279714,8.146457170074454
"$250,000 to $499,999",93.373,140.739342,1507.0,33409.883,357810.96248380153,4.23500266691824,15.262984160084706,11.24077377289576
"$500,000 to $999,999",60.777,119.419781,1965.0,42690.783,702416.753048028,2.756586562360531,12.950907684389945,14.363337755202082
"$1,000,000 or more",55.509,143.96053,2593.0,175799.795,3167050.2981498498,2.5176524588260483,15.612317478842547,59.14793909683704
