Industry \1,2002 NAICS code,U.S. parents Total assets (million dollars),Capital expenditures (million dollars),Value added (million dollars),"Employment (1,000)",Majority-owned foreign affiliates Capital expenditures (million dollars),Value added (million dollars),"Employment (1,000)"
All industries,(X),18520846.0,442573.0,2509219.0,21747.6,153163.0,995638.0,9497.8
Mining,21,325779.0,34104.0,64997.0,179.1,42451.0,129703.0,167.7
Oil and gas extraction,211,189136.0,24191.0,33559.0,30.2,37924.0,110312.0,47.5
Other,"212, 213",136643.0,9914.0,31439.0,148.9,4527.0,19390.0,120.2
Utilities,22,569626.0,28996.0,75094.0,226.4,3044.0,11168.0,46.1
Manufacturing,31-33,4868473.0,168319.0,1045509.0,7545.9,59631.0,455497.0,4536.3
Food,311,295012.0,7721.0,64915.0,630.3,3228.0,28294.0,402.7
Beverages and tobacco products,312,211333.0,3852.0,57650.0,224.5,2152.0,45077.0,218.5
"Textiles, apparel, and leather products",313-316,25652.0,839.0,11262.0,150.9,323.0,3962.0,133.4
Wood products,321,36960.0,1152.0,8244.0,69.8,484.0,1762.0,21.6
Paper,322,105013.0,3463.0,36539.0,224.4,1485.0,10043.0,108.6
Printing and related support activities,323,20688.0,726.0,11341.0,133.1,113.0,1668.0,31.4
Petroleum and coal products,324,589570.0,23497.0,154597.0,262.7,5417.0,69841.0,38.1
Chemicals,325,881619.0,21514.0,185277.0,893.3,9356.0,86228.0,579.9
Basic chemicals,3251,126614.0,4853.0,25519.0,123.8,2481.0,14153.0,70.8
"Resins and synthetic rubber, fibers, and filaments",3252,92262.0,3152.0,20565.0,96.4,1283.0,8139.0,62.8
Pharmaceuticals and medicines,3254,478214.0,10040.0,93754.0,403.4,3316.0,37638.0,206.5
"Soap, cleaning compounds, and toilet preparations",3256,98064.0,1719.0,21952.0,120.3,1092.0,12661.0,131.3
Other,"3253, 3255, 3259",86465.0,1750.0,23487.0,149.3,1184.0,13637.0,108.5
Plastics and rubber products,326,85529.0,2633.0,26391.0,286.0,1387.0,11844.0,177.8
Nonmetallic mineral products,327,62611.0,2056.0,19965.0,146.6,1619.0,7827.0,78.2
Primary and fabricated metals,"331, 332",173774.0,5809.0,61696.0,540.3,3816.0,18881.0,237.7
Primary metals,331,115422.0,4328.0,39218.0,290.8,2938.0,9830.0,108.0
Fabricated metal products,332,58352.0,1481.0,22479.0,249.6,878.0,9050.0,129.8
Machinery,333,241717.0,6294.0,54565.0,550.4,2332.0,27744.0,369.5
"Agriculture, construction, and mining machinery",3331,133445.0,3408.0,17598.0,159.2,781.0,6916.0,81.0
Industrial machinery,3332,40134.0,1268.0,13083.0,108.3,133.0,2742.0,29.8
Other,"3333-3336, 3339",68137.0,1617.0,23885.0,282.8,1417.0,18085.0,258.7
Computers and electronic products,334,510814.0,16141.0,100227.0,863.0,10739.0,47276.0,691.6
Computers and peripheral equipment,3341,118225.0,2775.0,15421.0,177.8,1116.0,11197.0,139.4
Communications equipment,3342,123564.0,3489.0,22267.0,171.3,735.0,7929.0,132.4
Audio and video equipment,3343,11326.0,198.0,2073.0,24.5,246.0,1105.0,26.4
