Item,Unit,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Number \2,Million,433.0,421.0,404.0,409.0,384.0,380.0,378.0,387.0,397.0,401.0,392.0,385.0,379.0,365.0,374.0,370.0,373.0,380.0,356.0,356.0,353.0,363.0,371.0,380.0,386.0,388.0,393.0,410.0,425.0,437.0,437.0,444.0,444.0,450.159,454.452,455.572,457.813,458.593,446.072
Value per head \2,Dollars,1.21,1.23,1.28,1.62,1.7,1.74,1.7,1.69,1.75,1.81,1.88,1.89,1.85,1.96,2.02,1.9,1.87,1.87,2.04,2.16,2.29,2.3,2.26,2.37,2.34,2.41,2.65,2.72,2.69,2.64,2.44,2.41,2.38,2.48,2.48,2.52,2.6,2.95,3.38
"Value, total \2",Million dollars,525.0,517.0,516.0,663.0,653.0,660.0,644.0,652.0,696.0,726.0,737.0,728.0,701.0,717.0,757.0,704.0,698.0,711.0,726.0,771.0,808.0,833.0,838.0,898.0,902.0,935.0,1039.0,1113.0,1143.0,1156.0,1064.0,1069.0,1055.0,1116.052,1125.672,1149.736,1189.978,1351.549,1506.573
Number sold \3,Million,233.0,252.0,235.0,232.0,252.0,224.0,217.0,225.0,220.0,236.0,238.0,239.0,242.0,237.0,225.0,220.0,218.0,218.0,224.0,199.0,208.0,198.0,208.0,198.0,197.0,180.0,174.314,190.989,200.0,214.0,218.0,202.0,200.0,189.66,191.971,193.938,173.883,168.283,175.932
Price per pound \3,Cents,9.1,7.8,8.9,15.1,9.7,9.9,13.0,12.3,12.4,13.9,11.0,11.1,10.3,12.7,15.9,14.8,12.5,11.0,9.2,14.9,9.6,7.1,9.1,10.0,7.4,6.5,6.6,7.7,8.1,7.1,5.7,4.5,4.8,4.9,5.8,6.5,5.9,5.6,6.6
Value of sales \3,Million dollars,107.0,95.0,100.0,176.0,115.0,105.0,145.0,145.0,142.0,171.0,129.0,135.0,121.0,145.0,170.0,152.0,128.0,112.0,99.0,142.0,94.0,72.0,89.0,96.409,73.0,60.0,59.0,71.0,80.0,75.0,64.0,47.0,50.0,47.997,57.709,65.072,54.141,51.498,61.845
Number,Million,2987.0,2945.0,3075.0,3009.0,2993.0,2950.0,3274.0,3394.0,3614.0,3951.0,3963.0,4148.0,4149.0,4184.0,4283.0,4470.0,4649.0,5004.0,5238.0,5517.0,5864.0,6137.0,6402.0,6694.0,7018.0,7325.67,7597.0,7764.0,7934.0,8146.0,8284.0,8390.0,8591.0,8492.85,8740.65,8872.0,8867.8,8906.7,9009.1
Weight,Billion pounds,10.8,10.8,11.5,11.2,11.3,11.1,12.5,13.0,14.0,15.5,15.5,16.5,16.8,17.0,17.9,18.9,19.7,21.5,22.5,24.0,25.6,27.2,28.8,30.6,32.5,34.222,36.48305,37.5234,38.6,40.8,41.6,42.5,44.1,43.9582,45.79625,47.8556,48.8299,49.3307,50.4405
Price per pound,Cents,13.6,13.8,14.1,24.0,21.5,26.3,23.6,23.6,26.3,26.0,27.7,28.4,26.9,28.6,33.7,30.1,34.5,28.7,33.1,36.6,32.6,30.8,31.8,34.0,35.0,34.4,38.1,37.7,39.3,37.1,33.6,39.3,30.5,34.6,44.6,43.6,36.3,43.6,45.8
