Country,FIPS CODE,Total \1,Income and profits taxes \2 Total \3,Individual,Corporate,Social security contributions Total \4,Employees,Employers,Taxes on goods and services \5 Total \3,General consumption taxes \6,"Taxes on specific goods, services \7"
1980.0,,100.0,49.835904,39.075399,10.760505,21.865214,9.172652,11.909448,17.63363,7.024766,8.3
1990,,100.0,45.998441,37.058088,8.940353,25.120047,11.004303,12.9119,17.419782,7.984615,7.0
1995,,100.0,46.08931,35.773266,10.316044,24.834521,10.79225,12.73531,17.987165,8.040975,7.5
1996,,100.0,47.560739,37.377741,10.182998,24.18294,10.566923,12.357878,17.328739,7.941049,7.1
1997,,100.0,48.574616,38.568827,10.005789,23.73512,10.44186,12.073106,16.925749,7.772988,6.9
1998,,100.0,49.290021,39.886701,9.403321,23.56523,10.431342,11.933351,16.59892,7.663728,6.7
1999,,100.0,49.593721,40.408712,9.185008,23.463765,10.458362,11.810842,16.43257,7.701379,6.5
2000,,100.0,50.65412,41.918683,8.735437,23.176911,10.370471,11.640957,16.059036,7.581293,6.3
2001,,100.0,48.851841,42.14571,6.706131,24.169063,10.814129,12.135218,16.30925,7.672138,6.3
2002,,100.0,44.31501,37.687896,6.627114,26.075015,11.660743,13.091883,17.706584,8.192732,7.0
2003,,100.0,43.253328,34.994934,8.258394,26.370937,11.670221,13.365241,18.266153,8.3623,7.1
2004,,100.0,43.696242,34.028407,9.667836,26.039032,11.417494,13.288684,18.273329,8.4,6.9
2005,,100.0,46.536829,35.39321,11.14362,24.54876,10.715688,12.547443,17.582622,8.1,6.6
2006,,100.0,48.304549,36.462032,11.842517,23.796385,10.417028,12.135321,16.833481,7.8,6.2
2007,,100.0,49.052203,37.66393,11.388272,23.635891,10.338799,12.044093,16.369216,7.6,5.9
1980.0,,100.0,46.5911,34.104836,11.623026,10.541999,3.71826,6.629708,32.57833,11.54086,13.0
1990,,100.0,48.562209,40.844013,7.040696,12.14546,4.355508,7.556519,25.841275,14.120169,10.3
