Item,1970 (billion dollars),1971  (billion dollars),1972  (billion dollars),1973  (billion dollars),1974  (billion dollars),1975  (billion dollars),1976  (billion dollars),1977  (billion dollars),1978  (billion dollars),1979  (billion dollars),1980  (billion dollars),1981  (billion dollars),1982  (billion dollars),1983  (billion dollars),1984  (billion dollars),1985  (billion dollars),1986  (billion dollars),1987  (billion dollars),1988  (billion dollars),1989  (billion dollars),1990  (billion dollars),1991  (billion dollars),1992  (billion dollars),1993  (billion dollars),1994  (billion dollars),1995  (billion dollars),1996  (billion dollars),1997  (billion dollars),1998  (billion dollars),1999  (billion dollars),2000  (billion dollars),2001  (billion dollars),2002  (billion dollars),2003  (billion dollars),2004  (billion dollars),2005  (billion dollars),2006  (billion dollars),2007  (billion dollars)
Value of agricultural sector production,55.100751,58.973504,67.182162,96.303035,97.716739,99.746501,102.183405,106.946987,125.416722,149.344593,147.993972,164.390678,160.654528,144.559806,159.550181,153.364602,144.311209,151.661625,163.43631580160002,180.716310744,188.4966799966,183.834411021,191.3857231327,191.6200721778,208.2276361178,203.55328391150002,228.4676433004,230.5337028202,220.2121251314,213.4211680555,220.399993,229.347742,220.23442,243.523258,282.668149,276.7092,276.59079,329.2453435838
Value of crop production,20.52315195,23.42756156,25.9514343,43.05199395,49.15240753,50.40462173,48.36147993,51.15425793,56.6111,66.654722,64.357745,78.910683,71.809752,56.873064,77.74092,73.658186,63.306862,64.478428,69.2656298016,81.494430744,83.2052335308,81.18722408949999,89.0596857253,82.6578210252,100.4798743645,95.9026006982,115.6851361612,112.502088094,102.1133859395,92.7717803978,94.836916,95.006942,98.295203,108.565021,124.380307,115.222753,119.176426,150.841913
Food grains,2.542148,2.48465,3.498002,7.193603,8.580735,8.195336,7.1119,6.055076,5.839238,9.046893,10.402389,11.619493,11.411973,9.712997,9.730562,8.863628,5.723375,5.790126,7.469449,8.246637,7.480534,7.325418,8.467472,8.179928,9.545017,10.356029,10.795279,10.410552,8.808374,6.931289,6.525027,6.385012,6.787802,7.985133,8.906669,8.601173,9.085766,12.786331
Feed crops,5.109008,5.525479,5.85432,10.605357,13.934676,12.183354,13.127058,11.906226,11.426989,14.04049,18.307595,17.770261,17.408588,15.558855,16.137705,22.276424,16.992713,14.634697000000001,14.28083,17.049052,18.671665,19.32728,20.093292,20.188665,20.299553,24.504521,27.235411,27.086775,22.57838,19.527517,20.54569,21.454849,24.040729,24.747498,27.421189,24.701356,29.447494,42.455901
Cotton,1.254304,1.487471,1.841892,2.798252,2.892788,2.310744,3.476558,3.470205,3.537561,4.330142,4.447096,4.055091,4.456545,3.704896,3.674246,3.686502,3.371188,4.189135,4.525060000000001,5.025638,5.488395,5.236421,5.191827,5.249679,6.737773,6.850629,6.983125,6.345803,6.07296,4.630256,2.949649,3.639446,3.418096,6.41991,4.784386,6.320429,5.56589,6.172099
Oil crops,3.590651,3.78729,4.392745,7.579771,9.963167,7.480458,9.442757,9.721764,13.022922,14.299674,15.49254,13.852529,13.816529,13.545553,13.640509,12.394132,10.614011,11.282517,13.500503,11.866211999999999,12.296145,12.697873,13.287036,13.218615,14.652167,15.492964,16.3447,19.7583,17.371716,13.35515,13.477739,13.337838,15.049103,17.987858,17.861502,18.45029,18.500686,22.649562
Tobacco,1.387861,1.327798,1.442144,1.569715,2.097147,2.155022,2.309587,2.330578,2.603928,2.270706,2.671956,3.250271,3.340205,2.751797,2.81257,2.698546,1.893884,1.815568,2.068552,2.410192,2.733496,2.881115,2.958005,2.948542,2.655516,2.548235,2.796016,2.873023,2.804984,2.275052,2.315779,1.894764,1.743429,1.612135,1.578173,1.096508,1.156282,1.27663
Fruits and tree nuts,2.070621,2.305137,2.558094,3.444532,3.440554,3.526253,3.714069,4.603435,5.763881,6.462233,6.557399,6.60293,6.803791,6.055869,6.733621,6.94955,7.251672,8.056417999999999,9.048563,9.148674999999999,9.381,9.9864,10.089612,10.329585,10.300642,11.017842,11.84859,12.957846,11.982796,12.016211,12.385416,11.904046,12.570807,13.395005,15.455464,17.439554,17.19519,17.802237
Vegetables,2.813521,3.010833,3.285439,4.350796,5.335513,5.346116,5.230823,5.609314,6.127461,6.48001,7.306561,8.771913,8.07597,8.472456,9.151841,8.611838,8.859353,9.89088,9.792069,11.561722,11.273905,11.390509,11.768426,13.711691,14.049689,14.982903,14.410671,14.668839,15.015605,15.013441,15.53018,15.433371,17.140215,16.893116,16.190796,17.029708,18.457455,19.964918
All other crops,2.208469,2.340516,2.649876,3.572,4.820154,4.579282,4.619215,4.903437,4.876027,5.362955,6.560399,6.542798,6.989772,7.362077,8.007836,8.388725,9.101179,10.141199,10.934773,11.581565000000001,12.909573,13.400914,13.864384,13.929354,14.893117,15.232362,16.068998,17.213369,17.573526,18.351908,18.652028,19.284144,20.217612,20.95353,21.42156,22.333385,23.192545,23.846524
