Characteristic,NUMBER 2000.0 Census,2000 Estimates Base \1,2000.0 (July),2001.0 (July),2002.0 (July),2003.0 (July),2004.0 (July),2005.0 (July),2006.0 (July),2007.0 (July),2008.0 (July),"Percent change, 2000 to 2008"
One race,277524226.0,277526880.0,278239646.0,280963436.0,283507536.0,285848783.0,288377454.0,290891171.0,293532633.0,296292051.0,298892695.0,7.698647064385258
White,228104485.0,228106500.0,228604110.0,230454807.0,232180864.0,233774003.0,235503615.0,237203548.0,238998562.0,240881563.0,242639242.0,6.371033705747096
Black or African American,35704124.0,35704871.0,35806848.0,36222802.0,36603681.0,36939439.0,37335214.0,37732116.0,38160182.0,38621603.0,39058834.0,9.393572658475646
American Indian and Alaska Native,2663818.0,2663851.0,2675743.0,2724275.0,2771807.0,2817996.0,2867353.0,2918423.0,2971631.0,3028178.0,3083434.0,15.750993580346648
Asian,10589265.0,10589122.0,10687434.0,11083699.0,11461660.0,11816885.0,12158373.0,12511870.0,12864663.0,13210746.0,13549064.0,27.952666897217732
Native Hawaiian and Other Pacific Islander,462534.0,462536.0,465511.0,477853.0,489524.0,500460.0,512899.0,525214.0,537595.0,549961.0,562121.0,21.530216026428214
Two or more races,3897680.0,3897722.0,3932290.0,4076367.0,4219111.0,4362131.0,4514673.0,4669378.0,4830340.0,4998281.0,5167029.0,32.56535484059663
White,231434388.0,231436438.0,231965180.0,233945047.0,235799309.0,237521836.0,239388844.0,241228151.0,243168230.0,245202728.0,247112954.0,6.773572966932717
Black or African American,37104248.0,37105009.0,37224692.0,37715327.0,38170579.0,38581169.0,39056228.0,39534132.0,40047296.0,40598730.0,41126808.0,10.838965165053592
American Indian and Alaska Native,4225058.0,4225121.0,4243326.0,4317537.0,4390012.0,4460087.0,4535891.0,4613113.0,4693618.0,4778713.0,4861963.0,15.072751762612244
Asian,12006894.0,12006747.0,12119080.0,12573938.0,13009894.0,13423521.0,13827288.0,14244202.0,14662015.0,15074845.0,15480349.0,28.93041720625911
Native Hawaiian and Other Pacific Islander,906785.0,906797.0,912758.0,937571.0,961490.0,984356.0,1009728.0,1034925.0,1060576.0,1086516.0,1112297.0,22.66218348759425
Not Hispanic \3,246116088.0,246118224.0,246528116.0,247987561.0,249284399.0,250433301.0,251768385.0,253031970.0,254377807.0,255817948.0,257116111.0,4.4685382582640445
One race,242709840.0,242711940.0,243092814.0,244432175.0,245610649.0,246641065.0,247849949.0,248986747.0,250201093.0,251504047.0,252664449.0,4.100543632093254
White,195575485.0,195576996.0,195762721.0,196310974.0,196748769.0,197108548.0,197607714.0,198037466.0,198518169.0,199059764.0,199491458.0,2.001494081645471
Black or African American,34313007.0,34313716.0,34404007.0,34771449.0,35107727.0,35399084.0,35740456.0,36068376.0,36422201.0,36808839.0,37171750.0,8.329129960742229
American Indian and Alaska Native,2097440.0,2097464.0,2104175.0,2131522.0,2158150.0,2183401.0,2211486.0,2239622.0,2268614.0,2299352.0,2328982.0,11.037996361320147
Asian,10356804.0,10356661.0,10452788.0,10840545.0,11210202.0,11556968.0,11888798.0,12231732.0,12574205.0,12909770.0,13237698.0,27.818203183439138
Native Hawaiian and Other Pacific Islander,367104.0,367103.0,369123.0,377685.0,385801.0,393064.0,401495.0,409551.0,417904.0,426322.0,434561.0,18.3757691982904
Two or more races,3406248.0,3406284.0,3435302.0,3555386.0,3673750.0,3792236.0,3918436.0,4045223.0,4176714.0,4313901.0,4451662.0,30.689689996488845
White,198475591.0,198477136.0,198689027.0,199345039.0,199889257.0,200356504.0,200969683.0,201514080.0,202113733.0,202779514.0,203336299.0,2.4482230537627268
Black or African American,35498173.0,35498895.0,35604204.0,36034601.0,36433352.0,36787645.0,37195592.0,37590977.0,38015441.0,38477100.0,38915749.0,9.6252404476252
American Indian and Alaska Native,3455525.0,3455577.0,3466688.0,3511515.0,3554680.0,3595410.0,3640926.0,3685681.0,3731996.0,3780834.0,3827922.0,10.775190366181972
Asian,11631935.0,11631783.0,11740232.0,12179443.0,12599867.0,12997489.0,13383338.0,13780814.0,14179085.0,14571651.0,14956889.0,28.586382672372757
Native Hawaiian and Other Pacific Islander,751844.0,751849.0,756229.0,774540.0,792139.0,808527.0,826778.0,844500.0,862719.0,881159.0,899371.0,19.62122713470391
Hispanic \3,35305818.0,35306378.0,35643820.0,37052242.0,38442248.0,39777613.0,41123742.0,42528579.0,43985166.0,45472384.0,46943613.0,32.96071604966105
One race,34814386.0,34814940.0,35146832.0,36531261.0,37896887.0,39207718.0,40527505.0,41904424.0,43331540.0,44788004.0,46228246.0,32.782782334250754
White,32529000.0,32529504.0,32841389.0,34143833.0,35432095.0,36665455.0,37895901.0,39166082.0,40480393.0,41821799.0,43147784.0,32.641997861387615
Black or African American,1391117.0,1391155.0,1402841.0,1451353.0,1495954.0,1540355.0,1594758.0,1663740.0,1737981.0,1812764.0,1887084.0,35.64872354266778
American Indian and Alaska Native,566378.0,566387.0,571568.0,592753.0,613657.0,634595.0,655867.0,678801.0,703017.0,728826.0,754452.0,33.20432848917789
Asian,232461.0,232461.0,234646.0,243154.0,251458.0,259917.0,269575.0,280138.0,290458.0,300976.0,311366.0,33.94332812815913
Native Hawaiian and Other Pacific Islander,95430.0,95433.0,96388.0,100168.0,103723.0,107396.0,111404.0,115663.0,119691.0,123639.0,127560.0,33.66445569142749
Two or more races,491432.0,491438.0,496988.0,520981.0,545361.0,569895.0,596237.0,624155.0,653626.0,684380.0,715367.0,45.5660734416142
White,32958797.0,32959302.0,33276153.0,34600008.0,35910052.0,37165332.0,38419161.0,39714071.0,41054497.0,42423214.0,43776655.0,32.82033399857801
Black or African American,1606075.0,1606114.0,1620488.0,1680726.0,1737227.0,1793524.0,1860636.0,1943155.0,2031855.0,2121630.0,2211059.0,37.66513460439296
American Indian and Alaska Native,769533.0,769544.0,776638.0,806022.0,835332.0,864677.0,894965.0,927432.0,961622.0,997879.0,1034041.0,34.3706142858628
Asian,374959.0,374964.0,378848.0,394495.0,410027.0,426032.0,443950.0,463388.0,482930.0,503194.0,523460.0,39.60273519591214
Native Hawaiian and Other Pacific Islander,154941.0,154948.0,156529.0,163031.0,169351.0,175829.0,182950.0,190425.0,197857.0,205357.0,212926.0,37.41771432996877
One race,136143314.0,136145831.0,136530070.0,137975766.0,139301182.0,140473867.0,141837608.0,143163082.0,144562509.0,145997475.0,147369737.0,8.24403209232312
White,112476314.0,112478129.0,112754319.0,113768111.0,114694700.0,115512463.0,116474121.0,117397175.0,118373824.0,119375244.0,120326022.0,6.9772613305116415
Black or African American,16971124.0,16971838.0,17024057.0,17232010.0,17417970.0,17573045.0,17775529.0,17972942.0,18189073.0,18418374.0,18639632.0,9.826831955383971
American Indian and Alaska Native,1332929.0,1332962.0,1339118.0,1363748.0,1387578.0,1410034.0,1435266.0,1460869.0,1487990.0,1516549.0,1544661.0,15.881848094694373
Asian,5127744.0,5127697.0,5175857.0,5368843.0,5552054.0,5724164.0,5892071.0,6065289.0,6238431.0,6407843.0,6573734.0,28.2005157481029
