Uurbanized area,"Freeway daily vehicle miles of travel   Total miles (1,000)",Per lane- mile of freeway,"Annual person hours of delay   Total hours (1,000)",Per person \2,Annual congestion cost \1   Per person (dollars),Delay and fuel cost (million dollars),"Fuel wasted, (gallons per person)"
"Akron, Ohio",5530.0,12860.0,3031.0,5.0,102.0,63.0,4.0
"Albany-Schenectady, New York",7005.0,11390.0,6082.0,10.0,220.0,131.0,6.0
"Albuquerque, New Mexico",4875.0,14552.0,11095.0,19.0,416.0,244.0,12.0
"Allentown-Bethlehem, Pennsylvania-New Jersey",4935.0,11892.0,7571.0,12.0,247.0,154.0,7.0
"Anchorage, Alaska",1560.0,8000.0,1616.0,6.0,111.0,32.0,3.0
"Atlanta, Georgia",47830.0,18943.0,135335.0,30.0,671.0,2981.0,22.0
"Austin, Texas",9400.0,16068.0,22777.0,22.0,455.0,471.0,15.0
"Bakersfield, California",2275.0,11375.0,3359.0,7.0,143.0,73.0,4.0
"Baltimore, Maryland",26670.0,17096.0,56964.0,25.0,550.0,1276.0,18.0
"Beaumont, Texas",2400.0,11707.0,1425.0,6.0,126.0,28.0,4.0
"Birmingham, Alabama",9715.0,14287.0,12605.0,18.0,373.0,267.0,12.0
"Boston, Massachusetts-New Hampshire-Rhode Island",40000.0,15686.0,91052.0,22.0,475.0,1996.0,15.0
"Boulder, Colorado",700.0,10769.0,953.0,7.0,126.0,18.0,4.0
"Bridgeport-Stamford, Connecticut-New York",10550.0,17438.0,16077.0,18.0,400.0,350.0,15.0
"Brownsville, Texas",665.0,11083.0,841.0,4.0,89.0,17.0,2.0
"Buffalo, New York",6760.0,10400.0,6185.0,5.0,119.0,134.0,3.0
"Cape Coral, Florida",1845.0,16773.0,7451.0,16.0,331.0,152.0,9.0
"Charleston-North Charleston, South Carolina",3645.0,13500.0,9944.0,21.0,431.0,207.0,13.0
"Charlotte, North Carolina-South Carolina",11775.0,14905.0,24237.0,23.0,491.0,525.0,15.0
"Chicago, Illinois-Indiana",55150.0,18507.0,189201.0,22.0,498.0,4207.0,15.0
"Cincinnati, Ohio-Kentucky-Indiana",18990.0,15377.0,23832.0,14.0,304.0,508.0,10.0
"Cleveland, Ohio",18120.0,12851.0,12037.0,7.0,134.0,241.0,5.0
