Country,FIPS Code,Reactors (number) 1970,1980,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Gross electricity generated (billion kilowatt hours) 1970,1980,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006.0,2007.0,2008.0,"Gross capacity (1,000 kilowatts) 1970",1980,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
United States,US,15.0,74.0,89.0,108.0,109.0,110.0,112.0,112.0,112.0,110.0,110.0,109.0,110.0,109.0,107.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,103.0,104.0,104.0,23.2,265.2,399.1,480.9,554.5,555.2,606.4,643.5,650.1,641.4,672.4,705.7,704.1,655.1,705.6,760.5,789.1,794.5,811.9,797.0,828.2,815.8,823.2,843.0,842.4,5211.0,56529.0,80327.0,99702.0,101347.0,103643.0,105998.0,105998.0,106054.0,105393.0,105548.0,105810.0,106957.0,106541.0,106005.0,103095.0,103129.0,103759.0,104209.0,104425.0,104015.0,104235.0,105077.0,106476.0,106977.0
Argentina,AR,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.3,4.8,6.5,5.4,5.0,7.0,7.7,7.1,8.1,8.2,7.0,7.4,7.9,7.5,7.1,6.2,7.1,5.8,1.9,7.9,6.9,7.7,7.2,7.4,0.0,357.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0
Armenia,AM,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,2.3,1.3,1.6,2.2,(NA),(NA),2.2,1.9,2.4,2.7,2.6,2.5,2.5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0
Belgium,BE,1.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.3,12.5,34.5,42.0,43.1,41.2,42.7,42.9,43.5,41.9,40.6,41.3,43.3,47.4,46.1,49.0,48.2,46.3,47.3,47.4,47.3,47.6,46.6,48.2,45.8,11.0,1744.0,5709.0,5718.0,5718.0,5718.0,5740.0,5740.0,5740.0,5824.0,5824.0,5911.0,5911.0,5995.0,5995.0,5995.0,5995.0,5995.0,6050.0,6050.0,6101.0,6101.0,6101.0,6101.0,6101.0
Brazil,BR,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.4,0.1,(Z),1.6,2.0,1.4,1.7,4.7,0.1,2.5,2.4,3.1,3.3,3.9,6.1,14.3,13.8,13.3,11.5,9.8,13.8,12.4,14.0,0.0,0.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,1966.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0
Bulgaria,BU,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,2.0,2.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6.1,14.9,17.1,17.6,17.0,17.1,15.8,(NA),(NA),20.2,17.3,16.8,18.7,19.5,14.2,15.8,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3760.0,3760.0,3760.0,3760.0,3760.0,3760.0,3760.0,3760.0,3760.0,3760.0,2880.0,2880.0,2880.0,2880.0,2000.0,2000.0
Canada,CA,1.0,9.0,15.0,18.0,18.0,18.0,19.0,19.0,20.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.9,40.4,62.9,80.6,85.6,83.2,74.0,86.1,81.3,96.9,110.6,100.2,95.2,84.4,72.8,74.3,73.8,77.5,75.9,75.7,90.9,92.5,98.4,94.0,94.1,220.0,5588.0,10332.0,12864.0,12919.0,12919.0,13855.0,13904.0,14841.0,16699.0,16699.0,16699.0,15795.0,15795.0,15795.0,15795.0,15795.0,15795.0,15795.0,15396.0,15426.0,15341.0,15341.0,15367.0,15367.0
China \1,CH,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,8.0,9.0,9.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12.4,13.0,14.7,14.7,14.9,14.7,15.0,13.9,53.1,54.9,62.9,42.6,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,7014.0,8014.0,9014.0,9014.0
Czech Republic,EZ,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4.0,(NA),(NA),(NA),(NA),4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.7,(NA),(NA),(NA),(NA),13.2,13.3,13.6,13.6,13.3,24.4,26.2,24.7,25.9,26.1,26.5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1760.0,(NA),(NA),(NA),(NA),1760.0,1760.0,1760.0,1760.0,1760.0,3722.0,3760.0,3760.0,3760.0,3760.0,3834.0
