Type of fuel,Unit,1980.0,1981.0,1982.0,1984.0,1987.0,1990.0,1993.0,1997.0,2001.0,2005.0
Avg per household,Millions British thermal units,114.0,112.0,102.0,105.0,101.0,98.0,104.0,101.0,92.2,94.9
Natural gas,Quadrillions British thermal units,4.97,5.27,4.74,4.98,4.83,4.86,5.27,5.28,4.84,4.79
"Electricity, site",Quadrillions British thermal units,2.48,2.42,2.35,2.48,2.76,3.03,3.28,3.54,3.89,4.35
"Fuel oil, kerosene \2",Quadrillions British thermal units,1.52,1.28,1.2,1.26,1.22,1.04,1.07,1.07,0.76,0.88
Fuel oil,Quadrillions British thermal units,(NA),(NA),(NA),1.15,1.14,0.98,1.02,1.01,0.71,0.86
Kerosene,Quadrillions British thermal units,(NA),(NA),(NA),0.1,0.09,0.07,0.05,0.06,0.05,0.02
Liquid petroleum gas,Quadrillions British thermal units,0.35,0.31,0.29,0.31,0.32,0.28,0.38,0.36,0.38,0.52
Wood,Quadrillions British thermal units,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.43,0.37,0.43
Avg per household,Dollars,926.0,998.0,1033.0,1123.0,1080.0,1172.0,1282.0,1338.0,1493.0,1810.0
Natural gas,Billions dollars,19.77,24.03,26.96,29.78,26.15,27.26,32.04,35.81,46.98,52.34
Electricity,Billions dollars,40.81,44.8,46.74,54.48,61.58,71.54,81.08,88.33,100.34,124.74
"Fuel oil, kerosene",Billions dollars,12.24,11.39,10.07,9.6,7.21,8.25,6.98,7.61,6.83,12.99
Fuel oil,Billions dollars,(NA),(NA),(NA),8.68,6.56,7.63,6.61,7.11,6.31,12.75
Kerosene,Billions dollars,(NA),(NA),(NA),0.92,0.65,0.62,0.37,0.5,0.52,0.24
Liquid petroleum gas,Billions dollars,2.8,2.81,2.75,3.12,2.81,3.14,3.81,4.04,5.6,11.0
Natural gas,Dollars per million British thermal units,3.98,4.56,5.68,5.97,5.41,5.61,6.07,6.78,9.7,10.93
Electricity,Dollars per million British thermal units,16.46,18.51,19.93,21.94,22.34,23.6,24.69,24.97,25.8,28.67
"Fuel oil, kerosene",Dollars per million British thermal units,8.03,8.89,8.42,7.64,5.89,7.92,6.53,7.13,9.05,28.79
Fuel oil,Dollars per million British thermal units,(NA),(NA),(NA),7.52,5.78,7.82,6.46,7.05,8.91,14.74
Kerosene,Dollars per million British thermal units,(NA),(NA),(NA),8.99,7.28,9.41,8.08,8.51,11.09,14.05
Liquid petroleum gas,Dollars per million British thermal units,8.0,8.93,9.48,9.91,8.91,11.18,10.04,11.23,14.87,20.97
