Table 952. Homeownership and Rental Vacancy Rates by Metropolitan Area: 2008,,
,,
See Notes,,
,,
,Home ownership Vacancy rates,Rental vacancy rates
,,
Metropolitan area,,
,,
Unit indicator,(percent),(percent)
Inside Metropolitan Areas,3.7,10.0
"Akron, OH",3.0,11.7
"Albany-Schenectady-Troy, NY",2.3,4.6
"Albaquerque, NM",1.9,8.1
"Alltenton-Bethleham-Easton, PA-NJ",1.3,11.1
"Atlanta-Sandy Springs-Marietta, GA",4.8,16.1
"Austin-Round Rock, TX",2.3,11.8
"Bakersfield, CA",2.8,8.7
"Baltimore-Towson, MD",2.3,12.4
"Baton Rouge, LA",0.9,9.2
"Birmingham-Hoover, AL",3.3,10.6
"Boston-Cambridge-Quincy, MA-NH",1.5,5.9
"Bridgeport-Stamford-Norwalk, CT",2.9,7.2
"Buffalo-Cheektowaga-Tonawanda, NY",2.2,7.0
"Charlotte-Gastonia-Concord, NC-SC",4.0,12.1
"Chicago-Naperville-Joliet, IL",3.1,9.9
"Cincinnati-Middletown, OH-KY-IN",4.4,8.5
"Cleveland-Elyria-Mentor, OH",2.7,13.4
"Columbia, SC",3.2,6.8
"Columbus, OH",3.2,9.2
"Dallas-Ft. Worth-Arlington, TX",2.8,10.5
"Dayton, OH",2.9,16.5
"Denver-Aurora, CO",3.1,7.1
"Detroit-Warren-Livonia, MI",4.6,18.3
"El Paso, TX",3.0,9.5
"Fresno, CA",2.0,8.9
"Grand Rapids-Wyoming, MI",2.3,7.4
"Greensboro-High Point, NC",5.6,17.6
"Hartford-West Hartford-East Hartford, CT",1.4,9.6
"Honolulu, HI",1.0,5.1
"Houston-Baytown-Sugar Land, TX",2.7,15.6
"Indianapolis, IN",4.2,19.3
"Jacksonville, FL",5.4,15.3
"Kansas City, MO-KS",3.4,14.1
"Las Vegas-Paradise, NV",6.1,14.9
"Los Angeles-Long Beach-Santa Ana, CA",1.5,5.3
"Louisville, KY-IN",2.5,10.2
"Memphis, TN-AR-MS",3.3,16.6
"Miami-Fort Lauderdale-Miami Beach, FL",3.8,12.1
"Milwaukee-Waukesha-West Allis, WI",1.1,7.8
"Minneapolis-St. Paul-Bloomington, MN-WI",2.8,7.2
"Nashville-Davidson-Murfreesboro, TN",2.2,10.6
"New Haven-Milford, CT",2.6,8.4
"New Orleans-Metairie-Kenner, LA",3.7,12.3
"New York-Northern New Jersey--Long Island, NY",1.9,5.2
"Oklahoma City, OK",3.5,9.9
"Omaha-Council Bluffs, NE-IA",3.2,12.6
"Orlando, FL",6.8,21.9
"Oxnard-Thousand Oaks-Ventura, CA",2.0,4.2
"Philadelphia-Camden-Wilmington, PA",2.5,11.8
"Phoenix-Mesa-Scottsdale, AZ",3.7,15.0
"Pittsburgh, PA",2.6,7.8
"Portland-Vancuver-Beaverton, OR-WA",1.9,5.5
"Poughkeepsie-Newburg-Middletown, NJ",0.7,9.1
Providence-New Bedford-Fall River RI-MA,1.9,9.6
"Raliegh-Cary, NC",3.2,9.9
"Richmond, VA",2.0,20.8
"Riverside-San Bernardino-Ontario, CA",5.2,9.4
"Rochester, NY",1.7,7.0
"Sacramento-Arden-Arade-Roserville, CA",4.8,10.4
"St. Louis, MO-IL",3.1,10.7
"Salt Lake City, UT",1.8,9.2
"San Antonio, TX",1.5,11.5
San Diego-Carlsbad-San Marcos,2.7,7.2
"San Francisco-Oakland-Freemont, CA",2.1,5.4
"San Jose-Sunnyvale-Santa Clara, CA",2.0,5.6
"Seattle-Bellevue-Everett, WA",1.9,4.5
"Springfield, MA",1.9,4.6
"Syracuse, NY",2.3,12.9
"Tampa-St. Petersburg-Clearwater, FL",3.0,15.4
"Toledo, OH",2.1,10.5
"Tucson, AZ",1.8,7.1
"Tulsa, OK",3.0,9.8
"Virginia Beach-Norfolk-Newport News, VA",3.2,6.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.7,10.0
"Worchester, MA",1.3,9.7
,,
"Source: U.S. Census Bureau, ""Housing Vacancies and Home Ownership"";",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
