Table 848. Gross Domestic Product of Natural Resource-Related Industries in Current and Real (2000) Dollars by Industry,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Industry,BILLIONS OF CURRENT DOLLARS,,,,,,,,,,,BILLIONS OF CHAINED (2000) DOLLARS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005,2006,2007.0,2008.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"All industries, total \1",8747.0,9268.4,9817.0,10128.0,10469.6,10960.8,11685.901,12421.9,13178.4,13807.5,14264.6,9066.9,9470.3,9817.0,9890.7,10048.8,10301.0,10675.8,10989.5,11294.8,11523.9,11652.0
,,,,,,,,,,,,,,,,,,,,,,
Industries covered,258.79999999999995,265.29999999999995,306.3,296.8,282.6,340.1,401.66499999999996,445.70000000000005,474.68299999999994,525.0,(NA),297.9,305.4,306.3,286.4,285.5,293.3,303.40999999999997,309.29999999999995,312.9,316.3,(NA)
Percent of all industries,2.9587287069852515,2.8624142246773983,3.1200977895487423,2.9304897314375986,2.699243524107893,3.1028757025034674,3.4371761321613112,3.588017936064532,3.6019774782978202,3.802281368821293,(NA),3.285577209410052,3.224818643548779,3.1200977895487423,2.8956494484717963,2.8411352599315345,2.847296378992331,2.8420352573109273,2.8145047545384227,2.7703013776251018,2.744730516578589,(NA)
,,,,,,,,,,,,,,,,,,,,,,
Private Industries,7652.5,8127.2,8614.3,8869.7,9131.2,9542.3,10194.273,10853.1,11529.3,12064.6,12424.6,7896.0,8285.5,8614.3,8692.5,8817.1,9050.9,9406.6,9740.0,10043.5,10250.1,10309.4
"Agriculture, forestry, fishing, and hunting",102.4,93.8,98.0,97.9,95.4,114.4,142.16,133.3,121.6,167.9,157.7,84.6,87.4,98.0,91.8,96.8,104.1,111.0,120.5,114.1,122.1,121.4
Farms,78.9,68.8,71.5,73.1,70.8,88.3,114.673,104.1,91.1,137.3,(NA),61.6,62.9,71.5,65.6,70.1,76.0,82.136,89.6,83.4,91.5,(NA)
"Forestry, fishing, and related activities",23.5,25.0,26.5,24.8,24.6,26.1,27.487,29.2,30.5,30.7,(NA),22.9,24.5,26.5,26.3,26.7,28.0,28.423,30.2,30.2,29.5,(NA)
,,,,,,,,,,,,,,,,,,,,,,
Mining,74.8,85.4,121.3,118.7,106.5,143.3,171.341,223.8,262.383,275.0,325.3,123.4,126.6,121.3,114.9,107.6,106.7,107.708,103.7,111.3,111.4,110.5
Oil and gas extraction,35.2,47.2,81.0,72.5,62.8,93.8,114.315,150.5,160.6,164.7,(NA),90.6,91.5,81.0,77.7,82.0,78.1,75.649,69.5,72.2,69.5,(NA)
"Mining, except oil and gas",27.0,27.5,27.0,27.1,26.8,27.2,30.333,36.8,43.2,45.3,(NA),24.5,26.7,27.0,25.8,24.2,24.0,24.044,25.2,25.7,24.8,(NA)
Support activities for mining,12.6,10.7,13.4,19.1,16.9,22.3,26.693,36.6,58.7,65.0,(NA),11.7,11.0,13.4,11.6,6.9,8.0,9.68,10.3,12.9,14.7,(NA)
,,,,,,,,,,,,,,,,,,,,,,
"Manufacturing, total",1343.9,1373.1,1426.2,1341.3,1352.6,1359.3,1427.887,1480.6,1577.4,1616.8,1637.7,1286.2,1342.1,1426.2,1346.9,1384.4,1400.1,1478.319,1491.0,1573.3,1618.6,1574.3
Timber-related manufacturing,81.6,86.1,87.0,80.2,80.69999999999999,82.4,88.16399999999999,88.6,90.69999999999999,82.1,(NA),89.9,91.4,87.0,79.69999999999999,81.1,82.5,84.702,85.1,87.5,82.8,(NA)
Wood products,29.4,31.9,31.4,31.3,30.4,32.1,37.477,38.4,33.8,31.4,(NA),29.9,30.4,31.4,30.9,30.3,30.4,30.706,32.0,29.9,31.7,(NA)
Paper products,52.2,54.2,55.6,48.9,50.3,50.3,50.687,50.2,56.9,50.7,(NA),60.0,61.0,55.6,48.8,50.8,52.1,53.996,53.1,57.6,51.1,(NA)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Bureau of Economic Analysis,",,,,,,,,,,,,,,,,,,,,,,
"Survey of Current Business, May 2009.",,,,,,,,,,,,,,,,,,,,,,
