Table 707. Net Stock of Fixed Reproducible Tangible Wealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit indicator,(billion dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRENT DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed assets and consumer durable goods,285.8,296.3,303.8,316.6,321.5,306.9,265.1,244,259.2,265.1,269.1,297.4,313.2,315.6,323,350.4,400.1,456.2,507.6,543.1,586,687.9,794.9,848.5,861,963.9,1056.8,1118.2,1161.3,1211.8,1315,1425.3,1496.1,1542.1,1603.7,1653.9,1711,1784.5,1850.8,1967.4,2095,2273.2,2450,2693,2934.7,3190.9,3510.4,3854.7,4359.4,5177.5,5610.2,6119.2,6844.3,7746.3,8912.4,10126.9,11141.6,11739.8,12156.2,12842.4,13560.4,14468.8,15346.3,16319.2,17275.3,18110.7,18574.8,19368,20380,21621.5,22669.6,23768.2,25012.1,26404.5,28081.1,29917.1,31608.9,33061.3,34804.7,38201.7,41893.6,45052.7,46617.5,
Fixed assets,253.8,262.9,269,281.4,285.7,273.4,236.2,218.3,233.8,240.1,244.2,270.7,285.3,287.9,294.6,319.4,363.9,416.1,463.3,496.6,539.9,633.7,729.8,774.6,779.1,864.7,947.2,1001.7,1037,1084.4,1178.3,1277.6,1339.6,1381.9,1436.4,1481.9,1536.4,1604,1660.6,1767.2,1883.5,2041.8,2197,2411.6,2627.6,2860.8,3159.1,3474,3938.4,4692.4,5075.8,5533.8,6194,7012.2,8087.7,9216.7,10163.3,10720.3,11067.2,11661.4,12275.5,13046.3,13803.5,14642.9,15480.2,16211.5,16602.8,17323.9,18231,19352,20298.9,21299.9,22450.5,23721.6,25246.1,26902.2,28464.7,29788.3,31424.4,34637,38167.7,41175.2,42592,
Private,215.5,223.7,229,240.8,245,233.7,200.1,182.6,192,194.2,195.5,216.5,228.1,228.7,233,251.7,279.3,299.1,314,326.7,351.5,433.4,515.4,560,579.4,653.2,710.5,747.6,777.7,809.2,881.4,948.4,996.5,1020.6,1064.8,1096.8,1132,1173.3,1209,1293.6,1379.4,1496.9,1608.5,1772.7,1924.5,2078.4,2311.6,2550.6,2899.6,3415.8,3734.7,4115.7,4686.9,5364.2,6210.7,7067.8,7802.6,8229,8516.4,9011.2,9509,10110.1,10710.8,11391.6,12051.7,12610.9,12880.7,13438.8,14166.8,15056.7,15794.3,16618.1,17549.3,18620.5,19847.2,21189.5,22484.8,23522.7,24916.9,27422.8,30223.7,32429.3,33381.2,
Nonresidential,114.8,119.3,121.8,125.1,125.2,119.4,106.6,98.7,100.3,101.6,101.3,111.8,116.8,115.5,116.2,123.6,139.5,148.5,150.5,152,167.2,206.3,248,272,276.9,313.6,341.8,360.2,375.9,385.8,425.2,470.2,502.2,511.5,533.5,544.6,559.7,579.9,601,636.6,681.9,742.5,802.8,882.5,972.1,1070.3,1178.4,1283.2,1447.3,1763,1942.9,2126.9,2365.7,2687.2,3102.4,3563.2,4032.9,4288.4,4416.7,4680.1,4944.3,5180.2,5462.3,5817.2,6168.1,6499.9,6632.4,6838.8,7161.9,7551.3,7954.4,8347.4,8818.7,9320.4,9860.4,10513.8,11020,11329.6,11692.2,12620.3,13726,14788.3,15512.1,
Equipment and software,30.5,32,32.4,32.8,33.4,32.1,29.4,26.5,26.2,26.4,25.9,27.9,30.2,30.3,31.1,33.6,38.7,39.8,40.3,40.5,46.8,56.3,68,82.2,86,99.4,109.3,114.8,124.2,127.7,140.3,157.3,171.3,176.7,185.7,191.6,194.8,202.2,210.7,223.4,240.7,268.2,293.8,323.9,357.4,392.2,419.8,452.8,505.4,623.4,713.9,790.4,887.7,1014.2,1178.5,1367.4,1525.1,1615.8,1669.4,1760.7,1865.6,1970.1,2071.2,2198.7,2335.2,2469.1,2541.1,2613.9,2728.2,2880.6,3067.4,3233.1,3394.6,3583.8,3822.1,4077.3,4203.2,4270.8,4380.8,4549.2,4760.4,5043.9,5286.1,
Information processing equipment and software,1.4,1.6,1.6,1.7,1.9,2,1.9,1.7,1.6,1.6,1.7,1.8,2.2,2.2,2.4,2.7,3.2,3.2,3.2,3.3,4.9,6.7,7.7,8.2,8.6,9.1,9.9,10.1,11,11.8,12.5,14,15.8,16.5,17.6,19,20.5,22.3,24.4,27,29.6,34.2,38.7,43.8,50.4,57.5,63.5,71.4,80.8,99.7,111.5,122.8,134.7,158.4,186.5,229.1,270,305.7,336.9,382.7,424.6,464.7,503.6,540.6,584.3,621.9,649.3,681.8,723.4,763.2,811.1,867.8,929.9,999.2,1109.2,1238,1294,1319.4,1350.3,1389.8,1449.3,1534.8,1636.4,
Structures,84.3,87.2,89.4,92.3,91.8,87.3,77.2,72.2,74,75.2,75.4,83.9,86.6,85.2,85.2,90,100.8,108.7,110.3,111.5,120.4,150,180,189.8,190.9,214.1,232.4,245.3,251.7,258,284.9,312.9,331,334.8,347.7,353,364.8,377.7,390.3,413.3,441.1,474.4,509,558.7,614.7,678,758.6,830.4,941.9,1139.6,1228.9,1336.5,1477.9,1673,1924,2195.8,2507.8,2672.6,2747.3,2919.4,3078.6,3210.1,3391.1,3618.5,3832.9,4030.8,4091.4,4224.9,4433.7,4670.7,4887.1,5114.3,5424.1,5736.6,6038.4,6436.5,6816.8,7058.8,7311.3,8071.2,8965.5,9744.4,10226,
Residential,100.7,104.4,107.2,115.7,119.8,114.3,93.5,83.9,91.7,92.7,94.2,104.7,111.3,113.1,116.7,128.1,139.9,150.6,163.5,174.7,184.3,227.1,267.4,288,302.5,339.6,368.7,387.4,401.9,423.4,456.2,478.2,494.2,509.2,531.3,552.2,572.3,593.4,608,657,697.6,754.4,805.7,890.2,952.3,1008.2,1133.2,1267.4,1452.3,1652.7,1791.8,1988.9,2321.2,2677,3108.2,3504.6,3769.7,3940.6,4099.7,4331.1,4564.7,4929.9,5248.5,5574.3,5883.6,6111,6248.3,6599.9,7004.9,7505.4,7839.8,8270.6,8730.6,9300.1,9986.7,10675.7,11464.8,12193.1,13224.7,14802.5,16497.7,17641,17869,
Housing units,92.7,96.2,98.7,106.5,110.2,105,85.8,77,84.1,84.8,86,95.4,101.2,102.7,105.9,116.2,126.6,136.3,148,158.2,166.7,204.2,238.8,255.3,266.9,298.6,323,338.1,349.2,366.9,394.3,411.9,423.9,434.7,451.3,466.5,481.4,497.4,506.4,548.4,582.4,628.6,669.8,739.4,785.3,826.3,932.6,1049,1206.2,1365.3,1478.4,1638.6,1922.5,2219.3,2579.6,2898.1,3099.2,3230.2,3352.3,3538,3727.8,4035.2,4292.4,4547.6,4788.4,4954.7,5045.3,5329.3,5677.1,6100.1,6354,6691.4,7072.5,7545.6,8106.3,8662.5,9319.6,9921.7,10770.7,12078.6,13481.7,14420.5,14515,
