Table 1021. Retail Trade Sales--Total and E-Commerce by Kind of Business,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
See notes.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Kind of business,2002 NAICS code \1,1998.0,,1999.0,,2000.0,,2001.0,,2002.0,,2003.0,,2004.0,,2005.0,,2006.0,,2007.0,,,
,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,Value of Sales,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),Total (million dollars),E-commerce (million dollars),E-commerce as percent of total sales,"Percent distribution of 
E-commerce sales"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Retail trade, total",44-45,2587105.0,4988.0,2868155.0,15000.0,3059138.0,28885.0,3067725.0,34353.0,3134322.0,44842.0,3265477.0,56615.0,3474340.0,70938.0,3688059.0,87397.0,3869536.0,107014.0,3994823.0,126697.0,3.1715,100.0
Motor vehicle and parts dealers,441,689679.0,382.0,779967.0,1794.0,816651.0,4624.0,816941.0,5337.0,820269.0,7159.0,841215.0,10452.0,864541.0,13333.0,885997.0,16503.0,896421.0,20012.0,906923.0,23600.0,2.6022,18.627
Furniture and home furnishings stores,442,77569.0,(S),85129.0,(S),91352.0,(S),91644.0,(S),94610.0,(S),97528.0,(S),105303.0,526.0,111763.0,615.0,116372.0,667.0,115349.0,796.0,0.6901,0.628
Electronics and appliance stores,443,74686.0,(S),82022.0,246.0,87482.0,547.0,80395.0,453.0,83897.0,505.0,86957.0,677.0,94811.0,1027.0,101609.0,1163.0,108271.0,1016.0,111893.0,1301.0,1.1627,1.027
Building material and garden equipment and supplies stores,444,202724.0,(S),264039.0,(S),278109.0,449.0,239707.0,231.0,248888.0,281.0,265052.0,373.0,298782.0,(S),327192.0,496.0,344130.0,427.0,335456.0,489.0,0.1458,0.386
Food and beverage stores,445,417433.0,(S),442622.0,(S),459185.0,(S),463330.0,(S),465794.0,(S),477130.0,(S),494966.0,402.0,514998.0,491.0,533848.0,836.0,559625.0,1022.0,0.1826,0.807
Health and personal care stores,446,129699.0,(S),145419.0,38.0,157468.0,(S),166678.0,(S),180143.0,(S),192224.0,(S),198933.0,(S),209008.0,(S),224016.0,(S),236383.0,(S),(S),(S)
Gasoline stations,447,191887.0,(Z),209409.0,(Z),244450.0,(Z),251537.0,(S),250770.0,(S),273566.0,(S),320435.0,(S),373855.0,(S),412569.0,(S),436976.0,(Z),(Z),(Z)
Clothing and clothing accessories stores,448,149433.0,12.0,159888.0,86.0,167541.0,262.0,167583.0,345.0,172617.0,618.0,178778.0,1089.0,190079.0,1481.0,201534.0,1748.0,213286.0,1702.0,221097.0,2115.0,0.9566,1.669
"Sporting goods, hobby, book, and music stores",451,68939.0,(S),74045.0,262.0,78120.0,420.0,77138.0,431.0,76988.0,468.0,77335.0,596.0,80061.0,948.0,81801.0,1138.0,84492.0,1478.0,86906.0,1686.0,1.94,1.331
General merchandise stores,452,351186.0,(S),381428.0,(S),405936.0,(S),427586.0,(S),446648.0,(S),468734.0,(S),497174.0,(S),525248.0,(S),552579.0,(S),576960.0,(S),(S),(S)
Miscellaneous store retailers,453,99757.0,(S),105742.0,251.0,109000.0,392.0,104381.0,474.0,104163.0,611.0,103056.0,795.0,105253.0,1084.0,108398.0,1386.0,114312.0,1672.0,117447.0,1963.0,1.6714,1.549
Nonstore retailers,454,134113.0,4031.0,138445.0,11768.0,163844.0,21649.0,180805.0,26547.0,189535.0,34470.0,203902.0,41741.0,224002.0,51412.0,246656.0,63554.0,269240.0,78703.0,289808.0,93026.0,32.0992,73.424
Electronic shopping and mail-order houses,45411.0,80366.0,4010.0,92921.0,11719.0,109933.0,21430.0,114844.0,25731.0,122313.0,33433.0,131171.0,40407.0,147199.0,49686.0,164345.0,61940.0,183273.0,75143.0,199199.0,88915.0,44.6363,70.179
,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau,",,,,,,,,,,,,,,,,,,,,,,,
"""E-Stats, 2007 E-commerce Multi-sector Report"";",,,,,,,,,,,,,,,,,,,,,,,
(published 28 May 2009).,,,,,,,,,,,,,,,,,,,,,,,
