Table 958. Homeownership Rates by State,,,,,,,,
,,,,,,,,
See Notes,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
State,FIPS Code,1990,1995,2000,2005.0,2006.0,2007.0,2008.0
,,,,,,,,
Unit indicator,,(percent),(percent),(percent),(percent),(percent),(percent),(percent)
United States,00000,63.9,64.7,67.4,68.9,68.8,68.1,67.8
Alabama,01000,68.4,70.1,73.2,76.6,74.2,73.3,73.0
Alaska,02000,58.4,60.9,66.4,66.0,67.2,66.6,66.4
Arizona,04000,64.5,62.9,68.0,71.1,71.6,70.4,69.1
Arkansas,05000,67.8,67.2,68.9,69.2,70.8,69.5,68.9
California,06000,53.8,55.4,57.1,59.7,60.2,58.3,57.5
Colorado,08000,59.0,64.6,68.3,71.0,70.1,70.2,69.0
Connecticut,09000,67.9,68.2,70.0,70.5,71.1,70.3,70.7
Delaware,10000,67.7,71.7,72.0,75.8,76.8,76.8,76.2
Dist. of Columbia,11000,36.4,39.2,41.9,45.8,45.9,47.2,44.1
Florida,12000,65.1,66.6,68.4,72.4,72.4,71.8,71.1
Georgia,13000,64.3,66.6,69.8,67.9,68.5,67.6,68.2
Hawaii,15000,55.5,50.2,55.2,59.8,59.9,60.1,59.1
Idaho,16000,69.4,72.0,70.5,74.2,75.1,74.5,75.0
Illinois,17000,63.0,66.4,67.9,70.9,70.4,69.4,68.9
Indiana,18000,67.0,71.0,74.9,75.0,74.2,73.8,74.4
Iowa,19000,70.7,71.4,75.2,73.9,74.0,73.7,74.0
Kansas,20000,69.0,67.5,69.3,69.5,70.0,69.4,68.8
Kentucky,21000,65.8,71.2,73.4,71.6,71.7,72.9,72.8
Louisiana,22000,67.8,65.3,68.1,72.5,71.3,71.5,73.5
Maine,23000,74.2,76.7,76.5,73.9,75.3,74.3,73.9
Maryland,24000,64.9,65.8,69.9,71.2,72.6,71.7,70.6
Massachusetts,25000,58.6,60.2,59.9,63.4,65.2,64.3,65.7
Michigan,26000,72.3,72.2,77.2,76.4,77.4,76.4,75.9
Minnesota,27000,68.0,73.3,76.1,76.5,75.6,73.5,73.1
Mississippi,28000,69.4,71.1,75.2,78.8,76.2,74.0,75.4
Missouri,29000,64.0,69.4,74.2,72.3,71.9,70.4,71.4
Montana,30000,69.1,68.7,70.2,70.4,69.5,67.3,70.3
Nebraska,31000,67.3,67.1,70.2,70.2,67.6,68.2,69.6
Nevada,32000,55.8,58.6,64.0,63.4,65.7,63.3,63.6
New Hampshire,33000,65.0,66.0,69.2,74.0,74.2,73.8,75.0
New Jersey,34000,65.0,64.9,66.2,70.1,69.0,68.3,67.3
New Mexico,35000,68.6,67.0,73.7,71.4,72.0,71.5,70.4
New York,36000,53.3,52.7,53.4,55.9,55.7,55.9,55.0
North Carolina,37000,69.0,70.1,71.1,70.9,70.2,70.3,69.4
North Dakota,38000,67.2,67.3,70.7,68.5,68.3,66.0,66.6
Ohio,39000,68.7,67.9,71.3,73.3,72.1,71.4,70.8
Oklahoma,40000,70.3,69.8,72.7,72.9,71.6,70.3,70.4
Oregon,41000,64.4,63.2,65.3,68.2,68.1,65.7,66.2
Pennsylvania,42000,73.8,71.5,74.7,73.3,73.2,72.9,72.6
Rhode Island,44000,58.5,57.9,61.5,63.1,64.6,64.9,64.5
South Carolina,45000,71.4,71.3,76.5,73.9,74.2,74.1,73.9
South Dakota,46000,66.2,67.5,71.2,68.4,70.6,70.4,70.4
Tennessee,47000,68.3,67.0,70.9,72.4,71.3,70.2,71.7
Texas,48000,59.7,61.4,63.8,65.9,66.0,66.0,65.5
Utah,49000,70.1,71.5,72.7,73.9,73.5,74.9,76.2
Vermont,50000,72.6,70.4,68.7,74.2,74.0,73.7,72.8
Virginia,51000,69.8,68.1,73.9,71.2,71.1,71.5,70.6
Washington,53000,61.8,61.6,63.6,67.6,66.7,66.8,66.2
West Virginia,54000,72.0,73.1,75.9,81.3,78.4,77.6,77.8
Wisconsin,55000,68.3,67.5,71.8,71.1,70.2,70.5,70.4
Wyoming,56000,68.9,69.0,71.0,72.8,73.7,73.2,73.3
,,,,,,,,
"Source: U.S. Census Bureau, ""Housing Vacancies and Home Ownership.""",,,,,,,,
