Table 934. New Privately Owned Housing Units Started--Selected Characteristics,,,,,,,,,,,
,,,,,,,,,,,
See Notes,,,,,,,,,,,
,,,,,,,,,,,
,Total units,Structures with-,,,Region,,,,Units for sale,,
,,,,,,,,,,,
,,,,,,,,,,,
,,1 unit,2 to 4 units,5 or more units,Northeast,Midwest,South,West,Total,Single-family,Multi-family
,,,,,,,,,,,
Year,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Unit indicator,"(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)"
1970,,,,,,,,,,,
1975,,,,,,,,,,,
1980,,,,,,,,,,,
1981,,,,,,,,,,,
1982,,,,,,,,,,,
1983,,,,,,,,,,,
1984,,,,,,,,,,,
1985,,,,,,,,,,,
1986,,,,,,,,,,,
1987,,,,,,,,,,,
1988,,,,,,,,,,,
1989,,,,,,,,,,,
1990,,,,,,,,,,,
1991,,,,,,,,,,,
1992,,,,,,,,,,,
1993,,,,,,,,,,,
1994,,,,,,,,,,,
1995,,,,,,,,,,,
1996,,,,,,,,,,,
1997,,,,,,,,,,,
1998,,,,,,,,,,,
1999,,,,,,,,,,,
2000,,,,,,,,,,,
2001,,,,,,,,,,,
2002,,,,,,,,,,,
2003.0,,,,,,,,,,,
2004.0,,,,,,,,,,,
2005.0,,,,,,,,,,,
2006.0,,,,,,,,,,,
2007.0,,,,,,,,,,,
2008.0,,,,,,,,,,,
,,,,,,,,,,,
"Source: U.S. Census Bureau,",,,,,,,,,,,
"Construction Reports, ""New Residential Construction"".",,,,,,,,,,,
