U.S. Multinational Companies--Selected Characteristics: 2005,,,,,,,,
,,,,,,,,
Consists of non-bank U.S. parent companies and their non-bank foreign affiliates.,,,,,,,,
"U.S. parent compromises the domestic operations of a multinational and is a U.S. person that owns or controls, directly or",,,,,,,,
"indirectly, 10 percent or more of the voting securities of an",,,,,,,,
"incorporated foreign business enterprise, or an equivalent interest in",,,,,,,,
an unincorporated foreign business enterprise. A U.S. person can be an,,,,,,,,
incorporated business enterprise. A foreign affiliate is a foreign,,,,,,,,
business enterprise owned or controlled by a U.S. parent company.,,,,,,,,
A majority-owned foreign affiliate (MOFA) is a foreign business,,,,,,,,
enterprise in which a U.S. parent company owns or controls more than 50%,,,,,,,,
of the voting securities],,,,,,,,
,,,,,,,,
,,,,,,,,
,,U.S. parents,,,,Majority-owned foreign affiliates,,
,,,,,,,,
,,,,,,,,
,,,Capital expenditures (million dollars),,,Capital expenditures (million dollars),Value added (million dollars),
Industry \1,,Total assets (million dollars),,Value added (million dollars),,,,
,2002 NAICS code,,,,"Employment (1,000)",,,"Employment (1,000)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
All industries,(X),17196187.0,377182.0,2321092.0,21472.0,130140.0,911490.0,9101.3
Mining,21,265859.0,20539.0,60080.0,186.8,38354.0,116464.0,171.9
Oil and gas extraction,211,152457.0,14653.0,37445.0,29.7,33936.0,101425.0,54.0
Other,"212,213",113402.0,5886.0,22636.0,157.1,4419.0,15039.0,117.9
Utilities,22,591482.0,24196.0,83195.0,256.0,2650.0,11700.0,55.6
Manufacturing,31-33,4983958.0,159138.0,1005149.0,7591.1,51602.0,427690.0,4449.7
Food,311,279439.0,6775.0,63164.0,644.8,3296.0,25454.0,379.3
Beverages and tobacco products,312,216943.0,3900.0,53326.0,234.7,1957.0,41468.0,231.8
"Textiles, apparel, and leather products",313-316,26123.0,832.0,10710.0,153.7,299.0,3455.0,127.9
Wood products,321,35460.0,825.0,9214.0,74.3,266.0,2905.0,20.0
Paper,322,102592.0,2903.0,31053.0,234.5,1462.0,10475.0,121.2
Printing and related support activities,323,21208.0,812.0,11442.0,129.5,122.0,1487.0,34.7
Petroleum and coal products,324,538286.0,16087.0,137860.0,218.9,3214.0,68032.0,38.6
Chemicals,325,847330.0,20267.0,179117.0,893.3,8332.0,86014.0,572.5
Basic chemicals,3251,103489.0,3319.0,23506.0,114.2,2014.0,13052.0,75.6
"Resins and synthetic rubber, fibers, and filaments",3252,89042.0,2742.0,21627.0,97.1,1114.0,8899.0,49.4
Pharmaceuticals and medicines,3254,475980.0,11090.0,88754.0,411.0,3162.0,39183.0,213.1
"Soap, cleaning compounds, and toilet preparations",3256,95083.0,1483.0,23851.0,114.3,1008.0,12191.0,131.3
Other,"3253,3255,3259",83737.0,1633.0,21379.0,156.7,1034.0,12689.0,103.1
Plastics and rubber products,326,75090.0,2475.0,24514.0,269.2,1386.0,11603.0,179.0
Nonmetallic mineral products,327,59973.0,1744.0,18766.0,136.7,1949.0,6857.0,78.1
Primary and fabricated metals,"331,332",162427.0,5247.0,56631.0,544.9,2842.0,16000.0,225.8
Primary metals,331,110243.0,4027.0,35141.0,304.9,1950.0,7592.0,94.0
Fabricated metal products,332,52184.0,1220.0,21490.0,240.1,892.0,8408.0,131.7
Machinery,333,243576.0,5927.0,53293.0,592.4,1744.0,24723.0,362.5
"Agriculture, construction, and mining machinery",3331,126209.0,2491.0,16188.0,147.2,407.0,5863.0,77.2
Industrial machinery,3332,31772.0,935.0,7972.0,99.1,107.0,2254.0,28.0
Other,"3333-3336,3339",85595.0,2501.0,29133.0,346.1,1229.0,16607.0,257.3
Computers and electronic products,334,505557.0,14957.0,105889.0,841.7,8206.0,40321.0,639.5
Computers and peripheral equipment,3341,111471.0,2068.0,13107.0,167.0,1030.0,10592.0,126.3
Communications equipment,3342,125634.0,3060.0,25421.0,165.0,679.0,8205.0,122.2
Audio and video equipment,3343,10474.0,241.0,2150.0,25.4,252.0,1206.0,31.8
Semiconductors and other electronic components,3344,177430.0,8296.0,40395.0,243.4,5888.0,14346.0,282.6
"Navigational, measuring, and other instruments",3345,78799.0,1263.0,24439.0,236.7,261.0,5151.0,65.4
Magnetic and optical media,3346,1748.0,30.0,378.0,4.0,96.0,821.0,11.2
"Electrical equipment, appliances, and components",335,71638.0,1894.0,23198.0,257.7,1302.0,10754.0,240.1
Transportation equipment,336,1641545.0,70804.0,182729.0,1892.0,12767.0,57947.0,957.4
"Motor vehicles, bodies and trailers, and parts",3361-3363,1010785.0,56515.0,70769.0,971.4,12532.0,53953.0,908.1
Other,"3364-3366,3369",630759.0,14290.0,111960.0,920.6,235.0,3994.0,49.3
Furniture and related products,337,21993.0,446.0,9315.0,124.9,126.0,1494.0,32.2
Miscellaneous manufacturing,339,134779.0,3241.0,34928.0,348.0,2332.0,18701.0,209.2
Wholesale trade,42,663791.0,21141.0,128124.0,1013.6,6621.0,132580.0,715.7
Professional and commercial equipment and supplies,4234,53667.0,1064.0,14730.0,124.4,2008.0,31112.0,260.8
Petroleum and petroleum products,4247,138915.0,(D),32242.0,50.2,576.0,32441.0,19.3
Drugs and druggists' sundries,4242,50470.0,(D),7036.0,106.5,941.0,18299.0,105.2
Other,"4231-4233,4235-4239,4241,4243-4246,4248,4249",420739.0,12238.0,74116.0,732.6,3096.0,50728.0,330.4
Information,51,1394565.0,57077.0,280647.0,1857.7,3889.0,37431.0,316.7
Publishing industries,511,192295.0,2816.0,48699.0,360.1,694.0,14270.0,94.5
Motion picture and sound recording industries,512,29286.0,267.0,3492.0,41.9,66.0,2890.0,17.7
Broadcasting (except Internet) and telecommunications,"515,517",1072878.0,50503.0,196188.0,1167.6,2311.0,8481.0,71.1
Broadcasting (except internet),515,342367.0,4130.0,45643.0,278.1,562.0,860.0,11.9
Telecommunications,517,730511.0,46372.0,150545.0,889.5,1749.0,7621.0,59.2
"Internet, data processing, and other information services","516,518,519",100105.0,3491.0,32268.0,288.1,818.0,11791.0,133.4
Finance (except depository institutions) and insurance,"52 exc. 521, 522",7651289.0,22271.0,161002.0,1105.2,7540.0,33885.0,276.1
"Finance, except depository institutions","523,525",3613012.0,10948.0,57973.0,376.9,6700.0,11016.0,137.2
"Securities, commodity contracts, and other intermediation and related activities",5231,3360023.0,3101.0,43630.0,289.6,595.0,7673.0,59.4
"Other finance, except depository institutions","5232,5239,525",252989.0,7848.0,14343.0,87.2,6105.0,3343.0,77.7
Insurance carriers and related activities,524,4038277.0,11323.0,103029.0,728.4,840.0,22869.0,138.9
"Professional, scientific, and technical services",54,329153.0,7519.0,122453.0,1065.7,3121.0,54806.0,561.1
"Architectural, engineering, and related services",5413,22029.0,679.0,15004.0,172.0,162.0,3364.0,41.5
Computer systems design and related services,5415,152530.0,3913.0,43880.0,352.0,1780.0,31326.0,291.9
"Management, scientific, and technical consulting",5416,22078.0,516.0,9075.0,70.2,323.0,7146.0,54.6
Advertising and related services,5418,49500.0,701.0,10121.0,84.7,274.0,5302.0,58.0
Other,"5411,5412,5414,5417,5419",83016.0,1710.0,44372.0,386.8,582.0,7669.0,115.0
Other industries,(X),1316090.0,65301.0,480443.0,8395.8,16363.0,96933.0,2554.5
"Agriculture, forestry, fishing, and hunting",11,6120.0,240.0,2499.0,50.3,134.0,1034.0,52.1
Construction,23,42309.0,536.0,12410.0,132.1,136.0,2950.0,36.9
Retail trade,44-45,424952.0,23941.0,212096.0,4032.6,6416.0,43148.0,827.9
Transportation and warehousing,48-49,300501.0,15688.0,95033.0,914.0,1674.0,13604.0,190.0
Real estate and rental and leasing,53,134642.0,12197.0,26268.0,244.3,4875.0,14479.0,65.9
Real estate,531,49343.0,3342.0,7247.0,35.5,2096.0,3444.0,11.5
Rental and leasing (except real estate),532,85299.0,8854.0,19021.0,208.8,2780.0,11035.0,54.4
Management of nonbank companies and enterprises,55,131531.0,132.0,5895.0,13.1,222.0,-14551.0,19.8
"Administration, support, and waste management",56,92954.0,2815.0,49593.0,1157.7,554.0,20031.0,648.8
Health care and social assistance,62,36798.0,2171.0,23479.0,312.5,87.0,567.0,7.8
Accommodation and food services,72,89926.0,4754.0,36543.0,1178.8,1864.0,11665.0,611.9
Accommodation,721,41852.0,1849.0,9833.0,251.2,713.0,3060.0,52.1
Food services and drinking places,722,48074.0,2905.0,26710.0,927.6,1151.0,8605.0,559.8
Miscellaneous services,81,56356.0,2826.0,16626.0,360.3,402.0,4008.0,93.4
,,,,,,,,
SYMBOLS,,,,,,,,
D Data withheld to avoid disclosure.,,,,,,,,
X Not applicable.,,,,,,,,
"Size ranges are given in employment cells that are suppressed.  The size ranges are: A--1 to 499; F--500 to 999; G--1,000 to 2,499;",,,,,,,,
"H--2,500 to 4,999; I--5,000 to 9,999; J--10,000 to 24,999; K--25,000 to 49,999; L--50,000 to 99,999; M--100,000 or more.",,,,,,,,
FOOTNOTE,,,,,,,,
\1 Represents North American Industry Classification System (2002)-based industry of,,,,,,,,
U.S. parent or industry of foreign affiliate.,,,,,,,,
,,,,,,,,
,,,,,,,,
"Source: U.S. Bureau of Economic Analysis,",,,,,,,,
"Survey of Current Business, November 2007 and unpublished data.",,,,,,,,
