Table 1066. Domestic Motor Fuel Consumption by Type of Vehicle,,,,,,,,,,,,
,,,,,,,,,,,,
See notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Annual fuel consumption (billion gallons),,,,,Average miles per gallon,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Year,,Annual,,,"Vans,",,,,,,"Vans,",
,All,percent,,,"pickups,",,All,,,,"pickups,",
,vehicles \1,change \2,Cars \1,Buses \3,SUVs \4,Trucks \5,vehicles \1,Cars \1,Motorcycles,Buses \3,SUVs \4,Trucks \5
,,,,,,,,,,,,
1970,92.3,4.8,67.8,0.8,12.3,11.3,12.02,13.52,(NA),5.54,10.0,5.5
1975,109.0,2.5,74.3,1.1,19.1,14.6,12.18,14.0,(NA),5.75,10.5,5.6
1980,115.0,-5.9,70.2,1.0,23.8,20.0,13.29,16.0,(NA),5.95,12.2,5.4
1981,114.5,-0.43478260869564966,69.3,1.1,23.7,20.4,13.57,16.5,(NA),5.92,12.5,5.3
1982,113.4,-0.9606986899563297,69.3,1.0,22.7,20.4,14.07,16.9,(NA),5.93,13.5,5.5
1983,116.1,2.3809523809523725,70.5,0.9,23.9,20.8,14.24,17.1,(NA),5.92,13.7,5.6
1984,118.7,2.239448751076667,70.8,0.8,25.6,21.4,14.49,17.4,(NA),5.7,14.0,5.7
1985,121.3,2.1903959561920816,71.7,0.8,27.4,21.4,14.62,17.5,(NA),5.4,14.3,5.8
1986,125.2,3.215169002473206,73.4,0.9,29.1,21.9,14.66,17.4,(NA),5.3,14.6,5.8
1987,127.5,1.8370607028753927,73.5,0.9,30.6,22.5,15.07,18.0,(NA),5.8,14.9,5.9
1988,130.1,2.039215686274498,73.5,0.9,32.7,22.9,15.58,18.8,(NA),5.8,15.4,6.0
1989,131.9,1.3835511145273038,74.1,0.9,33.3,23.5,15.9,18.0,(NA),5.96,16.1,6.1
1990,130.8,-0.83396512509476,69.8,0.9,35.6,24.5,16.4,20.3,(NA),6.39,16.1,6.0
1991,128.6,-1.6819571865443583,64.5,0.9,38.2,25.0,16.9,21.2,(NA),6.65,17.0,6.0
1992,132.9,3.3437013996889586,65.6,0.9,40.9,25.5,16.91,21.0,(NA),6.57,17.3,6.0
1993,137.3,3.3107599699021772,67.2,0.9,42.9,26.2,16.74,20.6,(NA),6.6,17.4,6.1
1994,140.8,2.549162418062645,68.1,1.0,44.1,27.7,16.7,20.8,(NA),6.6,17.3,6.1
1995,143.8,2.130681818181812,68.1,1.0,45.6,29.0,16.8,21.1,50.0,6.6,17.3,6.1
1996,147.4,2.5034770514603677,69.2,1.0,47.4,29.6,16.9,21.2,50.0,6.6,17.2,6.2
1997,150.4,2.0352781546811416,69.9,1.0,49.4,29.9,17.0,21.5,50.0,6.7,17.2,6.4
1998,155.4,3.32446808510638,71.7,1.1,50.5,32.0,16.9,21.6,50.0,6.7,17.2,6.1
1999,161.4,3.8610038610038533,73.2,1.1,52.8,33.9,16.7,21.4,50.0,6.7,17.0,6.0
2000,162.5,0.6815365551424923,73.1,1.1,52.9,35.2,16.9,21.9,50.0,6.8,17.4,5.8
2001.0,163.5,0.6153846153846176,73.6,1.0,53.5,35.2,17.1,22.1,50.0,6.9,17.6,5.9
2002.0,168.7,3.1804281345565677,75.5,1.0,55.2,36.8,16.9,22.0,50.0,6.8,17.5,5.8
2003.0,170.0,0.7705986959098965,75.5,1.0,60.7,32.7,17.0,22.2,50.0,7.0,16.2,6.7
2004.0,173.5,2.0588235294117574,75.4,1.3,63.4,33.1,17.1,22.5,50.0,5.0,16.2,6.7
2005.0,174.8,0.7492795389049123,77.4,1.1,58.9,37.2,17.2,22.1,50.0,6.2,17.7,6.0
2006.0,175.022559,0.12732208237986598,75.00895,1.148409,60.685249,37.958922,17.2,22.5,,5.9,17.8,5.9
2007.0,176.106247,0.6191704693336186,74.354839,1.143663,61.815512,38.550063,17.2,22.5,,6.1,18.0,5.9
,,,,,,,,,,,,
"Source: U.S. Federal Highway Administration, Highway",,,,,,,,,,,,
"Statistics, annual.",,,,,,,,,,,,
