Table 1005. U.S. Aircraft Shipments,,,,,,,,,,,,
,,,,,,,,,,,,
See notes.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Total,,Civil,,,,,,,,Military,
,,,,,,,,,,,,
,Units (number),Value (million dollars),Total,,Large transports,,General aviation \1,,Rotocraft,,Units (number),Value (million dollars)
,,,,,,,,,,,,
,,,Units (number),Value (million dollars),Units (number),Value (million dollars),Units (number),Value (million dollars),Units (number),Value (million dollars),,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1970,11805.0,7377.0,8085.0,3544.0,311.0,3158.0,7292.0,337.0,482.0,49.0,3720.0,3833.0
1971,11056.0,6607.0,8142.0,2985.0,223.0,2594.0,7466.0,322.0,453.0,69.0,2914.0,3622.0
1972,13100.0,6092.9,10570.0,3290.0,227.0,2660.0,9774.0,558.0,569.0,72.0,2530.0,2802.9
1973,16529.0,7427.5,14708.0,4544.0,294.0,3603.0,13646.0,828.0,768.0,113.0,1821.0,2883.5
1974,16820.0,8242.4,15307.0,5056.0,332.0,3993.0,14166.0,909.0,809.0,154.0,1513.0,3186.4
1975,16988.0,9094.6,15209.0,5078.0,315.0,3779.0,14056.0,1033.0,838.0,266.0,1779.0,4016.6
1976,17812.0,9298.5,16494.0,4628.0,222.0,3078.0,15451.0,1226.0,821.0,324.0,1318.0,4670.5
1977,19041.0,8967.6,17907.0,4388.0,155.0,2649.0,16904.0,1488.0,848.0,251.0,1134.0,4579.6
1978,19952.0,10136.2,18956.0,6417.0,241.0,4308.0,17811.0,1781.0,904.0,328.0,996.0,3719.2
1979,19280.0,15027.7,18443.0,10598.0,376.0,8030.0,17048.0,2165.0,1019.0,403.0,837.0,4429.7
1980,14677.0,18929.1,13630.0,13037.0,387.0,9895.0,11877.0,2486.0,1366.0,656.0,1047.0,5892.1
1981,11978.0,20092.6,10916.0,13223.0,387.0,9706.0,9457.0,2920.0,1072.0,597.0,1062.0,6869.6
1982,6244.0,18445.5,5085.0,8611.0,232.0,6246.0,4266.0,2000.0,587.0,365.0,1159.0,9834.5
1983,4409.0,21768.5,3356.0,9773.0,262.0,8000.0,2691.0,1470.0,403.0,303.0,1053.0,11995.5
1984,3928.0,21787.1,2992.0,7700.0,185.0,5689.0,2431.0,1681.0,376.0,330.0,936.0,14087.1
1985,3610.0,27269.0,2691.0,10385.0,278.0,8448.0,2029.0,1431.0,384.0,506.0,919.0,16884.0
1986,3262.0,29586.5,2155.0,11859.0,330.0,10309.0,1495.0,1262.0,330.0,288.0,1107.0,17727.5
1987,3010.0,29009.812,1800.0,12147.512,357.0,10507.0,1085.0,1363.512,358.0,277.0,1210.0,16862.3
1988,3323.0,30904.362,2018.0,15859.962,423.0,13603.0,1212.0,1922.962,383.0,334.0,1305.0,15044.4
1989,3709.0,31961.826,2448.0,17128.926,398.0,15074.0,1535.0,1803.926,515.0,251.0,1261.0,14832.9
1990,3321.0,64567.0,2268.0,24476.0,521.0,22215.0,1144.0,2007.0,603.0,254.0,1053.0,40091.0
1991,3092.0,67510.0,2181.0,29035.0,589.0,26856.0,1021.0,1968.0,571.0,211.0,913.0,38475.0
1992,2585.0,64740.0,1832.0,30732.0,567.0,28750.0,941.0,1840.0,324.0,142.0,753.0,34008.0
1993,2585.0,59103.0,1630.0,26390.0,408.0,24133.0,964.0,2144.0,258.0,113.0,954.0,32713.0
1994,2309.0,52718.0,1545.0,20666.0,309.0,18124.0,928.0,2357.0,308.0,185.0,766.0,32052.0
1995,2436.0,49381.0,1625.0,18299.0,256.0,15263.0,1077.0,2842.0,292.0,194.0,816.0,31082.0
1996,2220.0,55582.5,1662.0,22155.5,269.0,18915.0,1115.0,3047.5,278.0,193.0,558.0,33427.0
1997,2757.0,65128.9,2269.0,31752.9,374.0,26929.0,1549.0,4592.9,346.0,231.0,511.0,33376.0
1998,3533.0,75723.7,3115.0,41448.7,559.0,35663.0,2193.0,5533.7,363.0,252.0,419.0,34275.0
1999,3799.0,80973.6,3440.0,45173.6,620.0,38171.0,2475.0,6802.6,345.0,200.0,357.0,35800.0
2000,4113.0,72668.9,3780.0,38636.9,485.0,30327.0,2802.0,8039.9,493.0,270.0,333.0,34032.0
2001,3902.0,77608.0,3557.0,42393.0,526.0,34155.0,2616.0,7991.0,415.0,247.0,347.0,35215.0
2002,3251.0,73112.0,2893.0,34965.0,379.0,27547.0,2196.0,7261.0,318.0,157.0,359.0,38147.0
2003,3221.0,68006.0,2878.0,27604.0,281.0,21033.0,2080.0,6205.0,517.0,366.0,383.0,40402.0
2004,3804.0,74525.657502,3384.0,27916.657502000002,283.0,20484.0,2296.0,6917.657502,805.0,515.0,418.0,46609.0
2005,4649.0,81515.0,4090.0,31563.0,290.0,22116.0,2853.0,8632.0,947.0,815.0,587.0,49952.0
2006,5126.0,86014.0,4430.0,36227.0,398.0,25875.0,3134.0,9550.0,898.0,802.0,996.0,49757.0
2007.0,5378.0,101419.0,4729.0,42486.0,441.0,29160.0,3279.0,11941.0,1009.0,1385.0,915.0,54200.0
2008.0,5087.0,93478.0,4567.0,39578.0,373.0,24700.0,3079.0,13348.0,1115.0,1530.0,520.0,53900.0
,,,,,,,,,,,,
"Source: U.S. Department of Commerce, International Trade Administration,",,,,,,,,,,,,
"""Shipments of Complete U.S. Aircraft, 1971 - 2008.""",,,,,,,,,,,,
