Table 936. Characteristics of New Privately Owned One-Family Houses Completed,,,,,,
,,,,,,
See Notes,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Characteristic,1990.0,2000.0,2005.0,2006.0,2007.0,2008.0
,,,,,,
,,,,,,
"Total houses (1,000)",966.0,1242.0,1636.0,1654.0,1218.0,819.0
PERCENT DISTRIBUTIION,,,,,,
Construction type,100.0,100.0,100.0,100.0,100.0,100.0
Site built,(NA),94.0,96.0,95.0,96.0,95.0
Modular,(NA),3.0,3.0,2.0,3.0,3.0
Other,(NA),3.0,2.0,2.0,2.0,2.0
,,,,,,
Exterior wall material,100.0,100.0,100.0,100.0,100.0,100.0
Brick,18.0,20.0,20.0,21.0,23.0,24.0
Wood,39.0,14.0,7.0,8.0,8.0,9.0
Stucco,18.0,17.0,22.0,22.0,23.0,21.0
Vinyl siding \1,(NA),39.0,34.0,30.0,30.0,31.0
Aluminum siding,5.0,1.0,1.0,(Z),(Z),(NA)
Other \1,20.0,7.0,16.0,18.0,16.0,12.0
,,,,,,2.0
Floor area,100.0,100.0,100.0,100.0,100.0,100.0
"Under 1,200 square feet",11.0,6.0,4.0,4.0,4.0,13.0
"1,200 to 1,599 square feet",22.0,18.0,16.0,14.0,14.0,18.0
"1,600 to 1,999 square feet",22.0,23.0,20.0,20.0,20.0,26.0
"2,000 to 2,399 square feet",17.0,18.0,18.0,17.0,17.0,17.0
"2,400 square feet and over",29.0,35.0,42.0,44.0,45.0,25.0
Average (square feet),2080.0,2266.0,2434.0,2469.0,2521.0,2534.0
Median (square feet),1905.0,2057.0,2227.0,2248.0,2277.0,2219.0
,,,,,,
Number of stories,100.0,100.0,100.0,100.0,100.0,100.0
1,46.0,47.0,44.0,43.0,43.0,44.0
2 or more,49.0,52.0,55.0,57.0,56.0,56.0
Split level,4.0,1.0,(Z),(Z),(Z),(Z)
,,,,,,
Foundation,100.0,100.0,100.0,100.0,100.0,100.0
Full or partial basement,38.0,37.0,31.0,29.0,28.0,29.0
Slab,40.0,46.0,53.0,56.0,54.0,51.0
Crawl space,21.0,17.0,16.0,15.0,19.0,19.0
,,,,,,
Bedrooms,100.0,100.0,100.0,100.0,100.0,100.0
2 or less,15.0,11.0,12.0,12.0,12.0,14.0
3,57.0,54.0,49.0,49.0,50.0,50.0
4 or more,29.0,35.0,39.0,39.0,38.0,36.0
,,,,,,
Bathrooms,100.0,100.0,100.0,100.0,100.0,100.0
1 or less,(NA),(NA),(NA),(NA),(NA),
1 1/2 or less,13.0,7.0,4.0,5.0,5.0,7.0
2,42.0,39.0,36.0,36.0,36.0,35.0
2 1/2 or more,45.0,54.0,59.0,59.0,59.0,59.0
,,,,,,
Heating fuel,100.0,100.0,100.0,100.0,100.0,100.0
Gas,59.0,70.0,66.0,62.0,60.0,59.0
Electricity,33.0,27.0,31.0,35.0,38.0,38.0
Oil,5.0,3.0,2.0,1.0,1.0,1.0
Other,3.0,1.0,1.0,1.0,1.0,2.0
,,,,,,
Heating system,100.0,100.0,100.0,100.0,100.0,100.0
Warm air furnace,65.0,71.0,67.0,63.0,62.0,60.0
Electric heat pump,23.0,23.0,29.0,33.0,34.0,34.0
Other,12.0,6.0,4.0,5.0,4.0,6.0
,,,,,,
Central air-conditioning,100.0,100.0,100.0,100.0,100.0,100.0
With,76.0,85.0,89.0,89.0,90.0,89.0
Without,24.0,15.0,11.0,11.0,10.0,11.0
,,,,,,
Fireplaces,100.0,100.0,100.0,100.0,100.0,100.0
No fireplace,34.0,40.0,45.0,47.0,48.0,48.0
1 or more,66.0,60.0,55.0,53.0,51.0,53.0
,,,,,,
Parking facilities,100.0,100.0,100.0,100.0,100.0,100.0
Garage,82.0,89.0,91.0,91.0,89.0,87.0
Carport,2.0,1.0,1.0,1.0,1.0,1.0
No garage or carport,16.0,11.0,8.0,9.0,9.0,12.0
,,,,,,
,,,,,,
"Source: U.S. Census Bureau,",,,,,,
"""Characteristics of New Housing.""",,,,,,
