Table 800. Farms--Number and Acreage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Unit,1975,1976,1977,1978-Census,1979,1980,1981,1982-Census,1983,1984,1985,1986,1987-Census,1988,1989,1990,1991,1992-Census,1993,1994,1995,1996,1997-Census,1998,1999,2000,2001,2002-Census,2003,2004,2005.0,2006.0,2007-Census,2008.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of farms,"1,000",2521.0,2497.0,2456.0,2436.0,2437.0,2440.0,2440.0,2407.0,2379.0,2334.0,2293.0,2250.0,2213.0,2201.0,2174.52,2145.82,2116.76,2107.84,2201.59,2197.69,2196.4,2190.5,2190.51,2192.33,2187.28,2166.78,2148.63,2135.36,2126.86,2112.97,2098.69,2088.79,2204.95,2200.0
Land in farms,Million acres,1059.0,1054.0,1048.0,1045.0,1042.0,1039.0,1034.0,1028.0,1023.0,1018.0,1012.073,1005.333,998.923,994.423,990.723,986.85,981.736,978.503,968.845,965.935,962.515,958.675,956.01,952.08,948.46,945.08,942.07,940.3,936.75,932.26,927.94,925.79,921.46,919.9
Average per farm,Acres,420.0,422.0,427.0,429.0,428.0,426.0,424.0,427.0,430.0,436.0,441.0,447.0,451.0,452.0,456.0,460.0,464.0,464.0,440.0,440.0,438.0,438.0,436.0,434.0,434.0,436.0,438.0,440.0,440.0,441.0,442.0,443.0,418.0,418.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Department of Agriculture, National Agricultural Statistics Service,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farms and Land in Farms, 1969-75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Statistical Bulletin No. 594); Farm Numbers, 1975-80;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farms and Land in Farms, Final Estimates by States, 1979-1987;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farms and Land in Farms, Final Estimates, 1988-1992; and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farms and Land in Farms, Final Estimates, 1993-1997;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Numbers and Land in Farms, Final Estimates, 1998-2002;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farms and Land in Farms, Final Estimates, 2003-2007;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farms, Land in Farms, and Livestock Operations, annual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
