Table 1353. Key Global Telecom Indicators for the World Telecommunication Service Sector,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Indicators,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
,,,,,,,,,,,,,,,,,,
Telecom market total revenue (billion dollars),523.0,580.0,605.0,675.0,779.0,885.0,946.0,1015.0,1123.0,1210.0,1232.0,1314.0,1426.0,(NA),(NA),(NA),(NA),(NA)
Services,403.0,448.0,470.0,517.0,596.0,672.0,712.0,767.0,854.0,920.0,968.0,1039.0,1126.0,1329.0,1419.0,(NA),(NA),(NA)
Equipment,120.0,132.0,135.0,158.0,183.0,213.0,234.0,248.0,269.0,290.0,264.0,275.0,300.0,(NA),(NA),(NA),(NA),(NA)
Telecom telephone services revenue \1 (billion dollars),331.0,350.0,359.0,386.0,428.0,444.0,437.0,456.0,476.0,477.0,479.0,478.0,475.0,552.0,(NA),(NA),(NA),(NA)
Other Services (billion dollars):,,,,,,,,,,,,,,,,,,
International \2,37.0,43.0,46.0,47.0,53.0,53.0,54.0,56.0,58.0,60.0,56.0,52.0,48.0,32.0,(NA),(NA),(NA),(NA)
Mobile,19.0,26.0,35.0,50.0,78.0,114.0,142.0,172.0,223.0,278.0,317.0,364.0,414.0,506.0,579.0,636.0,(NA),(NA)
Other \3,53.0,72.0,77.0,81.0,89.0,114.0,133.0,139.0,155.0,165.0,180.0,195.0,210.0,210.0,(NA),(NA),(NA),(NA)
Telecom services capital expenditure (billion dollars):,,,,,,,,,,,,,,,,,,
Total \4,124.0,130.0,135.0,138.0,161.0,174.0,177.0,177.0,186.0,198.0,201.0,205.0,215.0,201.0,218.0,204.0,(NA),(NA)
Other statistics:,,,,,,,,,,,,,,,,,,
Main telephone lines (millions) \5,546.0,572.0,604.0,643.0,689.0,738.0,792.0,838.0,904.0,975.0,1034.0,1083.0,1135.0,1204.0,1262.0,1263.0,1278.0,1267.0
Mobile cellular subscribers (millions),16.0,23.0,34.0,56.0,91.0,145.0,215.0,318.0,490.0,738.0,961.0,1157.0,1417.0,1763.0,2219.0,2757.0,3305.0,4100.0
International telephone traffic minutes \6 (billions),38.0,43.0,49.0,57.0,63.0,71.0,81.0,91.0,103.0,114.0,120.0,127.0,141.0,166.0,179.0,183.0,(NA),(NA)
Personal computers (millions),130.0,155.0,175.0,200.0,235.0,275.0,325.0,375.0,435.0,500.0,555.0,615.0,650.0,775.0,808.0,(NA),(NA),(NA)
Internet users (millions),4.4,7.0,10.0,21.0,40.0,74.0,117.0,183.0,275.0,390.0,489.0,616.0,721.0,867.0,989.0,1168.0,1344.0,1542.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: International Telecommunication Union, Geneva Switzerland, 2008. Reproduced with the kind",,,,,,,,,,,,,,,,,,
permission of ITU.,,,,,,,,,,,,,,,,,,
