Table 62. Households by Age of Householder and Size of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of householder and size of household,Unit,1970.0,1975.0,1980.0,1985.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Total \1,White \2,Black \2,Asian \2,Hispanic \3,Non-Hispanic White \3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Million,63.4,71.1,80.8,86.8,93.3,94.3,95.7,96.4,97.1,98.99,99.627,101.018,102.528,103.9,104.7,108.2,109.3,111.3,112.0,113.343,114.4,116.0,116.8,95.1,14.5,4.5,13.3,82.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of householder:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 to 24 years old,Million,4.4,5.8,6.6,5.4,5.1,4.9,4.9,5.0,5.3,5.444,5.282,5.16,5.4350000000000005,5.9,5.9,6.4,6.4,6.6,6.6,6.734,6.8,6.7,6.5,5.0,1.1,0.2,1.2,3.9
25 to 29 years old,Million,6.1,7.8,9.3,9.6,9.4,9.2,8.8,8.6,8.5,8.4,8.354,8.647,8.463,8.5,8.5,8.5,8.4,8.5,8.7,9.173,9.2,9.7,9.4,7.4,1.3,0.4,1.6,5.9
30 to 34 years old,Million,5.6,7.1,9.3,10.4,11.0,11.1,11.2,11.1,11.2,11.052,10.871,10.667,10.57,10.3,10.1,10.5,10.6,10.5,10.4,10.141,9.9,9.8,9.8,7.5,1.4,0.6,1.8,5.9
35 to 44 years old,Million,11.8,11.9,14.0,17.5,20.6,21.3,21.8,21.7,22.3,22.914,23.227,23.823,23.942999999999998,24.0,24.0,24.0,24.0,24.1,23.2,23.248,23.0,22.8,22.4,17.7,3.1,1.1,3.4,14.5
45 to 54 years old,Million,12.2,12.9,12.7,12.6,14.5,14.8,15.5,16.6,16.8,17.59,18.007,18.843,19.547,20.2,20.9,22.0,22.2,22.6,23.1,23.392,23.7,24.1,24.5,19.9,3.2,0.9,2.5,17.6
55 to 64 years old,Million,10.8,11.3,12.5,13.1,12.5,12.5,12.6,12.4,12.2,12.224,12.401,12.469,13.072,13.6,13.6,14.3,15.2,16.3,16.8,17.503,18.3,19.3,19.9,16.6,2.3,0.6,1.5,15.2
65 to 74 years old,Million,7.7,8.9,10.1,10.9,11.7,12.0,12.0,11.8,11.6,11.803,11.908,11.679,11.272,11.4,11.3,11.5,11.5,11.4,11.5,11.528,11.7,11.9,12.2,10.4,1.3,0.3,0.8,9.6
75 years old and over,Million,4.8,5.4,6.4,7.3,8.4,8.5,8.9,9.1,9.2,9.562,9.578,9.729,10.225,10.2,10.4,11.0,11.0,11.3,11.6,11.623,11.8,11.8,11.8,10.5,0.9,0.2,0.6,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,Million,10.9,13.9,18.3,20.6,23.0,23.6,24.0,23.6,23.6,24.732,24.9,25.402,26.327,26.6,26.7,28.2,28.8,29.431,29.6,30.137,30.5,31.1,32.2,25.9,4.6,0.9,2.2,23.9
Male,Million,3.5,4.9,7.0,7.9,9.0,9.5,9.6,9.4,9.4,10.14,10.288,10.442,11.01,11.0,11.2,11.6,12.0,12.5,12.6,12.8,13.1,13.5,13.9,11.2,1.9,0.4,1.1,10.1
Female,Million,7.3,9.0,11.3,12.7,14.0,14.1,14.4,14.2,14.2,14.592,14.612,14.961,15.317,15.6,15.5,16.6,16.8,16.9,17.0,17.3,17.4,17.6,18.3,14.7,2.7,0.5,1.1,13.8
Two persons,Million,18.3,21.8,25.3,27.4,30.1,30.2,30.7,31.2,31.2,31.834,32.526,32.736,32.965,34.3,34.7,35.9,36.2,37.078,37.4,37.446,37.8,38.6,38.7,32.7,4.1,1.2,3.0,29.9
Three persons,Million,10.9,12.4,14.1,15.5,16.1,16.1,16.4,16.9,16.9,16.827,16.724,17.065,17.331,17.4,17.2,17.4,17.7,17.889,18.0,18.285,18.9,18.8,18.5,14.6,2.5,0.9,2.5,12.4
Four persons,Million,10.0,11.1,12.7,13.6,14.5,14.6,14.7,14.9,15.1,15.321,15.118,15.396,15.358,15.0,15.3,15.7,15.8,15.967,16.1,16.382,16.0,16.2,15.9,12.8,1.9,0.8,2.7,10.3
Five persons,Million,6.5,6.4,6.1,6.1,6.2,6.2,6.4,6.4,6.7,6.616,6.631,6.774,7.048,7.0,7.0,7.0,6.9,7.029,7.2,7.166,7.3,7.2,7.3,5.9,0.8,0.3,1.7,4.3
Six persons,Million,3.5,3.1,2.5,2.3,2.1,2.2,2.1,2.2,2.2,2.279,2.357,2.311,2.232,2.4,2.4,2.6,2.4,2.521,2.5,2.497,2.6,2.7,2.7,2.1,0.4,0.1,0.7,1.4
Seven persons or more,Million,3.2,2.5,1.8,1.3,1.3,1.5,1.3,1.2,1.4,1.382,1.372,1.334,1.267,1.3,1.4,1.4,1.4,1.364,1.4,1.43,1.4,1.4,1.5,1.0,0.2,0.1,0.4,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERCENT DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of householder:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 to 24 years old,Percent,6.8,8.2,8.1,6.3,5.5,5.2,5.1,5.0,5.458290422245108,5.49954540862713,5.0,5.1,5.300990948813983,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,8.0,4.0,9.0,4.0
25 to 29 years old,Percent,9.6,11.0,11.5,11.1,10.1,9.8,9.2,9.0,8.753861997940268,8.48570562683099,8.0,8.6,8.254330524344567,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,12.0,7.0
30 to 34 years old,Percent,8.8,10.0,11.5,12.0,11.8,11.7,11.7,12.0,11.53450051493306,11.1647641175876,11.0,10.6,10.309378901373282,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,13.0,13.0,7.0
35 to 44 years old,Percent,18.6,16.7,17.3,20.1,22.0,22.6,22.8,23.0,22.966014418125646,23.147792706334,23.0,23.6,23.35264513108614,23.0,23.0,22.0,22.0,22.0,21.0,20.0,20.0,20.0,19.0,18.0,21.0,24.0,25.0,17.0
45 to 54 years old,Percent,19.5,18.2,15.7,14.6,15.5,15.6,16.3,17.0,17.30175077239959,17.7694716638044,18.0,18.7,19.065035892634207,19.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,20.0,19.0,21.0
55 to 64 years old,Percent,17.1,15.9,15.5,15.1,13.4,13.3,13.1,13.0,12.564366632337794,12.349,12.0,12.3,12.749687890137325,13.0,13.0,13.0,14.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,16.0,13.0,11.0,18.0
65 to 74 years old,Percent,12.1,12.5,12.5,12.6,12.6,12.7,12.6,12.0,11.946446961894953,11.9234266087484,12.0,11.6,10.994069912609238,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,7.0,6.0,11.0
75 years old and over,Percent,7.6,7.6,7.9,8.4,9.0,9.0,9.3,9.0,9.474768280123584,9.65956157187595,10.0,9.6,9.972885455680398,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,6.0,4.0,4.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,Percent,17.1,19.6,22.7,23.7,24.6,25.0,25.1,24.0,24.304840370751805,24.9843418527124,25.0,25.1,25.677863607990016,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,32.0,20.0,16.0,29.0
