Table 565. Social Assistance--Nonemployer Establishments and Receipts,,,,,,,,,
,,,,,,,,,
See notes,,,,,,,,,
,,,,,,,,,
Kind of business,NAICS CODE,Establishments (number),,,,Receips (million dollars),,,
,,,,,,,,,
,,,,,,,,,
,,2000.0,2005.0,2006.0,2007.0,2000.0,2005.0,2006.0,2007.0
,,,,,,,,,
"Social assistance, total",624,642946.0,807729.0,822099.0,829550.0,7539.387,10264.678,10910.854,11539.0
Individual and family services,6241,72433.0,112909.0,121153.0,121633.0,1106.247,1920.488,2106.277,2242.0
Community/emergency and other relief services,6242,3560.0,5533.0,5740.0,5766.0,54.45,80.957,84.538,101.0
Vocational rehabilitation services,6243,7314.0,11022.0,11345.0,10862.0,150.722,245.022,252.857,260.0
Child day care services,6244,559639.0,678265.0,683861.0,691289.0,6227.968,8018.211,8467.182,8936.0
,,,,,,,,,
"Source: U.S. Census Bureau,",,,,,,,,,
"""Nonemployer Statistics;""",,,,,,,,,
published June 2009.,,,,,,,,,
