Table 613. Unemployment by Occupation and by Sex,,,,,,,,,,,,
,,,,,,,,,,,,
See notes,,,,,,,,,,,,
,,,,,,,,,,,,
Occupation,"Number (1,000)",,,,,Unemployment rate,,,,,,
,,,,,,,,,,,,
,2000.0,2005 \1,2006 \1,2007 \1,2008 \1,2000.0,2005 \1,2006 \1,2007 \1,2008 /1,,
,,,,,,,,,,,,
,,,,,,,,,,Total,Male,Female
,,,,,,,,,,,,
Total \2,5692.0,7591.0,7001.0,7078.0,8924.0,4.0,5.1,4.6,4.6,5.8,6.1,5.4
"Management, professional, and related occupations",827.0,1172.0,1065.0,1090.0,1463.0,1.8,2.3,2.1,2.1,2.7,2.6,2.8
"Management, business, and financial operations",320.0,464.0,427.0,429.0,619.0,1.6,2.2,2.0,1.9,2.7,2.6,2.9
Management,214.0,322.0,279.0,278.0,407.0,1.5,2.1,1.8,1.8,2.5,2.4,2.6
Business and financial operations,106.0,142.0,148.0,151.0,212.0,2.0,2.4,2.4,2.4,3.3,3.1,3.4
Professional and related occupations,507.0,708.0,638.0,662.0,844.0,1.9,2.4,2.1,2.1,2.7,2.6,2.7
Computer and mathematical,74.0,96.0,80.0,76.0,97.0,2.2,2.9,2.4,2.1,2.6,2.4,3.2
Architecture and engineering,51.0,60.0,49.0,47.0,95.0,1.7,2.1,1.7,1.6,3.1,3.0,3.7
"Life, physical, and social science",18.0,39.0,27.0,28.0,32.0,1.4,2.7,1.8,2.0,2.4,2.3,2.5
Community and social services,40.0,52.0,50.0,53.0,63.0,2.0,2.4,2.3,2.3,2.7,2.1,3.0
Legal,18.0,27.0,22.0,40.0,44.0,1.2,1.6,1.3,2.3,2.6,2.2,2.9
"Education, training, and library",136.0,210.0,196.0,198.0,247.0,1.8,2.5,2.4,2.3,2.8,2.6,2.9
"Arts, design, entertainment, sports, and media",97.0,135.0,115.0,127.0,156.0,3.5,4.7,4.0,4.4,5.3,5.4,5.1
Healthcare practitioner and technical,73.0,90.0,98.0,93.0,110.0,1.2,1.3,1.4,1.3,1.5,0.8,1.7
Service occupations,1132.0,1587.0,1485.0,1521.0,1769.0,5.2,6.4,5.9,5.9,6.7,7.2,6.4
Healthcare support,101.0,154.0,152.0,147.0,150.0,4.0,4.7,4.6,4.5,4.5,5.6,4.3
Protective service,70.0,121.0,105.0,118.0,109.0,2.7,4.0,3.4,3.7,3.5,3.1,4.6
Food preparation and serving-related,469.0,615.0,590.0,626.0,742.0,6.6,7.7,7.2,7.5,8.7,9.1,8.3
Building and grounds cleaning and maintenance,301.0,429.0,402.0,392.0,470.0,5.8,7.6,7.0,6.7,7.9,8.2,7.5
Personal care and service,190.0,268.0,235.0,238.0,298.0,4.4,5.6,4.7,4.8,5.7,6.5,5.5
Sales and office occupations,1446.0,1820.0,1667.0,1638.0,2006.0,3.8,4.8,4.4,4.3,5.3,5.2,5.5
Sales and related,673.0,874.0,812.0,835.0,980.0,4.1,5.0,4.7,4.8,5.7,4.7,6.7
Office and administrative support,773.0,946.0,856.0,804.0,1026.0,3.6,4.6,4.2,4.0,5.1,6.0,4.8
"Natural resources, construction, and maintenance",758.0,1069.0,1007.0,1052.0,1421.0,5.3,6.5,6.0,6.3,8.8,8.7,11.0
"Farming, fishing, and forestry",133.0,103.0,101.0,89.0,112.0,10.2,9.6,9.5,8.5,10.2,9.2,13.5
Construction and extraction,507.0,751.0,699.0,781.0,1067.0,6.2,7.6,6.8,7.6,11.0,10.9,13.4
"Installation, maintenance, and repair",119.0,214.0,207.0,182.0,243.0,2.4,3.9,3.7,3.4,4.5,4.5,5.4
"Production, transportation, and material moving occupations",1081.0,1245.0,1127.0,1128.0,1474.0,5.1,6.5,5.8,5.8,7.6,7.2,9.3
Production,575.0,677.0,544.0,564.0,746.0,4.8,6.7,5.5,5.7,7.7,7.0,9.4
Transportation and material moving,505.0,568.0,583.0,564.0,727.0,5.6,6.2,6.2,6.0,7.6,7.3,9.1
,,,,,,,,,,,,
"Source: U.S. Bureau of Labor Statistics,",,,,,,,,,,,,
"""Employment and Earnings Online,"" January 2009 issue.",,,,,,,,,,,,
