Characteristics of New Privately-Owned One-Family Houses Completed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"[Percent distribution, except total houses (793 represents 793,000). Data are",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
percent distribution of characteristics for all houses completed,,,,,,,,,,,,,,,,,,,,,,,,
"(includes new houses completed, houses built for sale completed,",,,,,,,,,,,,,,,,,,,,,,,,
"contractor-built and owner-built houses completed, and houses completed",,,,,,,,,,,,,,,,,,,,,,,,
"for rent). Data for 1970 cover contractor-built, owner-built, and houses",,,,,,,,,,,,,,,,,,,,,,,,
for rent for year construction started and houses sold for year of sale.,,,,,,,,,,,,,,,,,,,,,,,,
Percents exclude houses for which characteristics specified were not reported.,,,,,,,,,,,,,,,,,,,,,,,,
"For methodology, see",,,,,,,,,,,,,,,,,,,,,,,,
<http://www.census.gov/const/www/characteristicsdoc.html>,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,1970,1980,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Total houses (1,000)",793.0,957.0,1072.0,1120.0,1123.0,1085.0,1026.0,966.0,838.0,964.0,1039.0,1160.0,1066.0,1129.0,1116.0,1160.0,1270.0,1242.0,1256.0,1325.0,1386.0,1532.0,1636.0,1654.0
,,,,,,,,,,,,,,,,,,,,,,,,
Construction type,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Site built,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,96.0,95.0
Modular,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
Other,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,
