True Strain,True Stress,,
0,,,0.0
1.54999879865703E-6,0.15423058,,
2.26499743489267E-6,0.100087158,,
2.97999555990562E-6,0.161076441,,
3.75499295005484E-6,0.074655257,,
4.52998973958357E-6,0.118047871,,
5.24498624513368E-6,0.117006555,,
5.95998223924211E-6,0.123357892,,
6.73497731991377E-6,0.066481516,,
7.45097224154007E-6,0.153709099,,
8.22496617484581E-6,0.120728582,,
8.94096002942679E-6,0.190255374,,
9.7159528000817E-6,0.171617568,,
1.04309455974752E-5,0.046828426,,
1.12059372131814E-5,0.174376577,,
1.192092894547E-5,0.224328414,,
1.26359201663238E-5,0.079027675,,
1.34109100734177E-5,0.100945011,,
1.41259002289493E-5,0.080381125,,
1.48418898585117E-5,0.171382427,,
1.56758771328716E-5,0.13535659,,
1.6450864683812E-5,0.294218183,,
1.716585266581E-5,0.110836066,,
1.78808401368225E-5,0.288230836,,
1.8596827077893E-5,0.134575337,,
1.93718123651377E-5,0.302390724,,
2.0086798258919E-5,0.300360173,,
2.08017836414959E-5,0.366892606,,
2.1516768512647E-5,0.254547,,
2.22917515369843E-5,0.315144539,,
2.31267325750148E-5,0.332610369,,
2.38417157840872E-5,0.289218307,,
2.45566984817369E-5,0.36184144,,
2.53316791504065E-5,0.443470776,,
2.60466607827594E-5,0.323655099,,
2.67616419041359E-5,0.417700619,,
2.74776224866987E-5,0.388078451,,
2.82526008914909E-5,0.383679122,,
2.89675804356642E-5,0.383574724,,
2.9801555929244E-5,0.447763771,,
3.05175343352915E-5,0.3698304,,
3.12915104156529E-5,0.473792791,,
3.20074877549264E-5,0.317848563,,
3.27224646142163E-5,0.519213855,,
3.34374409625368E-5,0.355070561,,
3.42124147486139E-5,0.356241584,,
3.49273900316564E-5,0.408664972,,
3.56433647677281E-5,0.62668854,,
3.63583390276778E-5,0.286637723,,
3.72523061241319E-5,0.513250768,,
3.79672792337313E-5,0.463638127,,
3.86822518321445E-5,0.589282215,,
3.9398223879836E-5,0.446119577,,
4.01731930464782E-5,0.657947123,,
4.08881640677258E-5,0.458560973,,
4.16031345775682E-5,0.625695765,,
4.23181045764501E-5,0.661615908,,
4.30930714802789E-5,0.543337703,,
4.39280351497896E-5,0.6762954,,
4.46430034862179E-5,0.546512425,,
4.53579713116888E-5,0.774060547,,
4.6132935859726E-5,0.595785201,,
4.68479026199444E-5,0.746702671,,
4.75638688212842E-5,0.680067122,,
4.82788345582122E-5,0.721140802,,
4.90537968429102E-5,0.675224721,,
4.97687615145918E-5,0.620094299,,
5.04837256753214E-5,0.676421046,,
5.13186831739297E-5,0.733242273,,
5.20926431546511E-5,0.692141652,,
5.28086056009451E-5,0.788396955,,
5.35235675882992E-5,0.74831152,,
5.4238529064483E-5,0.770956278,,
5.5013486730436E-5,0.74169904,,
5.57284471411642E-5,0.701978028,,
5.64444069845868E-5,0.787404954,,
5.71593663722647E-5,0.776159823,,
5.79343217746966E-5,0.85906148,,
5.8768273111306E-5,0.728447437,,
5.94832308375165E-5,0.828736186,,
6.01991879924487E-5,0.913018048,,
6.0974141039381E-5,0.974445522,,
6.16890971884915E-5,0.861947775,,
6.24040528266621E-5,0.907419562,,
6.31190079534495E-5,0.97522372,,
6.38939587374406E-5,0.966451943,,
6.46089127992353E-5,1.030533552,,
6.54438585040009E-5,1.011922836,,
6.61588114574677E-5,0.945443869,,
6.69337598859872E-5,1.039094687,,
6.76487117742458E-5,0.974204719,,
6.83646630830695E-5,0.94827956,,
6.90796139485243E-5,1.135398865,,
6.98545601133546E-5,0.954160511,,
7.05695099136074E-5,1.129124641,,
7.12844592024853E-5,1.15744257,,
7.19994079804331E-5,1.180893421,,
7.28933432157483E-5,1.177535176,,
7.36092907696824E-5,1.193229675,,
7.43242378854973E-5,1.198486686,,
7.50391844899411E-5,1.223186374,,
7.58141260364406E-5,1.20725584,,
7.65290715759172E-5,1.128987908,,
7.72450165268661E-5,1.183802605,,
7.7959961043335E-5,1.209700108,,
7.87349003264076E-5,1.226748228,,
7.95688343163123E-5,1.245617747,,
8.02837771713829E-5,1.202019334,,
8.09997194341753E-5,1.341686964,,
8.17746563616243E-5,1.240747333,,
8.24895976396605E-5,1.222527027,,
8.3204538406334E-5,1.305321932,,
8.39194786620895E-5,1.288324475,,
8.46944133269134E-5,1.294935226,,
8.54093525174986E-5,1.342956662,,
8.61252911106858E-5,1.405683637,,
8.69592189375177E-5,1.436811686,,
8.7734151246746E-5,1.420699477,,
8.84490882641075E-5,1.29771471,,
8.91650246810346E-5,1.409817576,,
8.98799606754128E-5,1.428244352,,
9.06548907212681E-5,1.419862628,,
9.13698256502667E-5,1.493130565,,
9.20847600683556E-5,1.289069176,,
9.27996939750917E-5,1.57673049,,
9.36946105228931E-5,1.459863067,,
