col_0,col_1
1,Acanthus spinosus L. Acanto
2,Acer monspessulanum Acero minore
3,Adonnis annua
4,Alkanna tinctoria Arganetta azzurra
5,Allium pendolinum Ten. Aglio pendolino
6,Allium roseum Aglio roseo
7,Allium ursinum Aglio selvatico
8,Anacamptis collina Orchide a sacco
9,Anacamptis morio Orchide minore
10,Anacamptis piramidalis
11,Anagallis arvensis L. Centocchio dei campi
12,Anagallis foemina Centocchio azzurro
13,Anemone hortensis L.
14,Anemone ranunculoides Anemone giallo
15,Anthriscus nemorosus Cerfoglio meridionale
16,Anthriscus sylvestris L. Cerfoglio selvatico
17,Arabis collina
18,Arisarum vulgare Arisaro
19,Arum apulum
20,Arum italicum
21,Arum maculatum Gigaro
22,Asparagus acutifolius L. Asparago selvatico
23,Asphodeline liburnica
24,Asphodeline lutea Asfodelo giallo
25,Asphodelus albus Asfodelo montano
26,Asphodelus aestivus Asfodelo mediterraneo
27,Asphodelus fistolosus Asfodelo fistoloso
28,Asphodelus microcarpus
29,Asplenio tricomane
30,Astrius igrumetricus
31,Asyneuma limonifolium Campanula pugliese
32,Atrichum ondulatum
33,Barlia robertiana Orchidea di Robert
34,Bellardia trixago Perlina minore
35,Bellis silvestris
36,Berberis vulgaris L. Crespino
37,Biscutella levigata Biscutella montanina
38,Borrago officinalis Borragine
39,Brachypodium distachyon
40,Briza maxima Sonaglini maggiori
41,Buglossoides purpurocaerulea Erba-perla azzurra
42,Bunias eucargo Falsa rucola
43,Caardus marianus Cardo mariano
44,Caardus nutans Cardo rosso
45,Caardus pycnocephalus Cardo saettone
46,Calendula officinalis Calendula
47,Calycotome spinosa Ginestra spinosa
48,Campanula versicolor
49,Carlina vulgaris Carlina
50,Carpinus betulus Carpino bianco
51,Centaurea calcitrapa
52,Centaurea calcitrapa Fiordaliso stellato
53,Centaurium erythrae
54,Centaurium erythraea Centaurea minore
55,Ceratonia siliqua Carrubo
56,Cerinthe major Erba vajola
57,Chara sp.
58,Cladonia spp.
59,Clathrus ruben
60,Clematis flammula Flammula
61,Clematis vitalba Vitalba
62,Convoluus arvensis Villucchio
63,Convolvoulus cneorum Convolvolo
64,Convolvulus canthabrica L. Convolvolo
65,Cornus mas L. Corniolo
66,Crataegus monogyna Jacq. Biancospino
67,Crepis rubra Radicchiella rosea
68,Crocus longiflorus Croco
69,Crocus versicolor Croco
70,Crupina crupinastrum Crupina mediterranea
71,Cupressus sempervirens L. Cipresso
72,Cyclamen hederifolium Aiton ciclamino
73,Cymbalaria muralis Cimbalaria dei muretti
74,Cynoglossum cherifolium Cinoglosso
75,Cynoglossum creticum
76,Cynoglossum officinale Cinoglosso
77,Cystus albidus Cisto biancastro
78,Cystus salvifolius Cisto femmina
79,Cystus scoparius
80,Cytinus ruber Ipocisto rosso
81,Daucus carota Carota selvatica
82,Daphne gnidium Dafne
83,Delphinium haletratum Speronella
84,Dianthus armeria Garofano a mazzetti
85,Dictamus albus Dittamo
86,Dorycnium hirsutum Trifoglino irsuto
87,Dyplotaxis erucoides
88,Ecballium elaterium Cocomero asinino
89,Echinops ritro Cardo pallottola
90,Echium plantagineum Viperina piantaginea
91,Echium vulgare L. Viperina azzurra
92,Elocharis palustris
93,Enteromorpha sp.
94,Equisetum fluviatile Equiseto di fiume
95,Erodium malacoides
96,Ermodactilus tuberosus
97,Eucaliptus spp. Eucalipto
98,Euphorbia arborea
99,Euphorbia dendroides
100,Euphorbia helioscopa Euforbia calenzola
101,Euphorbia peplis Euforbia delle spiagge
102,Euphorbia pharalias Euforbia marittima
103,Euphorbia pithyusa
104,Euphorbia spinosa L. Euforbia spinosa
105,Euphorbia serrata
106,Euonymus europaeus Fusaggine o Berretta del Prete
107,Ferula communis L. Ferula
108,Fillirea angustifolia Fillirea
109,Fissidiens
110,Foenicum vulgare Finocchio selvatico
111,Fraxinus spp. Frassino
112,Fumaria capreolata Fumaria bianca
113,Fumaria officinalis
114,Geranium lucidum Geranio lucido
115,Geranium molle Geranio molle
116,Geranium purpureum Geranio purpureo
