filename,predicted_delimiter,predicted_quotechar,predicted_escapechar,prediction_time
00eb68dca3507abb10b30475ae44d2c5.csv,#,,,0.018413249
0136bed8213b8bf8986e37944510d4b9.csv,,,,0.0017554609999999994
01868c89cfa9a81cc9fe501ac868c4aa.csv,",",,,0.043186630999999996
029e9ffdb1a0e345399b4cd04a4005d7.csv,",","""",,0.12662453299999998
02eda5fac1b2365250a7d5024a92c881.csv,",",,,0.064813853
035279d24de791913452d22623e4c3b2.csv,,,,0.003101081
03da11fbc5a353701afbaefe588d5f55.csv,",","""",,1.8536287470000001
0476b562bb101c3c3c7cef585376cfe0.csv,",","""",,1.4212029210000001
083f6a62fdef287d2fdd0aa856bc714b.csv,",",,,3.466875085
093e73814c7135cd4c2f42ec7702b8ae.csv,",",,,0.027293024
09ee401f9f023c7446f0ff8cecb25e30.csv,",",,,0.047456654
0da5feb29bc9d079437cef08d6241fd7.csv,",",,,0.045300443
0ed8830ebf676c560d971329d093d7d4.csv,|,"""",,0.8432871719999999
1039d7820393577330f4dcb767e49a6f.csv,",",,,0.030110905
112d8e3b81bfc7f76d48270481853bc0.csv,,"""",,0.021773320999999998
11378df3f63284c3b39a1aeaf0ec8d81.csv,",","""",,61.47041625
12c817bee5fb4124b452652ee860f9bc.csv,",",,,0.7604268000000001
16b500398983f0b6b3b8c01dbeb899a5.csv, ,,,0.024081972
198be0ff10f38ba1a6858dde9c98568c.csv,,,,1.456224679
1b63a910a223365745be355e0686d79c.csv,",",,,8.317440669
1d162176afef7f53f8ce7343a29d20db.csv,",",,,1.369408815
1d3486ce2826879728db57eca3a5495f.csv,",",',,0.018418409
1d46699279e21ec4cc765cbcec605c18.csv,",","""",,0.13986888
1de3886f4f34ec760a8408a2858f946d.csv,",",,,0.054272657
1fd85c5cbbfe521feea3c2b7b58e6d41.csv,	,,,0.035171468
20130402_gpc_spend_jan13.csv,",","""",,1.402530232
2097e025f80f41f4953e89ac72e59532.csv, ,,,0.047075434
236e73f55784521765d5c600f2df1e95.csv,",",,,0.041132531
260bb419de6e5f7e49ae4d39d23bc432.csv,",",,,0.263628212
26e78bc8ec208c8c5972088f18138465.csv, ,,,0.011119265
27420fa4435b5989759789fbf55e24ee.csv,",","""",,10.850284687
2819f387be06ca50c81a4e9b63e49330.csv,",",,,0.050891395
285ee375035d3abaf71c7f456e293214.csv,",",,,0.026721833
2a86b8d79cf6bf212a22541dc178e58f.csv,",","""",,0.10410546200000001
2ad15181611197c8aa9ad390341df313.csv,,,,0.796732559
2b08101ea44f2785c63048536920b399.csv,",",,,0.023053582
2b5264ae92e4cf29d5566d251f9a1769.csv, ,,,0.022374071000000002
2c077334c4fd4edf3a22a2f91f6f8ea9.csv,#,"""",,0.033618367
2cb42139c8d25d09fa1878f3c8514a12.csv, ,,,0.027596634000000002
2cdacfc974ae76d41e145c6b8e583e36.csv,	,,,0.052978337
2d1944789758fb290a26415a473c48ec.csv, ,,,0.287219014
2d3df31ffa63319b056a1058fb6b05ce.csv,#,,,0.044921403
2d649130262081dce4d2eff6fb00aafe.csv,-,,,0.037014688
2d8ed05f6a0aa2180960701cef96f1c1.csv,",",,,0.104677942
2d957c8abed5c89773d13b8a008ded4c.csv,+,,,0.029154534000000003
2dbc6cd981dc330c086cd9378b06941d.csv,",",,,0.037949159
2edc540ecfc89b7374cc9b875e9ad184.csv,,,,0.004383461999999999
322976c672f54305acb216928b86467a.csv,,,,0.0027240620000000006
349115d44a4b2b57ec0e12d5de001c1f.csv, ,"""",,0.024913113
35669a48df214e8de6e9094a52064f9f.csv,",",,,0.04028342
3596f2c9276fbdc86f98133cb2ca2e83.csv,",",,,0.033957027
36031e57d35a46a92fb21b0c00ccab82.csv,	,,,22.829539589
366615a9d2581a513ea75306a16dc46e.csv,",",,,0.052085706
3799330063fa417b104303f003610ee9.csv,",","""",,0.37089188500000003
388f16c05c7322812c53e055cbc220c0.csv,",","""",,5.295951308999999
39c4b55fc94b706ea743735e1a9b145d.csv,",","""",,0.056252527999999996
39d5dd699d4ac000d8649256beafedad.csv,",",',,0.024936202
3a6302910c4fcb060a6be51c54010003.csv,[UNK],[UNK],[UNK],0.170032705
3c437d81692351e39b59738e67a1b444.csv,",",',,0.021303561
3c96cd0b5fb0c34b91f6afa9e816d97d.csv,",",,,0.029261815000000004
3cb8d88faecc36ea6a35098cdfe8dd1e.csv,",","""",\,0.28834521399999996
