Weight,,MALES  20 to 29 years,,30 to 39 years,,40 to 49 years,,50 to 59 years,,60 to 69 years,,70 to 79 years,80 years and older,FEMALES  20 to 29 years,30 to 39 years,,40 to 49 years,,50 to 59 years,,60 to 69 years,70 to 79 years,80 years and older
100 pounds,,(B),,(B),,0,,0,,(B),,(B),B,2.6,(B),,(B),,(B),,(B),(B),
110 pounds,,(B),,(B),,(B),,0,,(B),,(B),B,7.2,2.4,\1,1.9,\1,2.9,\1,3.3,4.9,
120 pounds,\1,1.5,,(B),,(B),,(B),,(B),,(B),3.4*,18.9,10.8,,8.9,,9.1,,7.1,12.4,
130 pounds,,4.5,\1,1.4,\1,1.5,,3.1,\1,2.2,,3.2,8.3,32.3,22.7,,15.6,,17.8,,15.1,22.2,
140 pounds,,10.1,,6,,3.1,,4.6,,4.6,,7.9,14.8,46.6,35.7,,26.5,,25.9,,24.5,34.3,
150 pounds,,16.5,,11.5,,6.2,,9,,8,,13.5,27.9,55,45.2,,39.7,,35.7,,34.8,47.3,
160 pounds,,28.2,,20.9,,12.3,,15.2,,13.3,,22,41.4,63.1,55.1,,49.6,,47,,46.1,59.7,
170 pounds,,39.6,,31,,20.1,,24.9,,22.7,,32,54.4,71.8,62.7,,58.1,,58.4,,57.4,69.5,
180 pounds,,52.4,,41.3,,30.3,,37,,30.9,,44.4,66.8,77.9,71.9,,65.4,,65.7,,66.6,79.8,
190 pounds,,62.8,,50.8,,42.3,,46.3,,43.2,,54.2,79.2,82.1,77.6,,70.4,,72,,74.8,86.9,
200 pounds,,70.4,,60.6,,52.5,,55.8,,52.6,,65.5,86.3,86.5,81,,77.2,,77.6,,80.1,88.7,
210 pounds,,76.5,,68.6,,63.3,,64.8,,64.8,,75.3,92.2,88.3,85.8,,82.1,,82,,85.1,92.5,
220 pounds,,80.8,,76.7,,72.3,,73.2,,73.5,,85.5,94.9,90.5,88.5,,84.5,,85.5,,88.8,94.8,
230 pounds,,84.9,,84.8,,77.7,,79.7,,80,,89.5,97.5,93.2,90.8,,88.5,,88.4,,91.7,96.7,
240 pounds,,88.6,,89.2,,83.9,,85.7,,86.2,,91.7,98.5,94.8,93.1,,90.7,,91.3,,93.4,97.9,
250 pounds,,92,,91.6,,88.8,,89.9,,90.9,,93.5,99.6,95.3,94.6,,93.5,,93.2,,95.8,98.7,
260 pounds,,93.9,,93.9,,92.5,,91.2,,93.7,,95.6,99.6,96.3,96,,95.1,,95.1,,97.2,99.2,
270 pounds,,95.3,,94.9,,93.8,,93.5,,96,,97.6,99.6,97.2,97.2,,95.8,,96.3,,98.2,99.4,
280 pounds,,96.2,,95.6,,95.8,,95.7,,97,,98,100,98.4,97.9,,97.2,,97.3,,98.6,99.4,
290 pounds,,96.6,,96.2,,96.2,,97.2,,98.1,,99,100,98.7,98.3,,98.1,,97.6,,98.6,99.5,
300 pounds,,96.8,,97.2,,97.1,,98.5,,98.2,,99.4,100,98.8,98.6,,98.5,,98.4,,98.9,99.6,
320 pounds,,98,,98.5,,98.5,,99.3,,99,,99.8,100,99.7,99.1,,99.2,,98.9,,99.4,100,
340 pounds,,98.7,,99.1,,99.1,,99.6,,99.5,,100,100,99.7,99.6,,99.6,,99.3,,99.4,100,
360 pounds,,99.3,,99.2,,99.5,,99.8,,99.7,,100,100,99.9,99.8,,100,,99.7,,99.6,100,
380 pounds,,99.5,,99.6,,99.6,,100,,100,,100,100,99.9,99.9,,100,,99.7,,99.6,100,
400 pounds,,99.6,,99.8,,99.9,,100,,100,,100,100,99.9,99.9,,100,,100,,100,100,
420 pounds,,99.6,,99.8,,99.9,,100,,100,,100,100,99.9,100,,100,,100,,100,100,
440 pounds,,99.8,,99.9,,99.9,,100,,100,,100,100,100,100,,100,,100,,100,100,
