State,POST OFFICE ABBREVIATION,2-digit ANSI code,Births  2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,Deaths  2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,Business bankruptcies \1  2000.0,2005.0,2006.0,2007.0,2008.0
Alabama,AL,01,10067.0,10060.0,9534.0,9014.0,9413.0,10575.0,10096.0,9813.0,9194.0,9302.0,14781.0,12062.0,10927.0,10104.0,10168.0,11128.0,10710.0,11468.0,444.0,322.0,276.0,285.0,395.0
Alaska,AK,02,2333.0,2438.0,2270.0,2441.0,1848.0,1982.0,1904.0,1777.0,1922.0,2671.0,2575.0,2541.0,2507.0,2650.0,2294.0,2239.0,3615.0,2879.0,122.0,67.0,65.0,63.0,78.0
Arizona,AZ,04,15175.0,14541.0,14291.0,13322.0,12421.0,21339.0,21555.0,18208.0,15847.0,11984.0,16371.0,17642.0,15488.0,17553.0,18249.0,13508.0,16019.0,21219.0,802.0,522.0,390.0,332.0,691.0
Arkansas,AR,05,4680.0,3990.0,5381.0,7253.0,7852.0,7591.0,9551.0,8157.0,8499.0,5581.0,4746.0,4491.0,6918.0,6481.0,7021.0,7289.0,7596.0,7511.0,281.0,363.0,374.0,335.0,429.0
California,CA,06,167047.0,128885.0,130840.0,113500.0,117016.0,121482.0,115684.0,113829.0,103572.0,134541.0,149831.0,156858.0,140435.0,143115.0,151944.0,149212.0,143591.0,150314.0,4800.0,3576.0,3376.0,2697.0,4697.0
Colorado,CO,08,25462.0,24730.0,25290.0,22400.0,23694.0,26610.0,22708.0,23035.0,21921.0,7561.0,6954.0,10332.0,13243.0,9734.0,14035.0,24158.0,23080.0,27591.0,354.0,748.0,927.0,536.0,756.0
Connecticut,CT,09,9910.0,9074.0,8726.0,8501.0,9064.0,9220.0,9516.0,9265.0,9164.0,11528.0,11348.0,11383.0,11044.0,11018.0,11131.0,11214.0,11052.0,11488.0,123.0,104.0,169.0,250.0,366.0
Delaware,DE,10.0,3682.0,3352.0,3223.0,3439.0,3270.0,3299.0,3153.0,2921.0,2980.0,3052.0,3122.0,3891.0,3148.0,3362.0,3355.0,3295.0,2775.0,3698.0,2571.0,190.0,211.0,243.0,361.0
District of Columbia,DC,11.0,4472.0,4090.0,4157.0,4052.0,4393.0,4316.0,4232.0,4302.0,3939.0,4996.0,4013.0,3973.0,3874.0,3440.0,3952.0,3111.0,3378.0,2765.0,66.0,46.0,33.0,35.0,42.0
Florida,FL,12.0,59912.0,60370.0,72720.0,69711.0,77754.0,84890.0,79870.0,75533.0,72203.0,55186.0,54573.0,52241.0,56665.0,54498.0,58737.0,64423.0,60724.0,72003.0,1620.0,1278.0,1361.0,1455.0,2759.0
Georgia,GA,13.0,28925.0,23211.0,28756.0,24217.0,29547.0,29804.0,31677.0,30062.0,28980.0,26754.0,24352.0,31479.0,25898.0,27835.0,29315.0,29787.0,29517.0,29945.0,969.0,2161.0,1688.0,1316.0,1714.0
Hawaii,HI,15.0,3745.0,3811.0,3555.0,3658.0,3698.0,3763.0,3813.0,3611.0,3475.0,3521.0,4080.0,3994.0,4010.0,3754.0,3794.0,3789.0,4185.0,3973.0,60.0,55.0,67.0,43.0,51.0
Idaho,ID,16.0,5829.0,5534.0,5039.0,5998.0,7814.0,9312.0,9159.0,8065.0,6854.0,6249.0,5851.0,7040.0,6742.0,5716.0,6334.0,6713.0,6995.0,7273.0,315.0,141.0,101.0,79.0,167.0
Illinois,IL,17.0,28875.0,28426.0,27342.0,28933.0,28453.0,30445.0,30230.0,30013.0,31493.0,31361.0,31976.0,32093.0,41112.0,33472.0,32846.0,33426.0,33213.0,35689.0,1277.0,901.0,919.0,868.0,1178.0
Indiana,IN,18.0,14112.0,13903.0,13530.0,13452.0,13906.0,14545.0,14653.0,13863.0,13959.0,15738.0,15839.0,16156.0,15137.0,15282.0,16504.0,13851.0,12826.0,14380.0,415.0,586.0,690.0,484.0,692.0
Iowa,IA,19.0,5668.0,5659.0,5660.0,5534.0,5954.0,6004.0,5877.0,5903.0,5893.0,7485.0,7770.0,7480.0,7378.0,7391.0,6802.0,7248.0,7601.0,7679.0,192.0,367.0,352.0,227.0,270.0
Kansas,KS,20.0,6483.0,7026.0,6703.0,7625.0,6742.0,7095.0,6973.0,7799.0,8156.0,6981.0,8055.0,6876.0,8392.0,7250.0,7330.0,7000.0,8376.0,7648.0,166.0,313.0,304.0,196.0,244.0
Kentucky,KY,21.0,8637.0,8713.0,8526.0,8155.0,8807.0,9617.0,8973.0,8816.0,8821.0,7508.0,9883.0,11614.0,10801.0,8597.0,8515.0,10230.0,8320.0,8790.0,299.0,297.0,348.0,258.0,390.0
Louisiana,LA,22.0,10468.0,9816.0,9810.0,9298.0,9875.0,9393.0,11034.0,10356.0,9527.0,13708.0,13319.0,14416.0,12171.0,9668.0,9123.0,8972.0,8334.0,7656.0,620.0,683.0,608.0,451.0,571.0
Maine,ME,23.0,5135.0,4667.0,4428.0,4033.0,4300.0,4251.0,4497.0,4243.0,4202.0,4906.0,5401.0,5042.0,4715.0,4987.0,4711.0,4769.0,4565.0,5095.0,166.0,98.0,136.0,118.0,154.0
Maryland,MD,24.0,20539.0,20072.0,20576.0,20687.0,21751.0,22083.0,21535.0,20168.0,18392.0,19563.0,20667.0,20927.0,21697.0,20636.0,21769.0,20745.0,20835.0,21251.0,701.0,493.0,613.0,406.0,405.0
Massachusetts,MA,25.0,18640.0,18166.0,21262.0,18984.0,18822.0,19723.0,17800.0,18427.0,18581.0,18164.0,18268.0,20532.0,21870.0,20270.0,18878.0,22376.0,21695.0,20223.0,475.0,350.0,322.0,297.0,334.0
Michigan,MI,26.0,23760.0,23060.0,22799.0,22022.0,24625.0,24642.0,23508.0,23166.0,22090.0,30240.0,26535.0,26975.0,24748.0,24584.0,26971.0,21268.0,20359.0,34272.0,603.0,757.0,967.0,1019.0,1394.0
Minnesota,MN,27.0,13906.0,12700.0,13683.0,14652.0,15167.0,12555.0,13739.0,12313.0,11811.0,4829.0,6770.0,12851.0,17928.0,15209.0,15302.0,14403.0,12004.0,12597.0,1537.0,1400.0,1140.0,473.0,656.0
Mississippi,MS,28.0,6439.0,6164.0,6256.0,6020.0,6141.0,6071.0,6862.0,6871.0,5776.0,7555.0,7557.0,7160.0,7267.0,7380.0,6823.0,7898.0,7550.0,6800.0,182.0,186.0,181.0,234.0,298.0
Missouri,MO,29.0,13996.0,14360.0,16337.0,15947.0,16155.0,17239.0,15805.0,15510.0,15061.0,17580.0,18188.0,21653.0,20190.0,17924.0,20109.0,18124.0,19422.0,21290.0,377.0,368.0,381.0,316.0,534.0
Montana,MT,30.0,4418.0,3608.0,3569.0,4548.0,4588.0,4768.0,4727.0,4751.0,4181.0,2435.0,3881.0,4445.0,4679.0,4896.0,4394.0,4469.0,4476.0,4771.0,138.0,116.0,88.0,47.0,71.0
Nebraska,NE,31.0,4441.0,4419.0,4372.0,4311.0,4849.0,5127.0,4820.0,4752.0,4602.0,5234.0,5394.0,5234.0,5050.0,5051.0,4982.0,5117.0,5092.0,5200.0,144.0,265.0,229.0,202.0,221.0
Nevada,NV,32.0,8587.0,8864.0,8826.0,9749.0,10483.0,11299.0,10743.0,11057.0,10202.0,7761.0,8252.0,8667.0,8939.0,9012.0,8485.0,8423.0,9222.0,10771.0,296.0,292.0,238.0,234.0,395.0
New Hampshire,NH,33.0,4677.0,4398.0,4562.0,4653.0,4865.0,4758.0,4703.0,4588.0,4587.0,7341.0,5264.0,5418.0,4598.0,5401.0,5406.0,5481.0,5523.0,5515.0,325.0,441.0,427.0,306.0,318.0
