State,"Traffic fatalities, total",Total \1,Interstate  Over 55 mph,Speeding-related fatalities by road type and speed limit   At or under 55 mph,55 mph,50 mph,Noninterstate   45 mph,40 mph,35 mph,Under 35 mph,
Alabama,1110.0,497.0,38.0,8.0,118.0,9.0,158.0,45.0,47.0,29.0,
Alaska,84.0,20.0,1.0,0.0,6.0,0.0,3.0,4.0,0.0,4.0,
Arizona,1066.0,447.0,65.0,15.0,41.0,21.0,81.0,53.0,53.0,40.0,
Arkansas,650.0,64.0,5.0,0.0,27.0,1.0,5.0,2.0,10.0,7.0,
California,3974.0,1464.0,194.0,18.0,340.0,49.0,150.0,126.0,190.0,176.0,
Colorado,554.0,224.0,16.0,11.0,30.0,16.0,28.0,31.0,34.0,24.0,
Connecticut,277.0,94.0,9.0,6.0,3.0,2.0,10.0,16.0,18.0,26.0,
Delaware,117.0,44.0,1.0,0.0,3.0,24.0,5.0,5.0,4.0,2.0,
District of Columbia,44.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,
Florida,3214.0,611.0,52.0,12.0,82.0,16.0,123.0,56.0,78.0,106.0,
Georgia,1641.0,384.0,24.0,14.0,117.0,7.0,58.0,12.0,68.0,28.0,`
Hawaii,138.0,69.0,1.0,5.0,7.0,0.0,8.0,0.0,19.0,23.0,
Idaho,252.0,77.0,21.0,0.0,14.0,12.0,6.0,1.0,5.0,2.0,
Illinois,1249.0,523.0,64.0,26.0,176.0,6.0,44.0,38.0,59.0,107.0,
Indiana,898.0,199.0,26.0,4.0,62.0,9.0,32.0,10.0,26.0,25.0,
Iowa,445.0,38.0,2.0,2.0,16.0,4.0,4.0,0.0,5.0,4.0,
Kansas,416.0,112.0,12.0,0.0,33.0,4.0,4.0,7.0,4.0,17.0,
Kentucky,864.0,132.0,6.0,2.0,85.0,0.0,10.0,0.0,22.0,4.0,
Louisiana,985.0,251.0,19.0,5.0,96.0,7.0,38.0,17.0,31.0,25.0,
Maine,183.0,86.0,3.0,0.0,6.0,14.0,20.0,8.0,15.0,12.0,
Maryland,614.0,216.0,5.0,20.0,20.0,36.0,11.0,43.0,38.0,42.0,
Massachusetts,417.0,140.0,18.0,5.0,8.0,4.0,8.0,18.0,19.0,55.0,
Michigan,1088.0,242.0,14.0,8.0,119.0,7.0,29.0,6.0,17.0,31.0,
Minnesota,504.0,108.0,8.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,
Mississippi,884.0,349.0,38.0,4.0,131.0,14.0,61.0,14.0,28.0,19.0,
Missouri,992.0,434.0,37.0,15.0,149.0,10.0,28.0,14.0,53.0,43.0,
Montana,277.0,96.0,13.0,1.0,6.0,0.0,11.0,1.0,10.0,8.0,
Nebraska,256.0,44.0,8.0,0.0,9.0,11.0,3.0,0.0,4.0,5.0,
Nevada,373.0,97.0,2.0,0.0,2.0,0.0,25.0,1.0,36.0,12.0,
New Hampshire,129.0,41.0,5.0,2.0,2.0,3.0,1.0,6.0,12.0,8.0,
New Jersey,724.0,61.0,2.0,1.0,2.0,13.0,10.0,4.0,8.0,13.0,
New Mexico,413.0,159.0,19.0,2.0,25.0,5.0,17.0,7.0,15.0,20.0,
New York,1333.0,417.0,11.0,9.0,157.0,2.0,32.0,28.0,20.0,50.0,
North Carolina,1675.0,620.0,34.0,6.0,331.0,14.0,146.0,2.0,63.0,14.0,
North Dakota,111.0,45.0,4.0,0.0,15.0,0.0,5.0,1.0,2.0,6.0,
Ohio,1257.0,277.0,30.0,5.0,133.0,6.0,22.0,6.0,38.0,26.0,
Oklahoma,754.0,209.0,34.0,3.0,24.0,5.0,45.0,10.0,14.0,13.0,
Oregon,455.0,121.0,3.0,1.0,55.0,2.0,14.0,12.0,11.0,8.0,
Pennsylvania,1491.0,783.0,52.0,47.0,189.0,8.0,149.0,98.0,128.0,89.0,
Rhode Island,69.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,
South Carolina,1066.0,454.0,48.0,5.0,144.0,14.0,74.0,26.0,46.0,38.0,
South Dakota,146.0,49.0,7.0,0.0,16.0,1.0,6.0,1.0,11.0,1.0,
Tennessee,1210.0,268.0,14.0,9.0,57.0,10.0,59.0,32.0,37.0,41.0,
Texas,3363.0,1343.0,127.0,45.0,173.0,40.0,117.0,93.0,110.0,132.0,
Utah,299.0,110.0,27.0,1.0,10.0,3.0,10.0,16.0,6.0,11.0,
Vermont,66.0,23.0,2.0,0.0,2.0,6.0,0.0,7.0,2.0,4.0,
Virginia,1027.0,341.0,32.0,22.0,156.0,6.0,56.0,7.0,22.0,23.0,
Washington,568.0,224.0,16.0,3.0,22.0,39.0,13.0,14.0,54.0,32.0,
West Virginia,431.0,76.0,7.0,0.0,20.0,3.0,9.0,6.0,8.0,14.0,
Wisconsin,756.0,279.0,11.0,7.0,130.0,1.0,40.0,8.0,17.0,48.0,
Wyoming,150.0,56.0,17.0,0.0,2.0,0.0,6.0,4.0,0.0,7.0,
