Index,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
"S&P 500 Composite Return Index (Jan. 4, 1988 = 255.94)",44.2212,50.5451,60.1461,51.3114,37.7306,51.7772,64.1659,59.5739,63.4884,75.3032,99.7795,94.8671,115.3078,141.3155,150.1814,197.8289,234.7546,247.08,288.116,379.409,367.636,479.633,516.178,568.202,575.705,792.042,973.897,1298.821,1670.006,2021.401,1837.365,1618.979,1261.18,1622.94,1799.55,1887.93,2186.13,2306.23,1452.98
S&P 500 composite (1941-43 = 10),92.15,102.09,118.05,97.55,68.56,90.19,107.46,95.1,96.11,107.94,135.76,122.55,140.64,164.93,167.24,211.28,242.17,247.08,277.72,353.4,330.2,417.09,435.71,466.45,459.27,615.93,740.74,970.43,1229.23,1469.25,1320.28,1148.08,879.8,1111.92,1211.92,1248.29,1418.3,1468.36,903.25
Industrials (1941-43 = 10),101.09,113.0,130.59,107.09,76.47,100.88,118.27,104.31,107.85,120.83,154.45,136.85,158.32,186.85,185.84,234.56,269.93,287.06,320.49,398.16,387.09,492.72,511.41,543.94,548.94,719.67,869.97,1121.38,1479.16,1841.92,1527.86,1333.17,1005.9,1268.69,1380.33,1408.59,1595.6,1766.34,1150.53
"Utilities (Dec. 31, 1994  =  100)",42.2048,40.919,41.7534,32.0828,22.9387,30.4003,37.0959,37.431,33.1497,34.3602,35.8717,36.2342,41.3424,45.2551,51.9028,63.721,76.7976,69.8421,77.037,103.7601,96.1729,111.5534,111.9417,120.7068,100.0,125.1924,125.4149,148.5041,163.3903,142.4347,216.0286,145.88,97.76,118.39,141.6,159.66,186.6,216.11,147.93
S&P 400 MidCap Index (1982 = 100),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36.58,37.67,43.56,52.5,50.63,65.98,74.34,70.74,82.78,108.78,100.0,146.59,160.55,179.38,169.44,217.84,255.58,333.37,392.31,444.67,516.74,508.31,429.8,576.01,663.31,738.05,804.37,858.2,538.28
"S&P 600 SmallCap Index (Dec. 31, 1993 = 100)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.04,100.0,94.17,121.1,145.48,181.16,177.36,197.79,219.59,232.18,196.6,270.42,328.8,350.67,400.02,395.14,268.73
"S&P 1500 Supercomposite Index (Dec. 31, 1994 = 100)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.0,133.24,159.81,208.8,260.05,308.89,284.1,250.65,194.17,247.31,271.95,282.37,319.87,331.37,204.93
"S&P 500 Citigroup Value Index (Dec. 31, 1974 = 35)",(NA),(NA),(NA),(NA),35.0,47.19,60.32,55.41,55.37,63.04,74.53,68.74,77.6,94.5,97.86,121.0,140.2,140.4,163.9,199.6,177.73,209.51,221.57,255.64,245.315,325.13,385.87,490.39,551.55,610.61,636.15,552.03,428.0,551.93,625.54,647.54,764.25,760.95,447.11
"S&P 500 Citigroup Growth Index (Dec. 31, 1974 = 35)",(NA),(NA),(NA),(NA),35.0,44.84,49.53,41.95,43.04,47.97,65.64,56.39,66.35,74.85,73.42,95.36,106.5,111.3,122.0,163.6,159.92,216.08,222.51,220.85,222.67,302.04,368.15,495.95,697.27,887.29,687.55,594.61,448.8,555.89,582.04,596.52,652.55,702.66,450.55
"Russell 1000 (Dec. 31, 1986 = 130)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51.58,59.87,75.2,67.93,77.24,90.38,90.31,114.39,130.0,130.02,146.99,185.11,171.22,220.61,233.59,250.71,244.65,328.89,393.75,513.79,642.87,767.97,700.09,604.94,466.2,594.56,650.99,679.42,770.08,799.82,487.77
"Russell 2000 (Dec. 31, 1986 = 135)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40.52,55.91,74.8,73.67,88.9,112.27,101.49,129.87,135.0,120.42,147.37,168.3,132.16,189.94,221.01,258.59,250.36,315.97,362.61,437.02,421.96,504.75,483.53,488.5,383.1,556.91,651.57,673.22,787.66,766.03,499.45
"Russell 3000 (Dec. 31, 1986 = 140)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54.13,63.85,80.68,73.51,84.06,99.06,97.94,124.18,140.0,138.67,157.81,197.28,180.85,234.37,249.8,270.13,263.44,351.91,419.44,543.05,664.27,793.31,725.75,634.16,489.5,630.13,693.63,723.31,822.13,849.22,520.6
"Composite (Dec. 31, 2002 = 5000)",531.12,596.68,681.79,547.93,382.03,503.73,612.01,555.12,566.96,655.04,823.27,751.9,856.79,1006.41,1013.92,1285.66,1465.31,1461.61,1652.25,2062.3,1908.45,2426.04,2539.92,2739.44,2653.37,3484.15,4148.07,5405.19,6299.93,6876.1,6945.57,6236.39,5000.0,6440.3,7250.06,7753.95,9139.02,9740.32,5757.05
Yearly high,553.64,610.74,688.77,692.37,564.32,541.8,612.01,610.0,638.44,670.27,856.68,836.81,870.75,1053.46,1037.49,1289.04,1541.12,1987.76,1685.66,2107.77,2126.69,2426.04,2559.69,2756.25,2830.69,3501.7,4217.44,5438.18,6352.17,7011.65,7164.55,7048.13,6445.01,6469.5,7373.18,7867.59,9188.17,10387.2,9712.83
Yearly low,398.52,524.46,594.56,518.64,347.77,391.86,507.96,526.36,511.45,569.71,584.73,686.87,621.74,843.68,900.14,1000.27,1245.06,1331.34,1445.64,1638.72,1715.06,1807.79,2304.23,2497.62,2570.9,2651.15,3398.5,4118.15,5045.78,6092.27,6094.91,5331.38,4452.49,4418.62,6211.33,6902.51,7708.11,8343.62,4607.47
"Finance (Dec. 31, 2005 = 5104.6)",643.4,738.3,833.4,645.1,398.4,452.0,592.3,538.5,550.1,634.5,708.3,736.8,850.0,943.2,976.3,1312.9,1400.5,1145.7,1281.9,1561.5,1220.7,1726.8,2008.3,2168.2,1958.0,2742.5,3511.7,4959.6,5214.2,5166.1,6469.5,5936.9,5104.6,6676.4,7493.92,7996.94,9552.22,8300.68,3848.42
"NYSE USA 100 Index (Dec. 31, 1995 = 3000)",,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3630.94,4882.09,6364.82,7208.69,7118.47,6138.81,4661.21,5621.85,5997.37,6081.53,6964.45,7069.17,4500.53
"NYSE International 100 Index (Dec. 31, 1995 = 3000)",,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3483.83,4077.08,4906.9,6874.52,5380.51,4174.18,3298.41,4415.76,5005.17,5410.02,6556.08,7350.45,4086.06
"NYSE World Leaders 200 Index (Dec. 31, 1995 = 3000)",,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3580.69,4599.35,5841.98,7142.35,6434.58,5330.98,4106.3,5153.13,5633.57,5866.1,6884.4,7443.94,4385.35
"American Stock Exchange Composite Index (December 29, 1995 = 550)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),550.0,572.34,684.61,688.99,876.97,897.75,847.61,824.4,1173.55,1434.34,1759.08,2056.43,2409.62,2174.0
"NASDAQ Composite Index (Feb. 5, 1971 = 100)",(NA),114.12,133.73,92.19,59.82,77.62,97.88,105.05,117.98,151.14,202.34,195.84,232.41,278.6,247.35,324.39,348.81,330.47,381.38,454.82,373.84,586.34,676.95,776.8,751.96,1052.13,1291.03,1570.35,2192.68,4069.31,2470.52,1950.4,1335.5,2003.37,2175.44,2205.32,2415.29,2652.58,1577.03
"Nasdaq-100 (Jan. 31, 1985 = 125)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),132.3,141.4,156.25,177.41,223.84,200.53,330.86,359.94,398.28,404.27,576.23,821.36,990.8,1836.01,3708.0,2341.7,1577.1,984.4,1467.92,1621.12,1645.2,1756.9,2084.93,1211.65
"Industrial (Feb. 5, 1971 = 100)",89.3967,116.53,132.41,83.57,56.46,80.95,100.12,109.43,126.85,175.18,261.36,229.29,273.58,323.68,260.73,330.17,349.33,338.94,378.95,447.99,406.05,668.95,724.94,805.8,753.81,964.68,1109.63,1221.03,1304.25,2238.97,1482.99,1389.2,1029.7,1603.67,1857.73,1859.87,2090.34,2178.64,1191.06
"Insurance (Feb. 5, 1971 = 100)",90.0965,121.33,149.03,110.15,74.69,80.9,105.21,114.51,127.24,162.03,166.81,194.31,226.4,257.63,283.15,378.53,404.14,351.06,429.14,546.01,451.84,601.09,803.91,920.59,925.87,1292.64,1465.43,1797.95,1796.79,1896.28,2193.37,2349.0,2305.9,2800.14,3354.1,3664.45,4108.31,4075.74,3600.42
"Banks (Feb. 5, 1971 = 100)",(NA),101.82,119.1,100.42,61.49,72.37,92.72,95.28,102.33,108.24,118.39,143.13,156.37,203.75,229.41,349.36,412.53,390.66,435.31,391.02,254.91,350.56,532.93,689.43,697.07,1009.41,1273.46,2083.22,1838.0,1691.29,1939.45,2134.9,2231.3,2899.18,3217.86,3078.42,3417.3,2663.04,2026.0
"Computers (Oct. 29, 1993 = 200)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),202.0,233.99,366.13,518.79,618.66,1134.19,2325.4,1294.97,980.5,622.6,934.9,965.29,991.8,1052.81,1282.91,683.9
"Other finance (Feb. 5, 1971 = 100)",(NA),116.91,148.95,107.5,63.43,79.02,101.57,105.53,114.43,130.92,154.07,176.2,207.5,277.53,298.62,423.49,460.64,406.96,459.34,505.64,359.13,560.79,788.81,892.64,863.42,1240.87,1595.1,2503.6799,2601.3,3380.3501,2437.0,2386.0,1938.2,3308.83,3958.07,4430.83,5203.26,5228.35,2800.43
"Transportation (Feb. 5, 1971 = 100)",(NA),120.12,117.5,81.04,65.79,85.52,101.28,97.68,100.53,118.47,164.19,167.77,195.479,280.8,239.29,291.59,348.84,319.21,395.81,498.2,417.07,571.39,634.1,746.26,660.03,816.36,907.43,1064.77,981.21,999.11,1160.4,1285.0,1297.6,1754.43,2229.49,2438.15,2582.48,2673.43,1884.54
"Telecommunications (Oct. 29, 1993 = 200)",(NA),16.4177,17.1536,12.5382,8.629,11.4735,15.1199,17.5764,18.448,22.6877,28.8272,31.6055,49.7958,46.8663,41.5202,52.4648,54.9908,61.8123,87.1826,128.252,84.0302,109.521,127.727,185.02,155.29,208.35,215.91,306.6,500.91,1015.4,463.44,236.6,108.8,183.57,198.25,183.95,235.02,256.58,146.29
"Biotech (Oct. 29, 1993 = 200)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),198.0,161.4,304.3,303.31,303.1,437.31,881.78,1084.51,908.8,496.9,724.14,768.52,790.31,798.31,834.96,729.54
Composite (65 stocks),272.75,310.05,329.17,272.51,199.74,261.66,325.49,287.17,272.2,298.32,373.44,347.8,409.15,502.94,489.86,616.53,736.8,714.3,825.9,1035.1,920.6,1156.8,1204.6,1381.0,1274.4,1693.2,2025.83,2607.37,2870.83,3214.38,3317.41,2892.2,2375.0,3000.75,3395.82,3638.06,4120.96,4394.05422127185,3086.07
