Race or Hispanic origin of householder or reference person,"NUMBER (1,000) 1970.0",1980.0,1990.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,Percent distribution 1970.0,1980.0,1990.0,1995.0,2000.0,2005.0,2008.0
Two-parent family groups \2,25823.0,25231.0,24921.0,25157.0,25598.0,25640.0,25361.0,25577.0,25709.0,25538.0,25771.0,26530.0,26271.0,26445.0,26377.0,26482.0,26469.0,28276.0,27344.0,68.0,72.0,71.88058840496106,68.9840723202755,69.0,67.0,70.0
One-parent family groups,3808.0,6920.0,9749.0,10901.0,11410.0,11528.0,11717.0,12042.0,11948.0,11892.0,11725.0,11814.0,12201.0,12402.0,12603.0,12835.0,12905.0,11707.0,11594.0,32.0,28.0,28.11941159503894,31.0159276797245,31.0,32.0,30.0
Maintained by mother,3415.0,6230.0,8398.0,9339.0,9854.0,9834.0,9855.0,10012.0,9828.0,9841.0,9681.0,9658.0,9969.0,10142.0,10322.0,10366.0,10404.0,9965.0,9753.0,26.0,23.0,24.22267089702913,26.458243650452,26.0,26.0,25.0
Maintained by father,393.0,690.0,1351.0,1562.0,1556.0,1694.0,1862.0,2030.0,2120.0,2051.0,2044.0,2156.0,2232.0,2260.0,2282.0,2469.0,2501.0,1742.0,1841.0,5.0,5.0,3.8967406980098067,4.55768402927249,5.0,6.0,4.0
Two-parent family groups \2,23477.0,22628.0,21905.0,22058.0,22310.0,22320.0,22178.0,22294.0,22237.0,22139.0,22241.0,22663.0,22381.0,22409.0,22200.0,22319.0,22404.0,23646.0,22857.0,73.0,77.0,77.41924082844419,74.7838906386115,74.0,72.0,75.0
One-parent family groups,2638.0,4664.0,6389.0,7167.0,7335.0,7525.0,7769.0,7948.0,8077.0,7993.0,7838.0,8005.0,8169.0,8230.0,8259.0,8641.0,8542.0,7711.0,7594.0,27.0,23.0,22.580759171555805,25.2127588286538,26.0,28.0,25.0
Maintained by mother,2330.0,4122.0,5310.0,5901.0,6144.0,6239.0,6329.0,6396.0,6328.0,6368.0,6216.0,6309.0,6423.0,6471.0,6584.0,6747.0,6628.0,6359.0,6138.0,21.0,18.0,18.767229801371315,20.9039737318234,21.0,22.0,20.0
Maintained by father,307.0,542.0,1079.0,1265.0,1191.0,1286.0,1440.0,1552.0,1749.0,1625.0,1622.0,1696.0,1746.0,1758.0,1674.0,1894.0,1914.0,1353.0,1456.0,5.0,5.0,3.8135293701844915,4.3087850968304,5.0,6.0,5.0
Two-parent family groups \2,2071.0,1961.0,2006.0,1987.0,1978.0,1962.0,1942.0,2020.0,2111.0,2017.0,2135.0,2145.0,2179.0,2120.0,2091.0,2065.0,2051.0,2404.0,2256.0,37.0,42.0,39.43385099272656,35.7311965033691,39.0,38.0,40.0
One-parent family groups,1148.0,2114.0,3081.0,3377.0,3636.0,3529.0,3493.0,3659.0,3493.0,3463.0,3396.0,3312.0,3456.0,3477.0,3587.0,3430.0,3558.0,3357.0,3347.0,63.0,58.0,60.56614900727344,64.2688034966309,61.0,62.0,59.0
Maintained by mother,1063.0,1984.0,2860.0,3135.0,3350.0,3197.0,3171.0,3268.0,3211.0,3139.0,3060.0,2946.0,3067.0,3124.0,3138.0,3037.0,3143.0,3067.0,3080.0,57.0,53.0,56.22174169451544,58.222545984338,55.0,55.0,55.0
Maintained by father,85.0,129.0,221.0,242.0,287.0,332.0,322.0,391.0,282.0,324.0,335.0,366.0,389.0,353.0,448.0,393.0,415.0,289.0,267.0,6.0,6.0,4.344407312758011,6.04625751229284,6.0,7.0,5.0
Two-parent family groups \2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1184.0,1459.0,1402.0,1326.0,1485.0,1472.0,1431.0,1568.0,1513.0,(NA),(NA),(NA),(NA),81.0,84.0,84.0
One-parent family groups,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),285.0,297.0,301.0,245.0,290.0,285.0,286.0,226.0,276.0,(NA),(NA),(NA),(NA),19.0,16.0,15.0
Maintained by mother,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),236.0,246.0,255.0,187.0,242.0,222.0,219.0,185.0,225.0,(NA),(NA),(NA),(NA),16.0,13.0,12.0
Maintained by father,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49.0,51.0,46.0,58.0,49.0,63.0,67.0,42.0,51.0,(NA),(NA),(NA),(NA),3.0,4.0,3.0
Two-parent family groups \2,(NA),1626.0,2289.0,2494.0,2786.0,2879.0,2858.0,3115.0,3233.0,3354.0,3625.0,3819.0,3936.0,4211.0,4273.0,4346.0,4524.0,4984.0,5072.0,65.0,70.0,66.75415573053368,63.5962005743318,66.0,64.0,70.0
