Item,Unit,1990.0,1995.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Class I line-hauling companies \1,Number,14.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
Employees \2,"1,000",216.0,188.0,168.0,162.0,157.0,155.0,158.0,162.0,168.0,167.0
Compensation,Million dollars,8654.0,9070.0,9623.0,9430.0,9387.0,9576.0,10337.0,10879.0,11419.0,11599.0
Average per hour,Dollars,15.83,19.0,21.5,22.1,22.7,23.4,24.2,25.7,26.0,27.3
Average per year,Dollars,39987.0,48188.0,57157.0,58153.0,59650.0,61920.0,65550.0,66975.0,68141.0,69367.0
Railroad line owned \3,"1,000",146.0,137.0,121.0,119.0,118.0,117.0,123.0,121.0,120.0,120.0
Railroad track owned \4,"1,000",244.0,228.0,205.0,204.0,200.0,200.0,211.0,208.0,206.0,212.0
Locomotives in service,Number,18835.0,18812.0,20028.0,19745.0,20506.0,20774.0,22015.0,22779.0,23730.0,24143.0
Average horsepower,"1,000 pounds",2665.0,2927.0,3261.0,3275.0,3378.0,3415.0,3458.0,3467.0,3485.0,3518.0
Freight train \5,"1,000",1212.0,1219.0,1381.0,1314.0,1300.0,1279.0,1288.0,1312.0,1347.0,1386.0
Freight cars \6,"1,000",659.0,583.0,560.0,500.0,478.0,467.0,474.0,475.0,475.0,460.0
Average capacity,Tons,87.5,88.6,92.3,92.7,93.1,93.7,94.3,97.2,98.8,99.5
Operating revenues,Million dollars,28370.0,32279.0,34102.0,34576.0,35327.0,36639.0,40517.0,46118.0,52152.0,54600.0
Operating expenses,Million dollars,24652.0,27897.0,29040.0,29164.0,29592.0,31440.0,35107.0,37843.0,40980.0,42747.0
Net revenue from operations,Million dollars,3718.0,4383.0,5062.0,5412.0,5735.0,5199.0,5410.0,8275.0,11172.0,11852.0
Income before fixed charges,Million dollars,4627.0,5016.0,5361.0,5517.0,6179.0,5220.0,5523.0,8361.0,11276.0,12084.0
Provision for taxes \7,Million dollars,1088.0,1556.0,1430.0,1614.0,1823.0,1494.0,1543.0,2224.0,3643.0,4108.0
Ordinary income,Million dollars,1961.0,2439.0,2501.0,2740.0,3201.0,2683.0,2867.0,4917.0,6482.0,6797.0
Net income,Million dollars,1977.0,2324.0,2500.0,2740.0,3201.0,2687.0,2867.0,4917.0,6482.0,6797.0
Net railway operating income,Million dollars,2648.0,2858.0,3924.0,4111.0,4248.0,4078.0,4147.0,6075.0,7560.0,7765.0
Total taxes \8,Million dollars,3780.0,4075.0,4379.0,4673.0,4724.0,4316.0,4480.0,5176.0,6830.0,7272.0
Industry return on net investment,Percent,8.1,7.0,6.5,6.9,7.0,6.3,6.1,8.5,10.2,9.9
Gross capital expenditures,Million dollars,3591.0,5720.0,5290.0,5113.0,5605.0,5989.0,6345.0,7068.0,8159.0,9853.0
Equipment,Million dollars,996.0,2343.0,1508.0,1013.0,1021.0,1300.0,1301.0,1026.0,1470.0,2213.0
Roadway and structures,Million dollars,2644.0,3651.0,4549.0,4421.0,4645.0,4561.0,4941.0,5364.0,6982.0,6944.0
